phase,horizon_h,interaction,left,right,difference_of_effects_hits,difference_of_effects_mae_m,difference_of_effects_max_abs_m
validation,8,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,-6,0.1854158826095802,-0.18228839490053872
validation,9,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-14,0.5806006077143812,1.6684062702137652
validation,9,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-7,0.4492798639778588,1.6138585194114379
validation,9,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-2,-0.012477582718227853,-0.5406161553110671
validation,9,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,5,-0.1437983264547502,-0.5951639061133944
validation,9,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-1,0.1215668792836282,0.07196262049923874
validation,9,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,-8,0.25288762302015055,0.12651037130156606
validation,10,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-8,0.5570267121164929,2.3272333132523233
validation,10,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-5,0.42240203898031925,-0.44985047160060976
validation,10,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,0,-0.08211764191416271,-0.11371796314873173
validation,10,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,3,-0.21674231505033636,-2.890801748001665
validation,10,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-2,0.1876205061402475,0.1832938907758539
validation,10,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,-5,0.32224517927642116,2.960377675628787
validation,11,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-4,0.4432840751907843,1.0367884825992109
validation,11,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-11,0.4730094077482232,1.5504988988792352
validation,11,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,3,-0.16959977638782942,-0.23921850933099975
validation,11,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-4,-0.1398744438303905,0.2744919069490246
validation,11,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-3,0.11856290798019398,0.6152301070639048
validation,11,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,4,0.08883757542275506,0.10151969078388046
validation,12,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-3,0.23323730562822553,0.5311666243299191
validation,12,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-5,0.30107404765673207,0.7431111559911656
validation,12,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,0,0.005476665763249566,-0.07643010604003564
validation,12,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-2,0.0733134077917561,0.13551442562121085
validation,12,rain_aux_original,rain_without_aux_original,rain_with_aux_original,4,0.021762242676751087,1.0508305339805144
validation,12,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,6,-0.04607449935175545,0.8388860023192679
test,1,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-4,0.024384935015304823,0.14805010871442548
test,1,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-1,0.012984660411612656,0.1082726454399987
test,1,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-2,0.01507241680827097,-0.07594375153750654
