role,period,horizon_h,population,subset,family,observed_targets,pairs,failures,raw_hits,normalized_hits,hits_delta,raw_mae_m,normalized_mae_m,mae_m_delta,raw_bias_m,normalized_bias_m,bias_m_delta,raw_p98_abs_m,normalized_p98_abs_m,p98_abs_m_delta,raw_max_abs_m,normalized_max_abs_m,max_abs_m_delta
original_2025_2026,validation,1,full_schedule,all,original,6517,6479,38,6478,6478,0,0.022013911700025222,0.02201364866188811,-2.6303813711187063e-07,0.004282256256655598,0.00428199321851848,-2.6303813711794216e-07,0.11681982649743483,0.11681982649743483,0.0,0.5943960587357431,0.5943960587357431,0.0
original_2025_2026,validation,1,full_schedule,all,plus2020,6517,6479,38,6478,6478,0,0.021325470203991347,0.021325309191858408,-1.6101213293900907e-07,-0.0017612280623678016,-0.0017613890745007434,-1.61012132941828e-07,0.10562311323878076,0.10562311323878076,0.0,0.5597202429980985,0.5597202429980985,0.0
original_2025_2026,validation,1,full_schedule,level_ge_7m,original,28,28,0,28,28,0,0.0666807029630848,0.0666807029630848,0.0,0.020062143129802985,0.020062143129802985,0.0,0.21438872115969643,0.21438872115969643,0.0,0.25365721478517145,0.25365721478517145,0.0
original_2025_2026,validation,1,full_schedule,level_ge_7m,plus2020,28,28,0,28,28,0,0.06333335504352917,0.06333335504352917,0.0,0.007879169068211749,0.007879169068211749,0.0,0.19488989712253313,0.19488989712253313,0.0,0.24943821848564696,0.24943821848564696,0.0
original_2025_2026,validation,1,complete24,all,original,5891,5891,0,5890,5890,0,0.01850954847976383,0.01850925918692893,-2.8929283489922963e-07,0.0010709660990267794,0.0010706768061918815,-2.892928348979286e-07,0.09500859502592271,0.09500859502592271,0.0,0.5943960587357431,0.5943960587357431,0.0
original_2025_2026,validation,1,complete24,all,plus2020,5891,5891,0,5891,5891,0,0.01977903450196499,0.019778857418683828,-1.7708328116372574e-07,-0.0010824346536127455,-0.0010826117368939081,-1.7708328116264153e-07,0.0955944256509765,0.0955944256509765,0.0,0.4359619156036265,0.4359619156036265,0.0
original_2025_2026,validation,1,complete24,level_ge_7m,original,28,28,0,28,28,0,0.0666807029630848,0.0666807029630848,0.0,0.020062143129802985,0.020062143129802985,0.0,0.21438872115969643,0.21438872115969643,0.0,0.25365721478517145,0.25365721478517145,0.0
original_2025_2026,validation,1,complete24,level_ge_7m,plus2020,28,28,0,28,28,0,0.06333335504352917,0.06333335504352917,0.0,0.007879169068211749,0.007879169068211749,0.0,0.19488989712253313,0.19488989712253313,0.0,0.24943821848564696,0.24943821848564696,0.0
original_2025_2026,validation,1,missing24,all,original,626,588,38,588,588,0,0.057123101717984216,0.057123101717984216,0.0,0.036455232988953847,0.036455232988953847,0.0,0.18038087655427343,0.18038087655427343,0.0,0.40240299407220514,0.40240299407220514,0.0
original_2025_2026,validation,1,missing24,all,plus2020,626,588,38,587,587,0,0.03681875714385063,0.03681875714385063,0.0,-0.008561860666068543,-0.008561860666068543,0.0,0.20735871842959178,0.20735871842959178,0.0,0.5597202429980985,0.5597202429980985,0.0
original_2025_2026,validation,1,missing24,level_ge_7m,original,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,1,missing24,level_ge_7m,plus2020,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,2,full_schedule,all,original,6516,6477,39,6466,6468,2,0.03193842446827068,0.03191872676139778,-1.9697706872899567e-05,0.003102399367981166,0.0036232900454707625,0.0005208906774895965,0.16324216087463073,0.16503089019902725,0.0017887293243965263,1.3024086910998092,1.292327796985405,-0.01008089411440416
original_2025_2026,validation,2,full_schedule,all,plus2020,6516,6477,39,6467,6466,-1,0.034535605108054784,0.034206823936585584,-0.00032878117146920016,-0.002041915449936154,-0.0020509120447853822,-8.996594849228299e-06,0.17078087006476364,0.17203929494531914,0.0012584248805554976,1.2825089321551792,1.2903949832562718,0.007886051101092528
original_2025_2026,validation,2,full_schedule,level_ge_7m,original,28,28,0,28,28,0,0.11897886238198042,0.11874979650671791,-0.00022906587526251576,0.02382246183854456,0.025686494933103994,0.0018640330945594343,0.3544459802504053,0.3572941692548376,0.002848189004432289,0.36191043129735867,0.3662419889911206,0.004331557693761923
original_2025_2026,validation,2,full_schedule,level_ge_7m,plus2020,28,28,0,28,28,0,0.11696550238526024,0.11586171481890194,-0.0011037875663583024,0.0012352105638357028,0.004254800067946667,0.0030195895041109644,0.3594508607550828,0.3546644857667219,-0.004786374988360931,0.3728587788332991,0.37013404300181296,-0.002724735831486136
