receipt,issued_at,reference_at,model_version,declared_recipe_sha256,fitted_model_set_sha256,code_artifacts,model_artifacts,has_runtime_versions,training_cutoff,unsealed_required_artifacts,non_radar_models_skipped
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:01:10.071258+00:00,2026-09-21T16:00:00-03:00,hourly-live-weather-v1:6618f3723be5a3b3,,,0,0,False,2026-09-21T00:00:00-03:00,20,28
ad0f135386ab111c85f9db922cd9fd67361446bf9d616bd888be02671f8fef2c,2026-09-21T20:31:09.277372+00:00,2026-09-21T17:00:00-03:00,hourly-live-weather-v1:5e5d62467a8ec22d,5ceccfcb0d4da2b83696a866aecf39a8cefe7bf5c5275c8579031972ab0734d2,4da93a8114cd6cc17423c115715d7c6520a6ef3cd87486fbfa2c6a50052896d2,14,14,True,2026-09-21T00:00:00-03:00,0,28
971a360ec71a51cf033cb732230d29ecf3db0b1657199019814d504f3753851a,2026-09-21T21:02:09.620438+00:00,2026-09-21T18:00:00-03:00,hourly-live-weather-v1:5e5d62467a8ec22d,8675b89eebcb7ad70cc73adc76a461e73e9087b2c95fd6b9718961b71d21405c,8540b96e77c58d1a1f8199ecc0723e1af26bdc7533ff69d760a6bc45fb2c3845,14,14,True,2026-09-21T00:00:00-03:00,0,28
b31d299f358563172a98bf233a20c0c68216f592fde27f6af61686f6dbec89d4,2026-09-21T22:02:15.832959+00:00,2026-09-21T19:00:00-03:00,hourly-live-weather-v1:2c265b53228f8345,49bf0d3a1652208d7420eb5ebbff8a0d61cae8dd1167f0076fc95d5c1f821f69,21e9c804d1d3038d77c2894b941ab63e0a506c9b3cfe978862bdb162b0f6a84c,14,14,True,2026-09-21T00:00:00-03:00,0,28
d81951889c96952a8718a5420d0090d30e15932904ff6cd96296b9cf507368f9,2026-09-21T23:04:38.599665+00:00,2026-09-21T20:00:00-03:00,hourly-live-weather-v1:2c265b53228f8345,eecf1b07ff11d8c59a97405db256fd92ff527d6273ed611c04d007e89f493410,e1f36014559beb60319de183ff820042cfc19eb8d55cf73871019ce0343cc477,14,14,True,2026-09-21T00:00:00-03:00,0,28
ab68649c464d53c610c4f97b80976b71a030b851c0731aa912081fae1c0bddd4,2026-09-22T00:02:20.346907+00:00,2026-09-21T21:00:00-03:00,hourly-live-weather-v1:2c265b53228f8345,6bd8f874ad3d1f3196dec5fa03bc57a8e2bea6aef9d1a6071187ae1ad66909c5,25f81ab2b82c85633e0f8c4ff965ed35945033b3cdf24dfd6cc82810dfa26a25,14,14,True,2026-09-21T00:00:00-03:00,0,28
bc57eee5908f2544692f44f1a34cd20c16db7fc77cbf34e5ca9942b2631400e3,2026-09-22T01:02:08.546775+00:00,2026-09-21T22:00:00-03:00,hourly-live-weather-v1:fd40fd74e87486e7,26a06d024e4f6281b2f438449e260d3d7931ad208ddb6df3cff079b61c997126,7476f8ef42d76658926bca46e81ee489e267899df5d0ab0502ab2e058749c9be,8,14,True,2026-09-21T00:00:00-03:00,0,0
cf0512133a9b6cac4f3e292c8f1dbfc4667e5546e25d8bee984b3bd55fc6ddbe,2026-09-22T02:02:10.864694+00:00,2026-09-21T23:00:00-03:00,hourly-live-weather-v1:fd40fd74e87486e7,26a06d024e4f6281b2f438449e260d3d7931ad208ddb6df3cff079b61c997126,57f7dce965072346e1085d4f1fd766d448e43d2588e1a3ae7442477fe59b4a0f,8,14,True,2026-09-21T00:00:00-03:00,0,0
e322a0243173c064a6929cbd1ff7b22541c1ec2db705b79a6550fa605bce7a92,2026-09-22T03:08:55.903820+00:00,2026-09-22T00:00:00-03:00,hourly-live-weather-v1:fd40fd74e87486e7,26a06d024e4f6281b2f438449e260d3d7931ad208ddb6df3cff079b61c997126,1ea6ff95accc1a33a3638751e9f7fed08c72e8616b0eba9fdb6ca2326ede80b0,8,14,True,2026-09-21T00:00:00-03:00,0,0
b81cc15cedec3251abcd7a8a8be6b7b70652a99564065fbfe0506637e5c05e76,2026-09-22T04:02:18.522238+00:00,2026-09-22T01:00:00-03:00,hourly-live-weather-v1:fd40fd74e87486e7,26a06d024e4f6281b2f438449e260d3d7931ad208ddb6df3cff079b61c997126,2ed10161b1c14387f919488944166fed7affaf195c2a2fb1c3d070919adca52a,8,14,True,2026-09-21T00:00:00-03:00,0,0
fd47d506fd134b2e47e40ec7d74be104d68af7500a4512cda18340f5a1853fd8,2026-09-22T05:02:07.766367+00:00,2026-09-22T02:00:00-03:00,hourly-live-weather-v1:fd40fd74e87486e7,26a06d024e4f6281b2f438449e260d3d7931ad208ddb6df3cff079b61c997126,4248c65673e37a8995447cfef89d31f5196d10fe7af4234750d0d4b29b258aca,8,14,True,2026-09-21T00:00:00-03:00,0,0
