phase,family,training_n,training_high_n,latest_training_epoch,cutoff_exclusive_epoch,training_qmax_m3_s,success,status,cost,optimality,nfev
validation,original_membership,3025,100,1759284000.0,1759287600.0,6057.4,True,2,5.7906047748853355,1.9751558025258974e-05,5
validation,all_paired_hq,4373,228,1759284000.0,1759287600.0,6057.4,True,2,11.408321247058034,0.0001358342668362504,5
test,original_membership,8880,128,1782648000.0,1782874800.0,6057.4,True,2,10.684558458770901,0.00042852854085390877,5
test,all_paired_hq,10890,256,1782871200.0,1782874800.0,6057.4,True,2,16.893058312192565,0.0008482651875347019,5
