phase,family,subset,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
validation,original_membership,all,6517,6517,1.0,0.03582171514760318,0.012038686585679975,0.0594434244599058,0.1212376026705222,0.3435440573509636
validation,original_membership,high,28,28,1.0,0.20568232067190112,0.20568232067190112,0.29698352549666734,0.34317485217436794,0.3435440573509636
validation,all_paired_hq,all,6517,6517,1.0,0.039019054817436984,0.006304560673635351,0.06876019146331391,0.0847772773771509,0.2872104359211116
validation,all_paired_hq,high,28,28,1.0,0.13908477576285663,0.13908477576285663,0.2362294763988268,0.28632582556565483,0.2872104359211116
test,original_membership,all,1944,1928,0.9917695473251029,0.08951117219728469,0.029112672396407926,0.2591661575037003,0.39628603916347416,0.6235439035486543
test,original_membership,high,236,220,0.9322033898305084,0.2518131840776487,-0.0007130675222092941,0.4401015061430611,0.5931206617051713,0.6235439035486543
test,all_paired_hq,all,1944,1909,0.9819958847736625,0.08580673162712683,0.010178769726838113,0.23447475781231414,0.4842671436268228,0.7518801405582067
test,all_paired_hq,high,236,201,0.8516949152542372,0.25901482630047395,-0.060766173471233045,0.5333325158542417,0.7125847748578674,0.7518801405582067
