horizon_h,subset,population,family,observed_targets,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,all,individual,reference,1944,1938,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
1,all,individual,candidate,1944,1938,1892,0.9762641898864809,0.1379333124175647,0.004778538048497797,0.33718307095114863,0.5149378327241412,1.3412310217935097
1,all,common,reference,1944,1938,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
1,all,common,candidate,1944,1938,1892,0.9762641898864809,0.1379333124175647,0.004778538048497797,0.33718307095114863,0.5149378327241412,1.3412310217935097
1,high,individual,reference,237,235,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
1,high,individual,candidate,237,235,217,0.9234042553191489,0.20914838412539236,0.09035725100363401,0.46349302589189556,0.785616234767939,1.3412310217935097
1,high,common,reference,237,235,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
1,high,common,candidate,237,235,217,0.9234042553191489,0.20914838412539236,0.09035725100363401,0.46349302589189556,0.785616234767939,1.3412310217935097
2,all,individual,reference,1943,1935,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,all,individual,candidate,1943,1935,1722,0.889922480620155,0.2114310834269966,0.00958633834556792,0.5216728350833904,0.8054434216697722,2.1379901536228036
2,all,common,reference,1943,1935,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,all,common,candidate,1943,1935,1722,0.889922480620155,0.2114310834269966,0.00958633834556792,0.5216728350833904,0.8054434216697722,2.1379901536228036
2,high,individual,reference,237,235,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
2,high,individual,candidate,237,235,174,0.7404255319148936,0.33924289657209317,0.14770736875331772,0.7824296854538125,1.03908170072102,2.1379901536228036
2,high,common,reference,237,235,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
2,high,common,candidate,237,235,174,0.7404255319148936,0.33924289657209317,0.14770736875331772,0.7824296854538125,1.03908170072102,2.1379901536228036
3,all,individual,reference,1942,1932,1636,0.8467908902691511,0.26250735407284537,0.014924771631008655,0.6129691346880035,1.026676685192298,2.769956886268055
3,all,individual,candidate,1942,1932,1634,0.8457556935817805,0.2623917675341958,0.014825945344187961,0.6121714524920163,1.018351889418869,2.7911014408745647
3,all,common,reference,1942,1932,1636,0.8467908902691511,0.26250735407284537,0.014924771631008655,0.6129691346880035,1.026676685192298,2.769956886268055
3,all,common,candidate,1942,1932,1634,0.8457556935817805,0.2623917675341958,0.014825945344187961,0.6121714524920163,1.018351889418869,2.7911014408745647
3,high,individual,reference,237,235,155,0.6595744680851063,0.4569948122650997,0.19674164872568917,1.0668734186132909,1.2921763492409757,2.769956886268055
3,high,individual,candidate,237,235,153,0.6510638297872341,0.4578688346789664,0.19459991897350262,1.0571619484759764,1.2903730168684469,2.7911014408745647
3,high,common,reference,237,235,155,0.6595744680851063,0.4569948122650997,0.19674164872568917,1.0668734186132909,1.2921763492409757,2.769956886268055
