origin,target_time,nominal_lead_h,actual_m,reference_m,candidate_m
2026-07-22T05:00:00-03:00,2026-07-22T17:00:00-03:00,12,18.95,21.607916896370284,21.555674025770543
2026-07-22T06:00:00-03:00,2026-07-22T17:00:00-03:00,11,18.95,21.4971891284941,21.45081544032682
2026-07-22T07:00:00-03:00,2026-07-22T17:00:00-03:00,10,18.95,20.782212097374615,20.746964863781443
2026-07-22T08:00:00-03:00,2026-07-22T17:00:00-03:00,9,18.95,13.046633276221861,13.077230504650522
2026-07-22T09:00:00-03:00,2026-07-22T17:00:00-03:00,8,18.95,13.82719114440825,13.857315836203664
2026-07-22T10:00:00-03:00,2026-07-22T17:00:00-03:00,7,18.95,15.721228134701775,15.741293587837195
2026-07-22T11:00:00-03:00,2026-07-22T17:00:00-03:00,6,18.95,22.60660652670227,22.57518787518961
2026-07-22T12:00:00-03:00,2026-07-22T17:00:00-03:00,5,18.95,21.346912306703707,21.328415181053437
2026-07-22T13:00:00-03:00,2026-07-22T17:00:00-03:00,4,18.95,20.52416191592235,20.51352865555595
2026-07-22T14:00:00-03:00,2026-07-22T17:00:00-03:00,3,18.95,20.224080570683654,20.216322027739277
2026-07-22T15:00:00-03:00,2026-07-22T17:00:00-03:00,2,18.95,19.943678088808888,19.93839538057337
2026-07-22T16:00:00-03:00,2026-07-22T17:00:00-03:00,1,18.95,19.908091936186533,19.907310183469207
