source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,1200.0,13.8
86099000,2026-09-22T03:00:00-03:00,60.0,3.53
86102000,2026-09-21T10:00:00-03:00,1080.0,7.51
86117000,2026-09-22T03:00:00-03:00,60.0,1.89
86125000,2026-09-21T11:59:00-03:00,961.0,0.8412999999999999
86125050,2026-09-22T03:00:00-03:00,60.0,1.48
86160000,2026-09-22T02:45:00-03:00,75.0,4.07
86163000,2026-09-22T01:00:00-03:00,180.0,1.28
86200900,2026-09-21T12:00:00-03:00,960.0,667.03
86280500,2026-09-22T03:00:00-03:00,60.0,4.4688
86298000,2026-09-21T19:00:00-03:00,540.0,12.71
86403000,2026-09-22T03:00:00-03:00,60.0,8.02
86410800,2026-09-22T02:00:00-03:00,120.0,0.09
86447000,2026-09-22T03:00:00-03:00,60.0,4.57
86448000,2026-09-21T19:00:00-03:00,540.0,153.55
86450000,2026-09-22T01:15:00-03:00,165.0,19.54
86471000,2026-09-22T03:30:00-03:00,30.0,5.38
86472000,2026-09-22T03:30:00-03:00,30.0,19.39
86472600,2026-09-22T03:45:00-03:00,15.0,16.74
86479000,2026-09-22T03:00:00-03:00,60.0,0.05
86488000,2026-09-22T03:00:00-03:00,60.0,2.01
86493000,2026-09-22T02:00:00-03:00,120.0,371.75
86495500,2026-09-22T02:00:00-03:00,120.0,330.28
86500000,2026-09-22T03:30:00-03:00,30.0,3.861
86504900,2026-09-22T02:00:00-03:00,120.0,5.49
86505500,2026-09-22T03:00:00-03:00,60.0,1.15
86510000,2026-09-22T03:30:00-03:00,30.0,18.73
julho,2026-09-22T03:00:00-03:00,60.0,10285.63
monte,2026-09-22T03:00:00-03:00,60.0,9289.69
castro,2026-09-22T03:00:00-03:00,60.0,5858.04
