model,phase,lead_h_nominal,regime,n,hits,accuracy_percent,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m,invalid_pairs_in_model_horizon,goal_prospectively_verified
arvores,test,1.0,all,1350,1349,99.92592592592592,0.03008081669782199,0.0008155603200308313,0.07212323454825575,0.15495472964184498,0.5125646871878553,0,False
arvores,test,1.0,level_ge_7m,144,144,100.0,0.05353390032465141,0.002307914923956594,0.12217328497754833,0.22995081418414284,0.30094283159073676,0,False
arvores,test,1.0,rising_at_least_015m_per_h,212,211,99.52830188679245,0.07213986030918118,-0.021331843640013275,0.15518127685903577,0.23209530947936544,0.5125646871878553,0,False
arvores,test,1.0,falling_at_least_015m_per_h,240,240,100.0,0.03104865204784523,0.01569911521216356,0.058456102027556064,0.10240108030854535,0.14958184888285952,0,False
arvores,test,2.0,all,1348,1345,99.77744807121661,0.048960229475513345,-0.00018268085208806678,0.11108989244217468,0.23478089162001012,0.637291948973763,0,False
arvores,test,2.0,level_ge_7m,143,142,99.3006993006993,0.09914330692383025,-0.002718306812004775,0.21369529507622448,0.47717314291812557,0.6175308928792287,0,False
arvores,test,2.0,rising_at_least_015m_per_h,205,202,98.53658536585365,0.11327466656184136,-0.021290812648101596,0.22768076471730464,0.48093167384507046,0.637291948973763,0,False
arvores,test,2.0,falling_at_least_015m_per_h,211,211,100.0,0.05040479305265156,0.019874632516897337,0.09876986055578918,0.16012625784346526,0.21372254210128894,0,False
arvores,test,3.0,all,1346,1336,99.25705794947994,0.06726179763580083,0.0023511164379993203,0.1527452674854488,0.34909762493090124,0.8362490679095789,0,False
arvores,test,3.0,level_ge_7m,142,136,95.77464788732394,0.14635373682138608,-0.008260454317050336,0.31364704187333053,0.6060851528041242,0.8362490679095789,0,False
arvores,test,3.0,rising_at_least_015m_per_h,208,199,95.67307692307692,0.14488487058864227,-0.024740436317674266,0.34055826277086226,0.5905334045246597,0.8362490679095789,0,False
arvores,test,3.0,falling_at_least_015m_per_h,196,196,100.0,0.07051795937908098,0.02439963132999905,0.12482866765869538,0.22420062736218715,0.3140732077896793,0,False
arvores,test,4.0,all,1345,1322,98.2899628252788,0.09732746636260352,-0.004453757082457162,0.22967415392601173,0.46347214592030683,1.2819011477345903,0,False
arvores,test,4.0,level_ge_7m,141,126,89.36170212765957,0.23207621707736337,-0.049527439942809344,0.5171174499729165,0.9528602571270449,1.2819011477345903,0,False
arvores,test,4.0,rising_at_least_015m_per_h,205,188,91.70731707317073,0.19967599829114974,-0.061914098363088,0.45448931123685565,0.7130253767764043,1.2819011477345903,0,False
arvores,test,4.0,falling_at_least_015m_per_h,187,187,100.0,0.0852409179283203,0.01731888570326718,0.17303590550147843,0.2774012575273483,0.3484663997754378,0,False
arvores,test,5.0,all,1344,1300,96.72619047619048,0.13149055573675844,0.0021418448553910574,0.316251472171699,0.6369719372560568,1.1872009736585571,0,False
arvores,test,5.0,level_ge_7m,140,113,80.71428571428571,0.3289256899457133,0.0051840092169302045,0.8590893096480934,1.1518717189366734,1.1872009736585571,0,False
arvores,test,5.0,rising_at_least_015m_per_h,201,174,86.56716417910448,0.24461479974180006,-0.05983650447696159,0.5630401321586902,1.062865594335677,1.1872009736585571,0,False
