plant,time,field,ceran_m,ons_m,timestamp_overlap,delta_m
JIUHQJ,2026-09-21T20:00:00-03:00,val_nivelmontante,107.95,,False,
JIUHQJ,2026-09-21T20:00:00-03:00,val_niveljusante,82.1,,False,
JIUHQJ,2026-09-21T19:00:00-03:00,val_nivelmontante,107.79,,False,
JIUHQJ,2026-09-21T19:00:00-03:00,val_niveljusante,81.15,,False,
JIUHQJ,2026-09-21T18:00:00-03:00,val_nivelmontante,107.78,,False,
JIUHQJ,2026-09-21T18:00:00-03:00,val_niveljusante,79.67,,False,
JIUHQJ,2026-09-21T17:00:00-03:00,val_nivelmontante,107.41,,False,
JIUHQJ,2026-09-21T17:00:00-03:00,val_niveljusante,78.86,,False,
JIUHQJ,2026-09-21T16:00:00-03:00,val_nivelmontante,107.08,,False,
JIUHQJ,2026-09-21T16:00:00-03:00,val_niveljusante,78.28,,False,
JIUHQJ,2026-09-21T15:00:00-03:00,val_nivelmontante,106.54,,False,
JIUHQJ,2026-09-21T15:00:00-03:00,val_niveljusante,77.46,,False,
JIUHQJ,2026-09-21T14:00:00-03:00,val_nivelmontante,106.19,,False,
JIUHQJ,2026-09-21T14:00:00-03:00,val_niveljusante,77.11,,False,
JIUHQJ,2026-09-21T13:00:00-03:00,val_nivelmontante,106.3,,False,
JIUHQJ,2026-09-21T13:00:00-03:00,val_niveljusante,75.95,,False,
JIUHQJ,2026-09-21T12:00:00-03:00,val_nivelmontante,106.1,,False,
JIUHQJ,2026-09-21T12:00:00-03:00,val_niveljusante,74.37,,False,
JIUHQJ,2026-09-21T11:00:00-03:00,val_nivelmontante,105.39,105.39,True,0.0
JIUHQJ,2026-09-21T11:00:00-03:00,val_niveljusante,72.75,72.75,True,0.0
JIUHQJ,2026-09-21T10:00:00-03:00,val_nivelmontante,104.87,104.87,True,0.0
JIUHQJ,2026-09-21T10:00:00-03:00,val_niveljusante,71.74,71.74,True,0.0
JIUHQJ,2026-09-21T09:00:00-03:00,val_nivelmontante,104.41,104.41,True,0.0
JIUHQJ,2026-09-21T09:00:00-03:00,val_niveljusante,72.08,72.08,True,0.0
JIUHQJ,2026-09-21T08:00:00-03:00,val_nivelmontante,104.25,104.25,True,0.0
JIUHQJ,2026-09-21T08:00:00-03:00,val_niveljusante,71.1,71.1,True,0.0
JIUHQJ,2026-09-21T07:00:00-03:00,val_nivelmontante,104.22,104.22,True,0.0
JIUHQJ,2026-09-21T07:00:00-03:00,val_niveljusante,71.05,71.05,True,0.0
JIUHQJ,2026-09-21T06:00:00-03:00,val_nivelmontante,104.22,104.22,True,0.0
JIUHQJ,2026-09-21T06:00:00-03:00,val_niveljusante,71.08,71.08,True,0.0
JIUHQJ,2026-09-21T05:00:00-03:00,val_nivelmontante,104.22,104.22,True,0.0
JIUHQJ,2026-09-21T05:00:00-03:00,val_niveljusante,71.08,71.08,True,0.0
JIUHQJ,2026-09-21T04:00:00-03:00,val_nivelmontante,104.25,104.25,True,0.0
JIUHQJ,2026-09-21T04:00:00-03:00,val_niveljusante,71.1,71.1,True,0.0
JIUHQJ,2026-09-21T03:00:00-03:00,val_nivelmontante,104.27,104.27,True,0.0
JIUHQJ,2026-09-21T03:00:00-03:00,val_niveljusante,71.1,71.1,True,0.0
JIUHQJ,2026-09-21T02:00:00-03:00,val_nivelmontante,104.28,104.28,True,0.0
JIUHQJ,2026-09-21T02:00:00-03:00,val_niveljusante,71.15,71.15,True,0.0
JIUHQJ,2026-09-21T01:00:00-03:00,val_nivelmontante,104.3,104.3,True,0.0
JIUHQJ,2026-09-21T01:00:00-03:00,val_niveljusante,71.16,71.16,True,0.0
JIUHQJ,2026-09-21T00:00:00-03:00,val_nivelmontante,104.34,,False,
JIUHQJ,2026-09-21T00:00:00-03:00,val_niveljusante,71.25,,False,
JIUHQJ,2026-09-20T23:00:00-03:00,val_nivelmontante,104.38,104.38,True,0.0
JIUHQJ,2026-09-20T23:00:00-03:00,val_niveljusante,71.3,71.3,True,0.0
JIUHQJ,2026-09-20T22:00:00-03:00,val_nivelmontante,104.42,104.42,True,0.0
JIUHQJ,2026-09-20T22:00:00-03:00,val_niveljusante,71.34,71.34,True,0.0
JIUHQJ,2026-09-20T21:00:00-03:00,val_nivelmontante,104.51,104.51,True,0.0
JIUHQJ,2026-09-20T21:00:00-03:00,val_niveljusante,71.39,71.39,True,0.0
JIUHQJ,2026-09-20T20:00:00-03:00,val_nivelmontante,104.55,104.55,True,0.0
JIUHQJ,2026-09-20T20:00:00-03:00,val_niveljusante,71.45,71.45,True,0.0
JIUHQJ,2026-09-20T19:00:00-03:00,val_nivelmontante,104.6,104.6,True,0.0
JIUHQJ,2026-09-20T19:00:00-03:00,val_niveljusante,71.52,71.52,True,0.0
JIUHQJ,2026-09-20T18:00:00-03:00,val_nivelmontante,104.66,104.66,True,0.0
JIUHQJ,2026-09-20T18:00:00-03:00,val_niveljusante,71.53,71.53,True,0.0
JIUHQJ,2026-09-20T17:00:00-03:00,val_nivelmontante,104.77,104.77,True,0.0
JIUHQJ,2026-09-20T17:00:00-03:00,val_niveljusante,70.5,70.5,True,0.0
JIUHQJ,2026-09-20T16:00:00-03:00,val_nivelmontante,104.76,104.76,True,0.0
JIUHQJ,2026-09-20T16:00:00-03:00,val_niveljusante,70.12,70.12,True,0.0
JIUHQJ,2026-09-20T15:00:00-03:00,val_nivelmontante,104.69,104.69,True,0.0
JIUHQJ,2026-09-20T15:00:00-03:00,val_niveljusante,69.86,69.86,True,0.0
JIUHQJ,2026-09-20T14:00:00-03:00,val_nivelmontante,104.61,104.61,True,0.0
JIUHQJ,2026-09-20T14:00:00-03:00,val_niveljusante,69.63,69.63,True,0.0
JIUHQJ,2026-09-20T13:00:00-03:00,val_nivelmontante,104.53,104.53,True,0.0
