plant,time,field,ceran_m,ons_m,timestamp_overlap,delta_m
JIUHQJ,2026-09-20T13:00:00-03:00,val_niveljusante,69.36,69.36,True,0.0
JIUHQJ,2026-09-20T12:00:00-03:00,val_nivelmontante,104.35,104.35,True,0.0
JIUHQJ,2026-09-20T12:00:00-03:00,val_niveljusante,69.15,69.15,True,0.0
JIUHQJ,2026-09-20T11:00:00-03:00,val_nivelmontante,104.36,104.36,True,0.0
JIUHQJ,2026-09-20T11:00:00-03:00,val_niveljusante,69.01,69.01,True,0.0
JIUHQJ,2026-09-20T10:00:00-03:00,val_nivelmontante,104.31,104.31,True,0.0
JIUHQJ,2026-09-20T10:00:00-03:00,val_niveljusante,69.05,69.05,True,0.0
JIUHQJ,2026-09-20T09:00:00-03:00,val_nivelmontante,104.19,104.19,True,0.0
JIUHQJ,2026-09-20T09:00:00-03:00,val_niveljusante,70.0,70.0,True,0.0
JIUHQJ,2026-09-20T08:00:00-03:00,val_nivelmontante,104.0,104.0,True,0.0
JIUHQJ,2026-09-20T08:00:00-03:00,val_niveljusante,70.91,70.91,True,0.0
JIUHQJ,2026-09-20T07:00:00-03:00,val_nivelmontante,103.99,103.99,True,0.0
JIUHQJ,2026-09-20T07:00:00-03:00,val_niveljusante,70.97,70.97,True,0.0
JIUHQJ,2026-09-20T06:00:00-03:00,val_nivelmontante,104.0,104.0,True,0.0
JIUHQJ,2026-09-20T06:00:00-03:00,val_niveljusante,70.97,70.97,True,0.0
JIUHQJ,2026-09-20T05:00:00-03:00,val_nivelmontante,104.04,104.04,True,0.0
JIUHQJ,2026-09-20T05:00:00-03:00,val_niveljusante,71.04,71.04,True,0.0
JIUHQJ,2026-09-20T04:00:00-03:00,val_nivelmontante,104.06,104.06,True,0.0
JIUHQJ,2026-09-20T04:00:00-03:00,val_niveljusante,71.03,71.03,True,0.0
JIUHQJ,2026-09-20T03:00:00-03:00,val_nivelmontante,104.09,104.09,True,0.0
JIUHQJ,2026-09-20T03:00:00-03:00,val_niveljusante,71.04,71.04,True,0.0
JIUHQJ,2026-09-20T02:00:00-03:00,val_nivelmontante,104.12,104.12,True,0.0
JIUHQJ,2026-09-20T02:00:00-03:00,val_niveljusante,71.05,71.05,True,0.0
JIUHQJ,2026-09-20T01:00:00-03:00,val_nivelmontante,104.17,104.17,True,0.0
JIUHQJ,2026-09-20T01:00:00-03:00,val_niveljusante,71.07,71.07,True,0.0
JIUHQJ,2026-09-20T00:00:00-03:00,val_nivelmontante,104.21,,False,
JIUHQJ,2026-09-20T00:00:00-03:00,val_niveljusante,71.13,,False,
JIUHQJ,2026-09-19T23:00:00-03:00,val_nivelmontante,104.26,104.26,True,0.0
JIUHQJ,2026-09-19T23:00:00-03:00,val_niveljusante,71.18,71.18,True,0.0
JIUHQJ,2026-09-19T22:00:00-03:00,val_nivelmontante,104.31,104.31,True,0.0
JIUHQJ,2026-09-19T22:00:00-03:00,val_niveljusante,71.21,71.21,True,0.0
JIUHQJ,2026-09-19T21:00:00-03:00,val_nivelmontante,104.36,104.36,True,0.0
JIUHQJ,2026-09-19T21:00:00-03:00,val_niveljusante,71.25,71.25,True,0.0
JIUHMC,2026-09-21T20:00:00-03:00,val_nivelmontante,153.94,,False,
JIUHMC,2026-09-21T20:00:00-03:00,val_niveljusante,119.55,,False,
JIUHMC,2026-09-21T19:00:00-03:00,val_nivelmontante,153.55,,False,
JIUHMC,2026-09-21T19:00:00-03:00,val_niveljusante,118.42,,False,
JIUHMC,2026-09-21T18:00:00-03:00,val_nivelmontante,152.76,,False,
JIUHMC,2026-09-21T18:00:00-03:00,val_niveljusante,117.1,,False,
JIUHMC,2026-09-21T17:00:00-03:00,val_nivelmontante,152.18,,False,
JIUHMC,2026-09-21T17:00:00-03:00,val_niveljusante,115.88,,False,
JIUHMC,2026-09-21T16:00:00-03:00,val_nivelmontante,152.1,,False,
JIUHMC,2026-09-21T16:00:00-03:00,val_niveljusante,115.2,,False,
JIUHMC,2026-09-21T15:00:00-03:00,val_nivelmontante,151.97,,False,
JIUHMC,2026-09-21T15:00:00-03:00,val_niveljusante,114.23,,False,
JIUHMC,2026-09-21T14:00:00-03:00,val_nivelmontante,151.5,,False,
JIUHMC,2026-09-21T14:00:00-03:00,val_niveljusante,113.16,,False,
JIUHMC,2026-09-21T13:00:00-03:00,val_nivelmontante,150.74,,False,
JIUHMC,2026-09-21T13:00:00-03:00,val_niveljusante,111.85,,False,
JIUHMC,2026-09-21T12:00:00-03:00,val_nivelmontante,149.96,,False,
JIUHMC,2026-09-21T12:00:00-03:00,val_niveljusante,112.19,,False,
JIUHMC,2026-09-21T11:00:00-03:00,val_nivelmontante,149.87,149.87,True,0.0
JIUHMC,2026-09-21T11:00:00-03:00,val_niveljusante,111.31,111.31,True,0.0
JIUHMC,2026-09-21T10:00:00-03:00,val_nivelmontante,150.16,150.16,True,0.0
JIUHMC,2026-09-21T10:00:00-03:00,val_niveljusante,108.88,108.88,True,0.0
JIUHMC,2026-09-21T09:00:00-03:00,val_nivelmontante,149.41,149.41,True,0.0
JIUHMC,2026-09-21T09:00:00-03:00,val_niveljusante,107.73,107.73,True,0.0
JIUHMC,2026-09-21T08:00:00-03:00,val_nivelmontante,148.79,148.79,True,0.0
JIUHMC,2026-09-21T08:00:00-03:00,val_niveljusante,106.79,106.79,True,0.0
JIUHMC,2026-09-21T07:00:00-03:00,val_nivelmontante,148.77,148.77,True,0.0
JIUHMC,2026-09-21T07:00:00-03:00,val_niveljusante,106.7,106.7,True,0.0
JIUHMC,2026-09-21T06:00:00-03:00,val_nivelmontante,148.76,148.76,True,0.0
JIUHMC,2026-09-21T06:00:00-03:00,val_niveljusante,106.7,106.7,True,0.0
JIUHMC,2026-09-21T05:00:00-03:00,val_nivelmontante,148.76,148.76,True,0.0
JIUHMC,2026-09-21T05:00:00-03:00,val_niveljusante,106.65,106.65,True,0.0
JIUHMC,2026-09-21T04:00:00-03:00,val_nivelmontante,148.76,148.76,True,0.0
JIUHMC,2026-09-21T04:00:00-03:00,val_niveljusante,106.62,106.62,True,0.0
JIUHMC,2026-09-21T03:00:00-03:00,val_nivelmontante,148.74,148.74,True,0.0
JIUHMC,2026-09-21T03:00:00-03:00,val_niveljusante,106.6,106.6,True,0.0
JIUHMC,2026-09-21T02:00:00-03:00,val_nivelmontante,148.74,148.74,True,0.0
JIUHMC,2026-09-21T02:00:00-03:00,val_niveljusante,106.6,106.6,True,0.0
JIUHMC,2026-09-21T01:00:00-03:00,val_nivelmontante,148.73,148.73,True,0.0
JIUHMC,2026-09-21T01:00:00-03:00,val_niveljusante,106.6,106.6,True,0.0
JIUHMC,2026-09-21T00:00:00-03:00,val_nivelmontante,148.72,,False,
JIUHMC,2026-09-21T00:00:00-03:00,val_niveljusante,106.58,,False,
JIUHMC,2026-09-20T23:00:00-03:00,val_nivelmontante,148.71,148.71,True,0.0
JIUHMC,2026-09-20T23:00:00-03:00,val_niveljusante,106.57,106.57,True,0.0
JIUHMC,2026-09-20T22:00:00-03:00,val_nivelmontante,148.71,148.71,True,0.0
JIUHMC,2026-09-20T22:00:00-03:00,val_niveljusante,106.63,106.63,True,0.0
JIUHMC,2026-09-20T21:00:00-03:00,val_nivelmontante,148.69,148.69,True,0.0
JIUHMC,2026-09-20T21:00:00-03:00,val_niveljusante,106.63,106.63,True,0.0
JIUHMC,2026-09-20T20:00:00-03:00,val_nivelmontante,148.68,148.68,True,0.0
JIUHMC,2026-09-20T20:00:00-03:00,val_niveljusante,106.72,106.72,True,0.0
JIUHMC,2026-09-20T19:00:00-03:00,val_nivelmontante,148.68,148.68,True,0.0
JIUHMC,2026-09-20T19:00:00-03:00,val_niveljusante,106.97,106.97,True,0.0
JIUHMC,2026-09-20T18:00:00-03:00,val_nivelmontante,148.75,148.75,True,0.0
JIUHMC,2026-09-20T18:00:00-03:00,val_niveljusante,106.98,106.98,True,0.0
JIUHMC,2026-09-20T17:00:00-03:00,val_nivelmontante,148.96,148.96,True,0.0
JIUHMC,2026-09-20T17:00:00-03:00,val_niveljusante,106.59,106.59,True,0.0
JIUHMC,2026-09-20T16:00:00-03:00,val_nivelmontante,148.98,148.98,True,0.0
JIUHMC,2026-09-20T16:00:00-03:00,val_niveljusante,106.6,106.6,True,0.0
JIUHMC,2026-09-20T15:00:00-03:00,val_nivelmontante,149.0,149.0,True,0.0
JIUHMC,2026-09-20T15:00:00-03:00,val_niveljusante,106.62,106.62,True,0.0
JIUHMC,2026-09-20T14:00:00-03:00,val_nivelmontante,149.04,149.04,True,0.0
JIUHMC,2026-09-20T14:00:00-03:00,val_niveljusante,106.56,106.56,True,0.0
JIUHMC,2026-09-20T13:00:00-03:00,val_nivelmontante,149.06,149.06,True,0.0
JIUHMC,2026-09-20T13:00:00-03:00,val_niveljusante,106.44,106.44,True,0.0
JIUHMC,2026-09-20T12:00:00-03:00,val_nivelmontante,149.03,149.03,True,0.0
JIUHMC,2026-09-20T12:00:00-03:00,val_niveljusante,106.3,106.3,True,0.0
JIUHMC,2026-09-20T11:00:00-03:00,val_nivelmontante,148.96,148.96,True,0.0
JIUHMC,2026-09-20T11:00:00-03:00,val_niveljusante,105.07,105.07,True,0.0
JIUHMC,2026-09-20T10:00:00-03:00,val_nivelmontante,148.92,148.92,True,0.0
JIUHMC,2026-09-20T10:00:00-03:00,val_niveljusante,105.93,105.93,True,0.0
JIUHMC,2026-09-20T09:00:00-03:00,val_nivelmontante,148.78,148.78,True,0.0
JIUHMC,2026-09-20T09:00:00-03:00,val_niveljusante,106.09,106.09,True,0.0
JIUHMC,2026-09-20T08:00:00-03:00,val_nivelmontante,148.65,148.65,True,0.0
JIUHMC,2026-09-20T08:00:00-03:00,val_niveljusante,106.52,106.52,True,0.0
JIUHMC,2026-09-20T07:00:00-03:00,val_nivelmontante,148.66,148.66,True,0.0
JIUHMC,2026-09-20T07:00:00-03:00,val_niveljusante,106.41,106.41,True,0.0
JIUHMC,2026-09-20T06:00:00-03:00,val_nivelmontante,148.54,148.54,True,0.0
JIUHMC,2026-09-20T06:00:00-03:00,val_niveljusante,106.36,106.36,True,0.0
JIUHMC,2026-09-20T05:00:00-03:00,val_nivelmontante,148.56,148.56,True,0.0
JIUHMC,2026-09-20T05:00:00-03:00,val_niveljusante,106.33,106.33,True,0.0
JIUHMC,2026-09-20T04:00:00-03:00,val_nivelmontante,148.48,148.48,True,0.0
JIUHMC,2026-09-20T04:00:00-03:00,val_niveljusante,106.32,106.32,True,0.0
JIUHMC,2026-09-20T03:00:00-03:00,val_nivelmontante,148.46,148.46,True,0.0
JIUHMC,2026-09-20T03:00:00-03:00,val_niveljusante,106.32,106.32,True,0.0
JIUHMC,2026-09-20T02:00:00-03:00,val_nivelmontante,148.43,148.43,True,0.0
JIUHMC,2026-09-20T02:00:00-03:00,val_niveljusante,106.32,106.32,True,0.0
JIUHMC,2026-09-20T01:00:00-03:00,val_nivelmontante,148.41,148.41,True,0.0
JIUHMC,2026-09-20T01:00:00-03:00,val_niveljusante,106.33,106.33,True,0.0
JIUHMC,2026-09-20T00:00:00-03:00,val_nivelmontante,148.42,,False,
JIUHMC,2026-09-20T00:00:00-03:00,val_niveljusante,106.33,,False,
JIUHMC,2026-09-19T23:00:00-03:00,val_nivelmontante,148.44,148.44,True,0.0
JIUHMC,2026-09-19T23:00:00-03:00,val_niveljusante,106.38,106.38,True,0.0
JIUHMC,2026-09-19T22:00:00-03:00,val_nivelmontante,148.49,148.49,True,0.0
JIUHMC,2026-09-19T22:00:00-03:00,val_niveljusante,106.48,106.48,True,0.0
JIUHMC,2026-09-19T21:00:00-03:00,val_nivelmontante,148.52,148.52,True,0.0
JIUHMC,2026-09-19T21:00:00-03:00,val_niveljusante,106.57,106.57,True,0.0
JIUHCA,2026-09-21T20:00:00-03:00,val_nivelmontante,246.96,,False,
JIUHCA,2026-09-21T20:00:00-03:00,val_niveljusante,159.36,,False,
JIUHCA,2026-09-21T19:00:00-03:00,val_nivelmontante,247.16,,False,
JIUHCA,2026-09-21T19:00:00-03:00,val_niveljusante,158.64,,False,
JIUHCA,2026-09-21T18:00:00-03:00,val_nivelmontante,246.81,,False,
JIUHCA,2026-09-21T18:00:00-03:00,val_niveljusante,157.4,,False,
JIUHCA,2026-09-21T17:00:00-03:00,val_nivelmontante,246.17,,False,
JIUHCA,2026-09-21T17:00:00-03:00,val_niveljusante,156.18,,False,
JIUHCA,2026-09-21T16:00:00-03:00,val_nivelmontante,245.47,,False,
JIUHCA,2026-09-21T16:00:00-03:00,val_niveljusante,155.09,,False,
JIUHCA,2026-09-21T15:00:00-03:00,val_nivelmontante,244.44,,False,
JIUHCA,2026-09-21T15:00:00-03:00,val_niveljusante,154.24,,False,
JIUHCA,2026-09-21T14:00:00-03:00,val_nivelmontante,243.88,,False,
JIUHCA,2026-09-21T14:00:00-03:00,val_niveljusante,153.58,,False,
JIUHCA,2026-09-21T13:00:00-03:00,val_nivelmontante,243.65,,False,
JIUHCA,2026-09-21T13:00:00-03:00,val_niveljusante,152.51,,False,
JIUHCA,2026-09-21T12:00:00-03:00,val_nivelmontante,243.17,,False,
JIUHCA,2026-09-21T12:00:00-03:00,val_niveljusante,151.08,,False,
JIUHCA,2026-09-21T11:00:00-03:00,val_nivelmontante,242.21,242.21,True,0.0
JIUHCA,2026-09-21T11:00:00-03:00,val_niveljusante,150.78,150.78,True,0.0
JIUHCA,2026-09-21T10:00:00-03:00,val_nivelmontante,241.11,241.11,True,0.0
JIUHCA,2026-09-21T10:00:00-03:00,val_niveljusante,151.07,151.07,True,0.0
JIUHCA,2026-09-21T09:00:00-03:00,val_nivelmontante,240.53,240.53,True,0.0
JIUHCA,2026-09-21T09:00:00-03:00,val_niveljusante,149.69,149.69,True,0.0
JIUHCA,2026-09-21T08:00:00-03:00,val_nivelmontante,240.31,240.31,True,0.0
JIUHCA,2026-09-21T08:00:00-03:00,val_niveljusante,148.56,148.56,True,0.0
JIUHCA,2026-09-21T07:00:00-03:00,val_nivelmontante,240.29,240.29,True,0.0
JIUHCA,2026-09-21T07:00:00-03:00,val_niveljusante,148.5,148.5,True,0.0
JIUHCA,2026-09-21T06:00:00-03:00,val_nivelmontante,240.28,240.28,True,0.0
JIUHCA,2026-09-21T06:00:00-03:00,val_niveljusante,148.5,148.5,True,0.0
JIUHCA,2026-09-21T05:00:00-03:00,val_nivelmontante,240.28,240.28,True,0.0
JIUHCA,2026-09-21T05:00:00-03:00,val_niveljusante,148.45,148.45,True,0.0
JIUHCA,2026-09-21T04:00:00-03:00,val_nivelmontante,240.29,240.29,True,0.0
JIUHCA,2026-09-21T04:00:00-03:00,val_niveljusante,148.4,148.4,True,0.0
JIUHCA,2026-09-21T03:00:00-03:00,val_nivelmontante,240.29,240.29,True,0.0
JIUHCA,2026-09-21T03:00:00-03:00,val_niveljusante,148.33,148.33,True,0.0
JIUHCA,2026-09-21T02:00:00-03:00,val_nivelmontante,240.3,240.3,True,0.0
JIUHCA,2026-09-21T02:00:00-03:00,val_niveljusante,148.48,148.48,True,0.0
JIUHCA,2026-09-21T01:00:00-03:00,val_nivelmontante,240.3,240.3,True,0.0
JIUHCA,2026-09-21T01:00:00-03:00,val_niveljusante,148.45,148.45,True,0.0
JIUHCA,2026-09-21T00:00:00-03:00,val_nivelmontante,240.3,,False,
JIUHCA,2026-09-21T00:00:00-03:00,val_niveljusante,148.45,,False,
JIUHCA,2026-09-20T23:00:00-03:00,val_nivelmontante,240.3,240.3,True,0.0
JIUHCA,2026-09-20T23:00:00-03:00,val_niveljusante,148.43,148.43,True,0.0
JIUHCA,2026-09-20T22:00:00-03:00,val_nivelmontante,240.29,240.29,True,0.0
JIUHCA,2026-09-20T22:00:00-03:00,val_niveljusante,148.43,148.43,True,0.0
JIUHCA,2026-09-20T21:00:00-03:00,val_nivelmontante,240.29,240.29,True,0.0
JIUHCA,2026-09-20T21:00:00-03:00,val_niveljusante,148.4,148.4,True,0.0
JIUHCA,2026-09-20T20:00:00-03:00,val_nivelmontante,240.28,240.28,True,0.0
JIUHCA,2026-09-20T20:00:00-03:00,val_niveljusante,148.39,148.39,True,0.0
JIUHCA,2026-09-20T19:00:00-03:00,val_nivelmontante,240.25,240.25,True,0.0
JIUHCA,2026-09-20T19:00:00-03:00,val_niveljusante,148.4,148.4,True,0.0
JIUHCA,2026-09-20T18:00:00-03:00,val_nivelmontante,240.23,240.23,True,0.0
JIUHCA,2026-09-20T18:00:00-03:00,val_niveljusante,148.42,148.42,True,0.0
JIUHCA,2026-09-20T17:00:00-03:00,val_nivelmontante,240.2,240.2,True,0.0
JIUHCA,2026-09-20T17:00:00-03:00,val_niveljusante,148.67,148.67,True,0.0
JIUHCA,2026-09-20T16:00:00-03:00,val_nivelmontante,240.17,240.17,True,0.0
JIUHCA,2026-09-20T16:00:00-03:00,val_niveljusante,148.67,148.67,True,0.0
JIUHCA,2026-09-20T15:00:00-03:00,val_nivelmontante,240.11,240.11,True,0.0
JIUHCA,2026-09-20T15:00:00-03:00,val_niveljusante,148.73,148.73,True,0.0
JIUHCA,2026-09-20T14:00:00-03:00,val_nivelmontante,240.06,240.06,True,0.0
JIUHCA,2026-09-20T14:00:00-03:00,val_niveljusante,148.76,148.76,True,0.0
JIUHCA,2026-09-20T13:00:00-03:00,val_nivelmontante,240.02,240.02,True,0.0
JIUHCA,2026-09-20T13:00:00-03:00,val_niveljusante,148.75,148.75,True,0.0
JIUHCA,2026-09-20T12:00:00-03:00,val_nivelmontante,239.97,239.97,True,0.0
JIUHCA,2026-09-20T12:00:00-03:00,val_niveljusante,148.75,148.75,True,0.0
JIUHCA,2026-09-20T11:00:00-03:00,val_nivelmontante,239.92,239.92,True,0.0
JIUHCA,2026-09-20T11:00:00-03:00,val_niveljusante,148.68,148.68,True,0.0
JIUHCA,2026-09-20T10:00:00-03:00,val_nivelmontante,239.9,239.9,True,0.0
JIUHCA,2026-09-20T10:00:00-03:00,val_niveljusante,148.63,148.63,True,0.0
JIUHCA,2026-09-20T09:00:00-03:00,val_nivelmontante,239.89,239.89,True,0.0
JIUHCA,2026-09-20T09:00:00-03:00,val_niveljusante,148.48,148.48,True,0.0
JIUHCA,2026-09-20T08:00:00-03:00,val_nivelmontante,239.91,239.91,True,0.0
JIUHCA,2026-09-20T08:00:00-03:00,val_niveljusante,148.36,148.36,True,0.0
JIUHCA,2026-09-20T07:00:00-03:00,val_nivelmontante,239.89,239.89,True,0.0
JIUHCA,2026-09-20T07:00:00-03:00,val_niveljusante,148.32,148.32,True,0.0
JIUHCA,2026-09-20T06:00:00-03:00,val_nivelmontante,239.84,239.84,True,0.0
JIUHCA,2026-09-20T06:00:00-03:00,val_niveljusante,148.37,148.37,True,0.0
JIUHCA,2026-09-20T05:00:00-03:00,val_nivelmontante,239.8,239.8,True,0.0
JIUHCA,2026-09-20T05:00:00-03:00,val_niveljusante,148.31,148.31,True,0.0
JIUHCA,2026-09-20T04:00:00-03:00,val_nivelmontante,239.75,239.75,True,0.0
JIUHCA,2026-09-20T04:00:00-03:00,val_niveljusante,148.2,148.2,True,0.0
JIUHCA,2026-09-20T03:00:00-03:00,val_nivelmontante,239.72,239.72,True,0.0
JIUHCA,2026-09-20T03:00:00-03:00,val_niveljusante,148.14,148.14,True,0.0
JIUHCA,2026-09-20T02:00:00-03:00,val_nivelmontante,239.68,239.68,True,0.0
JIUHCA,2026-09-20T02:00:00-03:00,val_niveljusante,148.14,148.14,True,0.0
JIUHCA,2026-09-20T01:00:00-03:00,val_nivelmontante,239.65,239.65,True,0.0
JIUHCA,2026-09-20T01:00:00-03:00,val_niveljusante,148.13,148.13,True,0.0
JIUHCA,2026-09-20T00:00:00-03:00,val_nivelmontante,239.63,,False,
JIUHCA,2026-09-20T00:00:00-03:00,val_niveljusante,148.12,,False,
JIUHCA,2026-09-19T23:00:00-03:00,val_nivelmontante,239.63,239.63,True,0.0
JIUHCA,2026-09-19T23:00:00-03:00,val_niveljusante,148.14,148.14,True,0.0
JIUHCA,2026-09-19T22:00:00-03:00,val_nivelmontante,239.64,239.64,True,0.0
JIUHCA,2026-09-19T22:00:00-03:00,val_niveljusante,148.19,148.19,True,0.0
JIUHCA,2026-09-19T21:00:00-03:00,val_nivelmontante,239.65,239.65,True,0.0
JIUHCA,2026-09-19T21:00:00-03:00,val_niveljusante,148.24,148.24,True,0.0
