plant,time,field,earlier_m,later_m,delta_m,earlier_collected_at,later_collected_at
JIUHQJ,2026-09-21T01:00:00-03:00,val_nivelmontante,104.3,104.3,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T01:00:00-03:00,val_niveljusante,71.16,71.16,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T00:00:00-03:00,val_nivelmontante,104.34,104.34,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T00:00:00-03:00,val_niveljusante,71.25,71.25,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T23:00:00-03:00,val_nivelmontante,104.38,104.38,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T23:00:00-03:00,val_niveljusante,71.3,71.3,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T22:00:00-03:00,val_nivelmontante,104.42,104.42,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T22:00:00-03:00,val_niveljusante,71.34,71.34,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T21:00:00-03:00,val_nivelmontante,104.51,104.51,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T21:00:00-03:00,val_niveljusante,71.39,71.39,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T20:00:00-03:00,val_nivelmontante,104.55,104.55,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T20:00:00-03:00,val_niveljusante,71.45,71.45,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T19:00:00-03:00,val_nivelmontante,104.6,104.6,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T19:00:00-03:00,val_niveljusante,71.52,71.52,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T18:00:00-03:00,val_nivelmontante,104.66,104.66,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T18:00:00-03:00,val_niveljusante,71.53,71.53,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T17:00:00-03:00,val_nivelmontante,104.77,104.77,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T17:00:00-03:00,val_niveljusante,70.5,70.5,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T16:00:00-03:00,val_nivelmontante,104.76,104.76,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T16:00:00-03:00,val_niveljusante,70.12,70.12,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T15:00:00-03:00,val_nivelmontante,104.69,104.69,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T15:00:00-03:00,val_niveljusante,69.86,69.86,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T14:00:00-03:00,val_nivelmontante,104.61,104.61,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T14:00:00-03:00,val_niveljusante,69.63,69.63,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T13:00:00-03:00,val_nivelmontante,104.53,104.53,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T13:00:00-03:00,val_niveljusante,69.36,69.36,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T12:00:00-03:00,val_nivelmontante,104.35,104.35,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T12:00:00-03:00,val_niveljusante,69.15,69.15,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T11:00:00-03:00,val_nivelmontante,104.36,104.36,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T11:00:00-03:00,val_niveljusante,69.01,69.01,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T10:00:00-03:00,val_nivelmontante,104.31,104.31,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T10:00:00-03:00,val_niveljusante,69.05,69.05,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
