phase,horizon_h,column,name,current_value,training_min,training_max,outside
validation,1,180,julho:val_nivelmontante:level,107.95,97.42,107.66,True
validation,1,181,julho:val_nivelmontante:change1,0.1599999999999966,-0.21999999999999886,0.29999999999999716,False
validation,1,182,julho:val_nivelmontante:slope3,0.18000000000000208,-0.173333333333332,0.28333333333333144,False
validation,1,183,julho:val_nivelmontante:slope6,0.29333333333333417,-0.15500000000000114,0.21999999999999886,True
validation,1,184,julho:val_niveljusante:level,82.1,68.11,80.11,True
validation,1,185,julho:val_niveljusante:change1,0.9499999999999886,-1.7199999999999989,2.0600000000000023,False
validation,1,186,julho:val_niveljusante:slope3,1.0799999999999983,-0.7600000000000003,0.8333333333333334,True
validation,1,187,julho:val_niveljusante:slope6,0.8316666666666658,-16.67,0.6883333333333349,True
validation,1,188,monte:val_nivelmontante:level,153.94,147.0,152.44,True
validation,1,189,monte:val_nivelmontante:change1,0.38999999999998636,-0.9799999999999898,1.0600000000000023,False
validation,1,190,monte:val_nivelmontante:slope3,0.5866666666666637,-0.3299999999999936,0.37333333333333485,True
validation,1,191,monte:val_nivelmontante:slope6,0.4066666666666663,-0.19833333333333295,0.30666666666666725,True
validation,1,192,monte:val_niveljusante:level,119.55,105.0,116.21,True
validation,1,193,monte:val_niveljusante:change1,1.1299999999999955,-3.1000000000000085,2.4000000000000057,False
validation,1,194,monte:val_niveljusante:slope3,1.2233333333333338,-1.0266666666666662,0.8633333333333345,True
validation,1,195,monte:val_niveljusante:slope6,1.0650000000000002,-0.5133333333333331,0.7550000000000002,True
validation,1,196,castro:val_nivelmontante:level,246.96,239.0,243.94,True
validation,1,197,castro:val_nivelmontante:change1,-0.19999999999998863,-0.1599999999999966,0.25,True
validation,1,198,castro:val_nivelmontante:slope3,0.26333333333334014,-0.12000000000000455,0.23999999999999963,True
validation,1,199,castro:val_nivelmontante:slope6,0.5133333333333354,-0.1066666666666644,0.21999999999999886,True
validation,1,200,castro:val_niveljusante:level,159.36,145.7,155.15,True
validation,1,201,castro:val_niveljusante:change1,0.7200000000000273,-1.5900000000000034,2.700000000000017,False
validation,1,202,castro:val_niveljusante:slope3,1.0600000000000023,-0.6133333333333345,0.8900000000000053,True
validation,1,203,castro:val_niveljusante:slope6,0.9633333333333335,-0.30666666666666725,0.47499999999999903,True
test,1,180,julho:val_nivelmontante:level,107.95,97.42,107.66,True
test,1,181,julho:val_nivelmontante:change1,0.1599999999999966,-0.23000000000000398,0.46999999999999886,False
test,1,182,julho:val_nivelmontante:slope3,0.18000000000000208,-0.173333333333332,0.37666666666666515,False
test,1,183,julho:val_nivelmontante:slope6,0.29333333333333417,-0.15500000000000114,0.30666666666666725,False
test,1,184,julho:val_niveljusante:level,82.1,66.75,80.11,True
test,1,185,julho:val_niveljusante:change1,0.9499999999999886,-2.3000000000000114,3.0,False
test,1,186,julho:val_niveljusante:slope3,1.0799999999999983,-1.0899999999999987,0.8333333333333334,True
test,1,187,julho:val_niveljusante:slope6,0.8316666666666658,-16.67,0.6883333333333349,True
test,1,188,monte:val_nivelmontante:level,153.94,146.8,152.44,True
test,1,189,monte:val_nivelmontante:change1,0.38999999999998636,-0.9799999999999898,1.0600000000000023,False
test,1,190,monte:val_nivelmontante:slope3,0.5866666666666637,-0.36333333333333445,0.483333333333339,True
