column,name,value
180,julho:val_nivelmontante:level,107.95
181,julho:val_nivelmontante:change1,0.1599999999999966
182,julho:val_nivelmontante:slope3,0.18000000000000208
183,julho:val_nivelmontante:slope6,0.29333333333333417
184,julho:val_niveljusante:level,82.1
185,julho:val_niveljusante:change1,0.9499999999999886
186,julho:val_niveljusante:slope3,1.0799999999999983
187,julho:val_niveljusante:slope6,0.8316666666666658
188,monte:val_nivelmontante:level,153.94
189,monte:val_nivelmontante:change1,0.38999999999998636
190,monte:val_nivelmontante:slope3,0.5866666666666637
191,monte:val_nivelmontante:slope6,0.4066666666666663
192,monte:val_niveljusante:level,119.55
193,monte:val_niveljusante:change1,1.1299999999999955
194,monte:val_niveljusante:slope3,1.2233333333333338
195,monte:val_niveljusante:slope6,1.0650000000000002
196,castro:val_nivelmontante:level,246.96
197,castro:val_nivelmontante:change1,-0.19999999999998863
198,castro:val_nivelmontante:slope3,0.26333333333334014
199,castro:val_nivelmontante:slope6,0.5133333333333354
200,castro:val_niveljusante:level,159.36
201,castro:val_niveljusante:change1,0.7200000000000273
202,castro:val_niveljusante:slope3,1.0600000000000023
203,castro:val_niveljusante:slope6,0.9633333333333335
