phase,horizon_h,family,rows,response_min_m,response_max_m
validation,12,mixed_profile_candidate,3513,-3.290000000000001,8.18
validation,12,age_mixed_candidate,3513,-3.290000000000001,8.18
test,1,profile_A_control,9298,-0.4800000000000004,1.2400000000000002
test,1,profile_B_control,9298,-0.5800000000000001,1.4800000000000004
test,1,mixed_profile_candidate,9298,-0.5500000000000007,1.3800000000000008
test,1,age_mixed_candidate,9298,-0.5500000000000007,1.3800000000000008
test,2,profile_A_control,9291,-0.8500000000000005,2.09
test,2,profile_B_control,9291,-0.9200000000000008,2.3000000000000007
test,2,mixed_profile_candidate,9291,-0.9200000000000008,2.3000000000000007
test,2,age_mixed_candidate,9291,-0.9200000000000008,2.3000000000000007
test,3,profile_A_control,9289,-1.1000000000000005,3.0200000000000005
test,3,profile_B_control,9289,-1.1700000000000008,3.25
test,3,mixed_profile_candidate,9289,-1.1700000000000008,3.1400000000000006
test,3,age_mixed_candidate,9289,-1.1700000000000008,3.1400000000000006
test,4,profile_A_control,9282,-1.3499999999999996,3.8600000000000003
test,4,profile_B_control,9282,-1.3900000000000006,4.09
test,4,mixed_profile_candidate,9282,-1.3499999999999996,4.0200000000000005
test,4,age_mixed_candidate,9282,-1.3499999999999996,4.0200000000000005
test,5,profile_A_control,9280,-1.5199999999999996,4.6899999999999995
test,5,profile_B_control,9280,-1.5500000000000007,4.86
test,5,mixed_profile_candidate,9280,-1.5500000000000007,4.86
test,5,age_mixed_candidate,9280,-1.5500000000000007,4.86
test,6,profile_A_control,9279,-1.7400000000000002,5.41
test,6,profile_B_control,9279,-1.8100000000000005,5.56
test,6,mixed_profile_candidate,9279,-1.8100000000000005,5.500000000000001
test,6,age_mixed_candidate,9279,-1.8100000000000005,5.500000000000001
test,7,profile_A_control,9281,-2.0,6.09
test,7,profile_B_control,9281,-2.0700000000000003,6.22
test,7,mixed_profile_candidate,9281,-2.0700000000000003,6.22
test,7,age_mixed_candidate,9281,-2.0700000000000003,6.22
test,8,profile_A_control,9278,-2.26,6.73
test,8,profile_B_control,9278,-2.3200000000000003,6.86
test,8,mixed_profile_candidate,9278,-2.3000000000000007,6.86
test,8,age_mixed_candidate,9278,-2.3000000000000007,6.86
test,9,profile_A_control,9277,-2.5299999999999994,7.119999999999999
test,9,profile_B_control,9277,-2.58,7.249999999999999
test,9,mixed_profile_candidate,9277,-2.540000000000001,7.249999999999999
test,9,age_mixed_candidate,9277,-2.540000000000001,7.249999999999999
test,10,profile_A_control,9274,-2.789999999999999,7.469999999999999
test,10,profile_B_control,9274,-2.84,7.569999999999999
test,10,mixed_profile_candidate,9274,-2.790000000000001,7.569999999999999
test,10,age_mixed_candidate,9274,-2.790000000000001,7.569999999999999
test,11,profile_A_control,9275,-3.0199999999999996,7.789999999999999
test,11,profile_B_control,9275,-3.0700000000000003,7.87
test,11,mixed_profile_candidate,9275,-3.0600000000000005,7.87
test,11,age_mixed_candidate,9275,-3.0600000000000005,7.87
test,12,profile_A_control,9269,-3.26,8.09
test,12,profile_B_control,9269,-3.3100000000000005,8.18
test,12,mixed_profile_candidate,9269,-3.290000000000001,8.18
test,12,age_mixed_candidate,9269,-3.290000000000001,8.18
