phase,profile,horizon_h,family,subset,partition,category,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,observed_hit_fraction,sum_abs_error_m,sum_error_m,mae_m,bias_m,max_abs_m,under_by_more_than_0_5m,over_by_more_than_0_5m
test,A,1,mixed_profile_candidate,all,training_response_support,unknown,28,23,5,0,5,0,0.0,0.0,0.0,,,,0,0
test,A,1,age_mixed_candidate,all,known_trend,rising,339,0,339,339,0,335,0.9882005899705014,30.82672489831365,-7.570986559868754,0.09093429173543849,-0.022333293686928476,1.1694974274009189,3,1
test,A,1,age_mixed_candidate,all,known_trend,falling,469,3,466,466,0,466,1.0,20.45511244382391,12.280615698825104,0.04389509108116719,0.02635325257258606,0.39301571646416233,0,0
test,A,1,age_mixed_candidate,all,known_trend,stable,1131,2,1129,1129,0,1127,0.9982285208148804,33.11798860213693,1.3900619088665964,0.02933391373085645,0.0012312328687923795,0.6717281477853376,1,1
test,A,1,age_mixed_candidate,all,known_trend,unknown,28,18,10,5,5,5,0.5,0.3074199988152393,0.11035658171206153,0.06148399976304786,0.022071316342412307,0.12017373048656044,0,0
test,A,1,age_mixed_candidate,all,future_response,rising,96,0,96,96,0,92,0.9583333333333334,17.9937105134049,-9.75260335269179,0.18743448451463438,-0.10158961825720614,1.1694974274009189,4,0
test,A,1,age_mixed_candidate,all,future_response,falling,7,0,7,7,0,6,0.8571428571428571,2.2617571458615195,2.2617571458615195,0.3231081636945028,0.3231081636945028,0.6414190757841851,0,1
test,A,1,age_mixed_candidate,all,future_response,stable,1836,0,1836,1836,0,1835,0.9994553376906318,64.4517782838233,13.700893836365278,0.035104454402953865,0.007462360477323136,0.5299662184015979,0,1
test,A,1,age_mixed_candidate,all,future_response,unknown,28,23,5,0,5,0,0.0,0.0,0.0,,,,0,0
test,A,1,age_mixed_candidate,all,training_response_support,below,6,0,6,6,0,5,0.8333333333333334,2.0893051144556054,2.0893051144556054,0.34821751907593423,0.34821751907593423,0.6414190757841851,0,1
test,A,1,age_mixed_candidate,all,training_response_support,within,1928,0,1928,1928,0,1926,0.9989626556016598,78.89291433688656,7.845769006826962,0.04091956137805319,0.0040693822649517436,0.6717281477853376,1,1
test,A,1,age_mixed_candidate,all,training_response_support,above,5,0,5,5,0,2,0.4,3.725026491747559,-3.725026491747559,0.7450052983495118,-0.7450052983495118,1.1694974274009189,3,0
test,A,1,age_mixed_candidate,all,training_response_support,unknown,28,23,5,0,5,0,0.0,0.0,0.0,,,,0,0
test,A,1,profile_A_control,level_ge_7m,known_trend,rising,65,0,65,65,0,60,0.9230769230769231,11.194767777657335,-1.1215881187547234,0.1722271965793436,-0.017255201826995744,1.2985394062094997,4,1
test,A,1,profile_A_control,level_ge_7m,known_trend,falling,91,3,88,88,0,88,1.0,5.727080706581445,2.815858403229603,0.06508046257478915,0.03199839094579094,0.39490402737768804,0,0
test,A,1,profile_A_control,level_ge_7m,known_trend,stable,84,2,82,82,0,81,0.9878048780487805,2.789010256381305,-0.7041829905026606,0.03401232019977201,-0.008587597445154398,0.6916304633210189,1,0
test,A,1,profile_A_control,level_ge_7m,known_trend,unknown,20,18,2,1,1,1,0.5,0.03144158919274176,0.03144158919274176,0.03144158919274176,0.03144158919274176,0.03144158919274176,0,0
test,A,1,profile_A_control,level_ge_7m,future_response,rising,24,0,24,24,0,19,0.7916666666666666,7.064421364203955,-4.359161217854334,0.2943508901751648,-0.18163171741059725,1.2985394062094997,5,0
test,A,1,profile_A_control,level_ge_7m,future_response,falling,7,0,7,7,0,6,0.8571428571428571,2.286658769309822,2.286658769309822,0.32666553847283175,0.32666553847283175,0.6197336702029475,0,1
test,A,1,profile_A_control,level_ge_7m,future_response,stable,205,0,205,205,0,205,1.0,10.391220196299049,3.0940313317094725,0.050688879006336826,0.01509283576443645,0.41233080449643644,0,0
test,A,1,profile_A_control,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,1,profile_A_control,level_ge_7m,training_response_support,below,8,0,8,8,0,7,0.875,2.449874359281514,2.449874359281514,0.3062342949101893,0.3062342949101893,0.6197336702029475,0,1
test,A,1,profile_A_control,level_ge_7m,training_response_support,within,222,0,222,222,0,221,0.9954954954954955,12.932219591183735,2.9318609032310237,0.05825324140172854,0.013206580645184792,0.6916304633210189,1,0
test,A,1,profile_A_control,level_ge_7m,training_response_support,above,6,0,6,6,0,2,0.3333333333333333,4.360206379347577,-4.360206379347577,0.7267010632245962,-0.7267010632245962,1.2985394062094997,4,0
test,A,1,profile_A_control,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,1,profile_B_control,level_ge_7m,known_trend,rising,65,0,65,65,0,61,0.9384615384615385,10.413634974897214,2.2637467837492258,0.16020976884457253,0.034826873596141936,1.1376505785463262,3,1
test,A,1,profile_B_control,level_ge_7m,known_trend,falling,91,3,88,88,0,88,1.0,4.467189630174732,-0.883761270032422,0.050763518524712864,-0.010042741704913887,0.3127462826075842,0,0
test,A,1,profile_B_control,level_ge_7m,known_trend,stable,84,2,82,82,0,81,0.9878048780487805,3.3907337961597523,-2.068145033643784,0.04135041214828966,-0.025221280898094927,0.7482704472415058,1,0
test,A,1,profile_B_control,level_ge_7m,known_trend,unknown,20,18,2,1,1,1,0.5,0.04069984855501119,-0.04069984855501119,0.04069984855501119,-0.04069984855501119,0.04069984855501119,0,0
test,A,1,profile_B_control,level_ge_7m,future_response,rising,24,0,24,24,0,20,0.8333333333333334,6.983129241232806,-1.3339605248993145,0.29096371838470025,-0.05558168853747144,1.1376505785463262,4,0
