phase,profile,horizon_h,family,subset,partition,category,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,observed_hit_fraction,sum_abs_error_m,sum_error_m,mae_m,bias_m,max_abs_m,under_by_more_than_0_5m,over_by_more_than_0_5m
test,A,11,age_mixed_candidate,all,known_trend,unknown,28,6,22,5,17,3,0.13636363636363635,4.151463027314955,2.1415302216793,0.8302926054629911,0.42830604433586006,2.6616660611626273,1,1
test,A,11,age_mixed_candidate,all,future_response,rising,575,0,575,575,0,393,0.6834782608695652,345.8887637771718,-248.54494096509185,0.6015456761342118,-0.432252071243638,7.15943769248484,160,22
test,A,11,age_mixed_candidate,all,future_response,falling,788,0,788,788,0,570,0.7233502538071066,324.95680287674406,173.7275807620236,0.4123817295390153,0.2204664730482533,2.8851476340344853,29,189
test,A,11,age_mixed_candidate,all,future_response,stable,554,0,554,554,0,385,0.6949458483754513,228.00516522703992,-85.07618930868294,0.4115616700849096,-0.1535671287160342,2.0646553755855983,123,46
test,A,11,age_mixed_candidate,all,future_response,unknown,40,23,17,0,17,0,0.0,0.0,0.0,,,,0,0
test,A,11,age_mixed_candidate,all,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,42.3440224667187,42.3440224667187,1.62861624871995,1.62861624871995,2.8851476340344853,0,23
test,A,11,age_mixed_candidate,all,training_response_support,within,1880,0,1880,1880,0,1345,0.7154255319148937,792.4740933049857,-138.2049558692186,0.4215287730345669,-0.07351327439852053,6.041656296502373,301,234
test,A,11,age_mixed_candidate,all,training_response_support,above,11,0,11,11,0,0,0.0,64.03261610925134,-64.03261610925134,5.821146919022849,-5.821146919022849,7.15943769248484,11,0
test,A,11,age_mixed_candidate,all,training_response_support,unknown,40,23,17,0,17,0,0.0,0.0,0.0,,,,0,0
test,A,11,profile_A_control,level_ge_7m,known_trend,rising,97,2,95,95,0,27,0.28421052631578947,124.36714697226168,-49.10689476753046,1.3091278628659124,-0.5169146817634785,6.322972297827876,45,23
test,A,11,profile_A_control,level_ge_7m,known_trend,falling,72,5,67,67,0,29,0.43283582089552236,71.48710130641135,20.964963926253485,1.0669716612897215,0.312909909347067,7.1933341782238,11,27
test,A,11,profile_A_control,level_ge_7m,known_trend,stable,83,10,73,73,0,32,0.4383561643835616,77.21208251339542,-42.9887294797887,1.0576997604574714,-0.588886705202585,6.331492127174629,25,16
test,A,11,profile_A_control,level_ge_7m,known_trend,unknown,8,6,2,1,1,0,0.0,2.4524357116196107,2.4524357116196107,2.4524357116196107,2.4524357116196107,2.4524357116196107,0,1
test,A,11,profile_A_control,level_ge_7m,future_response,rising,100,0,100,100,0,25,0.25,170.8980543466698,-118.30582385327055,1.708980543466698,-1.1830582385327055,7.1933341782238,60,15
test,A,11,profile_A_control,level_ge_7m,future_response,falling,111,0,111,111,0,49,0.44144144144144143,89.69490813614279,42.42597417019863,0.8080622354607458,0.38221598351530295,2.915504949275686,19,43
test,A,11,profile_A_control,level_ge_7m,future_response,stable,25,0,25,25,0,14,0.56,14.925804020875425,7.201625073625856,0.597032160835017,0.28806500294503423,1.6365592319284108,2,9
test,A,11,profile_A_control,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,11,profile_A_control,level_ge_7m,training_response_support,below,28,0,28,28,0,3,0.10714285714285714,45.12164974537957,45.12164974537957,1.6114874909064132,1.6114874909064132,2.915504949275686,0,25
test,A,11,profile_A_control,level_ge_7m,training_response_support,within,197,0,197,197,0,85,0.43147208121827413,169.43951862351662,-52.842276220033774,0.860099079307191,-0.2682349046702222,5.993041579699572,70,42
test,A,11,profile_A_control,level_ge_7m,training_response_support,above,11,0,11,11,0,0,0.0,60.95759813479185,-60.95759813479185,5.541599830435623,-5.541599830435623,7.1933341782238,11,0
test,A,11,profile_A_control,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,11,profile_B_control,level_ge_7m,known_trend,rising,97,2,95,95,0,29,0.30526315789473685,128.85808556784679,-51.31054749896096,1.3564009007141766,-0.5401110263048522,6.361621600081936,44,22
test,A,11,profile_B_control,level_ge_7m,known_trend,falling,72,5,67,67,0,28,0.417910447761194,73.61410297987295,22.167934828215106,1.098717954923477,0.33086469892858367,6.669592937105812,13,26
test,A,11,profile_B_control,level_ge_7m,known_trend,stable,83,10,73,73,0,29,0.3972602739726027,81.5836538564674,-49.6504446040603,1.1175842994036629,-0.6801430767679493,6.2428708653741065,29,15
test,A,11,profile_B_control,level_ge_7m,known_trend,unknown,8,6,2,1,1,0,0.0,2.6882413429072898,2.6882413429072898,2.6882413429072898,2.6882413429072898,2.6882413429072898,0,1
test,A,11,profile_B_control,level_ge_7m,future_response,rising,100,0,100,100,0,25,0.25,176.44458378007693,-125.62874073090411,1.7644458378007692,-1.256287407309041,6.669592937105812,60,15
test,A,11,profile_B_control,level_ge_7m,future_response,falling,111,0,111,111,0,46,0.4144144144144144,94.2553466177787,43.52842152316265,0.8491472668268352,0.39214794165011396,3.2656418814949912,23,42
test,A,11,profile_B_control,level_ge_7m,future_response,stable,25,0,25,25,0,15,0.6,16.044153349238762,5.995503275842591,0.6417661339695505,0.23982013103370364,1.727181057792146,3,7
test,A,11,profile_B_control,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,11,profile_B_control,level_ge_7m,training_response_support,below,26,0,26,26,0,4,0.15384615384615385,45.825742817044855,45.825742817044855,1.7625285698863407,1.7625285698863407,3.2656418814949912,0,22
test,A,11,profile_B_control,level_ge_7m,training_response_support,within,199,0,199,199,0,82,0.4120603015075377,180.79704232134603,-61.80926014024017,0.9085278508610353,-0.3105992971871365,6.2428708653741065,75,42
test,A,11,profile_B_control,level_ge_7m,training_response_support,above,11,0,11,11,0,0,0.0,60.121298608703555,-60.121298608703555,5.465572600791233,-5.465572600791233,6.669592937105812,11,0
test,A,11,profile_B_control,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,11,mixed_profile_candidate,level_ge_7m,known_trend,rising,97,2,95,95,0,25,0.2631578947368421,131.33261324299713,-53.969720816555245,1.3824485604526013,-0.568102324384792,6.904916994657389,46,24
test,A,11,mixed_profile_candidate,level_ge_7m,known_trend,falling,72,5,67,67,0,28,0.417910447761194,70.04259086810326,18.571723839059818,1.0454118040015412,0.2771899080456689,7.15943769248484,13,26
test,A,11,mixed_profile_candidate,level_ge_7m,known_trend,stable,83,10,73,73,0,29,0.3972602739726027,81.93416367126676,-44.7052340767398,1.122385803715983,-0.6124004668046548,6.558772546909818,27,17
test,A,11,mixed_profile_candidate,level_ge_7m,known_trend,unknown,8,6,2,1,1,0,0.0,2.6616660611626273,2.6616660611626273,2.6616660611626273,2.6616660611626273,2.6616660611626273,0,1
test,A,11,mixed_profile_candidate,level_ge_7m,future_response,rising,100,0,100,100,0,23,0.23,180.0848874017239,-125.92769328298336,1.800848874017239,-1.2592769328298337,7.15943769248484,61,16
test,A,11,mixed_profile_candidate,level_ge_7m,future_response,falling,111,0,111,111,0,47,0.42342342342342343,89.78945408817862,41.878296923345374,0.8089140007944019,0.3772819542643727,2.8851476340344853,22,42
test,A,11,mixed_profile_candidate,level_ge_7m,future_response,stable,25,0,25,25,0,12,0.48,16.096692353627247,6.607831366565408,0.6438676941450899,0.26431325466261635,1.806183257837775,3,10
test,A,11,mixed_profile_candidate,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,11,mixed_profile_candidate,level_ge_7m,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,42.3440224667187,42.3440224667187,1.62861624871995,1.62861624871995,2.8851476340344853,0,23
test,A,11,mixed_profile_candidate,level_ge_7m,training_response_support,within,199,0,199,199,0,79,0.3969849246231156,179.59439526755978,-55.75297135053994,0.9024843983294462,-0.28016568517859264,6.041656296502373,75,45
test,A,11,mixed_profile_candidate,level_ge_7m,training_response_support,above,11,0,11,11,0,0,0.0,64.03261610925134,-64.03261610925134,5.821146919022849,-5.821146919022849,7.15943769248484,11,0
test,A,11,mixed_profile_candidate,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,11,age_mixed_candidate,level_ge_7m,known_trend,rising,97,2,95,95,0,25,0.2631578947368421,131.33261324299713,-53.969720816555245,1.3824485604526013,-0.568102324384792,6.904916994657389,46,24
test,A,11,age_mixed_candidate,level_ge_7m,known_trend,falling,72,5,67,67,0,28,0.417910447761194,70.04259086810326,18.571723839059818,1.0454118040015412,0.2771899080456689,7.15943769248484,13,26
test,A,11,age_mixed_candidate,level_ge_7m,known_trend,stable,83,10,73,73,0,29,0.3972602739726027,81.93416367126676,-44.7052340767398,1.122385803715983,-0.6124004668046548,6.558772546909818,27,17
test,A,11,age_mixed_candidate,level_ge_7m,known_trend,unknown,8,6,2,1,1,0,0.0,2.6616660611626273,2.6616660611626273,2.6616660611626273,2.6616660611626273,2.6616660611626273,0,1
test,A,11,age_mixed_candidate,level_ge_7m,future_response,rising,100,0,100,100,0,23,0.23,180.0848874017239,-125.92769328298336,1.800848874017239,-1.2592769328298337,7.15943769248484,61,16
test,A,11,age_mixed_candidate,level_ge_7m,future_response,falling,111,0,111,111,0,47,0.42342342342342343,89.78945408817862,41.878296923345374,0.8089140007944019,0.3772819542643727,2.8851476340344853,22,42
test,A,11,age_mixed_candidate,level_ge_7m,future_response,stable,25,0,25,25,0,12,0.48,16.096692353627247,6.607831366565408,0.6438676941450899,0.26431325466261635,1.806183257837775,3,10
test,A,11,age_mixed_candidate,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,11,age_mixed_candidate,level_ge_7m,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,42.3440224667187,42.3440224667187,1.62861624871995,1.62861624871995,2.8851476340344853,0,23
test,A,11,age_mixed_candidate,level_ge_7m,training_response_support,within,199,0,199,199,0,79,0.3969849246231156,179.59439526755978,-55.75297135053994,0.9024843983294462,-0.28016568517859264,6.041656296502373,75,45
test,A,11,age_mixed_candidate,level_ge_7m,training_response_support,above,11,0,11,11,0,0,0.0,64.03261610925134,-64.03261610925134,5.821146919022849,-5.821146919022849,7.15943769248484,11,0
test,A,11,age_mixed_candidate,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,12,profile_A_control,all,known_trend,rising,337,3,334,334,0,219,0.655688622754491,207.73390815946988,-61.33397879666087,0.6219578088606883,-0.18363466705587086,6.529879022567522,72,43
test,A,12,profile_A_control,all,known_trend,falling,464,5,459,459,0,326,0.710239651416122,220.28249938747894,-34.15990951947448,0.4799182993191262,-0.0744224608267418,7.575214133637115,77,56
test,A,12,profile_A_control,all,known_trend,stable,1127,10,1117,1117,0,767,0.6866606982990152,500.0919077093927,-56.59753589697959,0.4477098547084984,-0.0506692353598743,7.2832447204019015,178,172
test,A,12,profile_A_control,all,known_trend,unknown,28,5,23,5,18,2,0.08695652173913043,4.56809490622429,2.4890120128386064,0.913618981244858,0.4978024025677213,2.907611255024591,1,2
test,A,12,profile_A_control,all,future_response,rising,583,0,583,583,0,398,0.6826758147512865,359.6428861469998,-258.2513186707896,0.6168831666329327,-0.44296967181953617,7.575214133637115,163,22
test,A,12,profile_A_control,all,future_response,falling,790,0,790,790,0,556,0.7037974683544304,345.0762270616291,196.64746480967136,0.4368053507109229,0.24892084153122956,3.158307757873688,32,202
test,A,12,profile_A_control,all,future_response,stable,542,0,542,542,0,360,0.6642066420664207,227.95729695393703,-87.99855833915807,0.4205854187342012,-0.1623589637253839,1.8636445487725073,133,49
test,A,12,profile_A_control,all,future_response,unknown,41,23,18,0,18,0,0.0,0.0,0.0,,,,0,0
test,A,12,profile_A_control,all,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,45.745339601925,45.745339601925,1.7594361385355768,1.7594361385355768,3.158307757873688,0,23
test,A,12,profile_A_control,all,training_response_support,within,1877,0,1877,1877,0,1311,0.6984549813532233,817.6580514708871,-126.07473271244766,0.4356196331757523,-0.06716821135452726,6.12723046334602,316,250
test,A,12,profile_A_control,all,training_response_support,above,12,0,12,12,0,0,0.0,69.27301908975372,-69.27301908975372,5.77275159081281,-5.77275159081281,7.575214133637115,12,0
test,A,12,profile_A_control,all,training_response_support,unknown,41,23,18,0,18,0,0.0,0.0,0.0,,,,0,0
test,A,12,profile_B_control,all,known_trend,rising,337,3,334,334,0,207,0.6197604790419161,221.46217833583768,-63.942541451711705,0.6630604141791547,-0.1914447348853644,6.765783922307268,82,45
test,A,12,profile_B_control,all,known_trend,falling,464,5,459,459,0,328,0.7145969498910676,217.29771345633145,-30.086638274863756,0.47341549772621233,-0.06554823153565088,7.103354101008396,76,55
test,A,12,profile_B_control,all,known_trend,stable,1127,10,1117,1117,0,765,0.684870188003581,505.3526997736609,-73.06505941457456,0.45241960588510377,-0.0654118705591536,6.930482208473169,185,167
test,A,12,profile_B_control,all,known_trend,unknown,28,5,23,5,18,2,0.08695652173913043,4.631804523444275,2.7050354130726437,0.926360904688855,0.5410070826145288,3.0247164951139958,1,2
test,A,12,profile_B_control,all,future_response,rising,583,0,583,583,0,402,0.6895368782161235,364.25102680539015,-250.6545797566768,0.6247873530109608,-0.4299392448656549,7.103354101008396,155,26
test,A,12,profile_B_control,all,future_response,falling,790,0,790,790,0,555,0.7025316455696202,347.9917542975863,175.2064016969481,0.440495891515932,0.22178025531259252,3.2078455327190127,40,195
test,A,12,profile_B_control,all,future_response,stable,542,0,542,542,0,345,0.6365313653136532,236.50161498629785,-88.94102566834862,0.436349843148151,-0.16409783333643657,2.5098892504955135,149,48
test,A,12,profile_B_control,all,future_response,unknown,41,23,18,0,18,0,0.0,0.0,0.0,,,,0,0
test,A,12,profile_B_control,all,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,45.631702709497084,45.631702709497084,1.755065488826811,1.755065488826811,3.2078455327190127,0,23
test,A,12,profile_B_control,all,training_response_support,within,1877,0,1877,1877,0,1299,0.6920618007458711,834.3112397615097,-141.21945281930698,0.44449186987826833,-0.07523678892877303,5.7383169589724154,332,246
test,A,12,profile_B_control,all,training_response_support,above,12,0,12,12,0,0,0.0,68.80145361826747,-68.80145361826747,5.733454468188956,-5.733454468188956,7.103354101008396,12,0
test,A,12,profile_B_control,all,training_response_support,unknown,41,23,18,0,18,0,0.0,0.0,0.0,,,,0,0
test,A,12,mixed_profile_candidate,all,known_trend,rising,337,3,334,334,0,211,0.6317365269461078,223.5051818317906,-72.9312423533315,0.6691771911131454,-0.21835701303392666,6.820821435204978,80,43
test,A,12,mixed_profile_candidate,all,known_trend,falling,464,5,459,459,0,319,0.6949891067538126,223.49188431157654,-33.381562965879155,0.48691042333676804,-0.07272671670126178,7.792800339521805,85,55
test,A,12,mixed_profile_candidate,all,known_trend,stable,1127,10,1117,1117,0,772,0.6911369740376008,501.17895712812606,-56.49855308973677,0.4486830412964423,-0.05058062049215467,6.7573041916225325,178,167
test,A,12,mixed_profile_candidate,all,known_trend,unknown,28,5,23,5,18,2,0.08695652173913043,4.487370978890799,2.3772973422103467,0.8974741957781598,0.4754594684420693,2.804301796484012,1,2
test,A,12,mixed_profile_candidate,all,future_response,rising,583,0,583,583,0,401,0.6878216123499142,367.83959807389533,-264.6692740668232,0.6309427068162871,-0.4539781716412062,7.792800339521805,163,19
test,A,12,mixed_profile_candidate,all,future_response,falling,790,0,790,790,0,551,0.6974683544303798,350.7343799406383,189.3438035132388,0.44396756954511174,0.2396757006496694,3.1978236917001173,42,197
test,A,12,mixed_profile_candidate,all,future_response,stable,542,0,542,542,0,352,0.6494464944649446,234.0894162358503,-85.10859051315262,0.4318992919480633,-0.15702691976596425,1.973576536776239,139,51
test,A,12,mixed_profile_candidate,all,future_response,unknown,41,23,18,0,18,0,0.0,0.0,0.0,,,,0,0
test,A,12,mixed_profile_candidate,all,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,47.17188718136513,47.17188718136513,1.8143033531294281,1.8143033531294281,3.1978236917001173,0,23
test,A,12,mixed_profile_candidate,all,training_response_support,within,1877,0,1877,1877,0,1301,0.6931273308470964,833.7879260677271,-135.9023672468104,0.44421306663171395,-0.07240403156462995,5.743940817760677,332,244
test,A,12,mixed_profile_candidate,all,training_response_support,above,12,0,12,12,0,0,0.0,71.70358100129181,-71.70358100129181,5.975298416774318,-5.975298416774318,7.792800339521805,12,0
test,A,12,mixed_profile_candidate,all,training_response_support,unknown,41,23,18,0,18,0,0.0,0.0,0.0,,,,0,0
test,A,12,age_mixed_candidate,all,known_trend,rising,337,3,334,334,0,211,0.6317365269461078,223.5051818317906,-72.9312423533315,0.6691771911131454,-0.21835701303392666,6.820821435204978,80,43
test,A,12,age_mixed_candidate,all,known_trend,falling,464,5,459,459,0,319,0.6949891067538126,223.49188431157654,-33.381562965879155,0.48691042333676804,-0.07272671670126178,7.792800339521805,85,55
test,A,12,age_mixed_candidate,all,known_trend,stable,1127,10,1117,1117,0,772,0.6911369740376008,501.17895712812606,-56.49855308973677,0.4486830412964423,-0.05058062049215467,6.7573041916225325,178,167
test,A,12,age_mixed_candidate,all,known_trend,unknown,28,5,23,5,18,2,0.08695652173913043,4.487370978890799,2.3772973422103467,0.8974741957781598,0.4754594684420693,2.804301796484012,1,2
test,A,12,age_mixed_candidate,all,future_response,rising,583,0,583,583,0,401,0.6878216123499142,367.83959807389533,-264.6692740668232,0.6309427068162871,-0.4539781716412062,7.792800339521805,163,19
test,A,12,age_mixed_candidate,all,future_response,falling,790,0,790,790,0,551,0.6974683544303798,350.7343799406383,189.3438035132388,0.44396756954511174,0.2396757006496694,3.1978236917001173,42,197
test,A,12,age_mixed_candidate,all,future_response,stable,542,0,542,542,0,352,0.6494464944649446,234.0894162358503,-85.10859051315262,0.4318992919480633,-0.15702691976596425,1.973576536776239,139,51
test,A,12,age_mixed_candidate,all,future_response,unknown,41,23,18,0,18,0,0.0,0.0,0.0,,,,0,0
test,A,12,age_mixed_candidate,all,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,47.17188718136513,47.17188718136513,1.8143033531294281,1.8143033531294281,3.1978236917001173,0,23
test,A,12,age_mixed_candidate,all,training_response_support,within,1877,0,1877,1877,0,1301,0.6931273308470964,833.7879260677271,-135.9023672468104,0.44421306663171395,-0.07240403156462995,5.743940817760677,332,244
test,A,12,age_mixed_candidate,all,training_response_support,above,12,0,12,12,0,0,0.0,71.70358100129181,-71.70358100129181,5.975298416774318,-5.975298416774318,7.792800339521805,12,0
test,A,12,age_mixed_candidate,all,training_response_support,unknown,41,23,18,0,18,0,0.0,0.0,0.0,,,,0,0
test,A,12,profile_A_control,level_ge_7m,known_trend,rising,99,3,96,96,0,33,0.34375,124.84137906412087,-46.338795908167626,1.3004310319179258,-0.48269579071007945,6.529879022567522,42,21
test,A,12,profile_A_control,level_ge_7m,known_trend,falling,71,5,66,66,0,28,0.42424242424242425,74.46925622462838,18.884080027778456,1.1283220640095208,0.28612242466330995,7.575214133637115,12,26
test,A,12,profile_A_control,level_ge_7m,known_trend,stable,83,10,73,73,0,30,0.410958904109589,92.06121420715337,-55.97351800211456,1.2611125233856626,-0.7667605205769118,7.2832447204019015,26,17
test,A,12,profile_A_control,level_ge_7m,known_trend,unknown,7,5,2,1,1,0,0.0,2.907611255024591,2.907611255024591,2.907611255024591,2.907611255024591,2.907611255024591,0,1
test,A,12,profile_A_control,level_ge_7m,future_response,rising,105,0,105,105,0,29,0.2761904761904762,188.57092313883825,-132.28616578257845,1.7959135537032214,-1.2598682455483663,7.575214133637115,60,16
test,A,12,profile_A_control,level_ge_7m,future_response,falling,110,0,110,110,0,48,0.43636363636363634,95.55320029566604,46.673779554230634,0.8686654572333277,0.42430708685664215,3.158307757873688,19,43
test,A,12,profile_A_control,level_ge_7m,future_response,stable,21,0,21,21,0,14,0.6666666666666666,10.155337316422909,5.091763600868661,0.48358749125823375,0.24246493337469813,1.5621287098160774,1,6
test,A,12,profile_A_control,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,12,profile_A_control,level_ge_7m,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,45.745339601925,45.745339601925,1.7594361385355768,1.7594361385355768,3.158307757873688,0,23
test,A,12,profile_A_control,level_ge_7m,training_response_support,within,198,0,198,198,0,88,0.4444444444444444,179.2611020592485,-56.992943139650436,0.9053591013093358,-0.2878431471699517,6.12723046334602,68,42
test,A,12,profile_A_control,level_ge_7m,training_response_support,above,12,0,12,12,0,0,0.0,69.27301908975372,-69.27301908975372,5.77275159081281,-5.77275159081281,7.575214133637115,12,0
test,A,12,profile_A_control,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,12,profile_B_control,level_ge_7m,known_trend,rising,99,3,96,96,0,23,0.23958333333333334,134.93399485109404,-48.40205099008255,1.405562446365563,-0.5041880311466932,6.765783922307268,46,27
test,A,12,profile_B_control,level_ge_7m,known_trend,falling,71,5,66,66,0,27,0.4090909090909091,72.70965657534396,18.677914556054244,1.1016614632627872,0.2829987053947613,7.103354101008396,12,27
test,A,12,profile_B_control,level_ge_7m,known_trend,stable,83,10,73,73,0,25,0.3424657534246575,96.11746207171348,-64.57374954497425,1.316677562626212,-0.8845719115749897,6.930482208473169,33,15
test,A,12,profile_B_control,level_ge_7m,known_trend,unknown,7,5,2,1,1,0,0.0,3.0247164951139958,3.0247164951139958,3.0247164951139958,3.0247164951139958,3.0247164951139958,0,1
test,A,12,profile_B_control,level_ge_7m,future_response,rising,105,0,105,105,0,21,0.2,195.63046039560126,-136.25282798394588,1.8631472418628692,-1.2976459807994845,7.103354101008396,65,19
test,A,12,profile_B_control,level_ge_7m,future_response,falling,110,0,110,110,0,43,0.39090909090909093,98.13002658941461,40.43038383127615,0.8920911508128601,0.3675489439206923,3.2078455327190127,23,44
test,A,12,profile_B_control,level_ge_7m,future_response,stable,21,0,21,21,0,11,0.5238095238095238,13.025343008249575,4.549274668781183,0.6202544289642654,0.21663212708481824,1.9371256147155353,3,7
test,A,12,profile_B_control,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,12,profile_B_control,level_ge_7m,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,45.631702709497084,45.631702709497084,1.755065488826811,1.755065488826811,3.2078455327190127,0,23
test,A,12,profile_B_control,level_ge_7m,training_response_support,within,198,0,198,198,0,72,0.36363636363636365,192.3526736655009,-68.10341857511816,0.9714781498257621,-0.3439566594702937,5.7383169589724154,79,47
test,A,12,profile_B_control,level_ge_7m,training_response_support,above,12,0,12,12,0,0,0.0,68.80145361826747,-68.80145361826747,5.733454468188956,-5.733454468188956,7.103354101008396,12,0
test,A,12,profile_B_control,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,12,mixed_profile_candidate,level_ge_7m,known_trend,rising,99,3,96,96,0,27,0.28125,135.67911668593075,-52.97306473254841,1.413324132145112,-0.5518027576307126,6.820821435204978,47,22
test,A,12,mixed_profile_candidate,level_ge_7m,known_trend,falling,71,5,66,66,0,23,0.3484848484848485,78.567013792806,17.545090109111737,1.1904092998909999,0.2658346986229051,7.792800339521805,15,28
test,A,12,mixed_profile_candidate,level_ge_7m,known_trend,stable,83,10,73,73,0,25,0.3424657534246575,96.51642448802792,-61.80119852547081,1.322142801205862,-0.8465917606228878,6.7573041916225325,34,14
test,A,12,mixed_profile_candidate,level_ge_7m,known_trend,unknown,7,5,2,1,1,0,0.0,2.804301796484012,2.804301796484012,2.804301796484012,2.804301796484012,2.804301796484012,0,1
test,A,12,mixed_profile_candidate,level_ge_7m,future_response,rising,105,0,105,105,0,26,0.24761904761904763,200.07883835372456,-143.0351577200214,1.9055127462259482,-1.362239597333537,7.792800339521805,67,12
test,A,12,mixed_profile_candidate,level_ge_7m,future_response,falling,110,0,110,110,0,37,0.33636363636363636,101.51605834739729,44.82840846334889,0.9228732577036117,0.40753098603044446,3.1978236917001173,27,46
test,A,12,mixed_profile_candidate,level_ge_7m,future_response,stable,21,0,21,21,0,12,0.5714285714285714,11.97196006212679,3.7818779042490824,0.570093336291752,0.18008942401186107,1.9433157601609832,2,7
test,A,12,mixed_profile_candidate,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,12,mixed_profile_candidate,level_ge_7m,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,47.17188718136513,47.17188718136513,1.8143033531294281,1.8143033531294281,3.1978236917001173,0,23
test,A,12,mixed_profile_candidate,level_ge_7m,training_response_support,within,198,0,198,198,0,72,0.36363636363636365,194.69138858059173,-69.89317753249678,0.9832898413161199,-0.3529958461237211,5.743940817760677,84,42
test,A,12,mixed_profile_candidate,level_ge_7m,training_response_support,above,12,0,12,12,0,0,0.0,71.70358100129181,-71.70358100129181,5.975298416774318,-5.975298416774318,7.792800339521805,12,0
test,A,12,mixed_profile_candidate,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,12,age_mixed_candidate,level_ge_7m,known_trend,rising,99,3,96,96,0,27,0.28125,135.67911668593075,-52.97306473254841,1.413324132145112,-0.5518027576307126,6.820821435204978,47,22
test,A,12,age_mixed_candidate,level_ge_7m,known_trend,falling,71,5,66,66,0,23,0.3484848484848485,78.567013792806,17.545090109111737,1.1904092998909999,0.2658346986229051,7.792800339521805,15,28
test,A,12,age_mixed_candidate,level_ge_7m,known_trend,stable,83,10,73,73,0,25,0.3424657534246575,96.51642448802792,-61.80119852547081,1.322142801205862,-0.8465917606228878,6.7573041916225325,34,14
test,A,12,age_mixed_candidate,level_ge_7m,known_trend,unknown,7,5,2,1,1,0,0.0,2.804301796484012,2.804301796484012,2.804301796484012,2.804301796484012,2.804301796484012,0,1
test,A,12,age_mixed_candidate,level_ge_7m,future_response,rising,105,0,105,105,0,26,0.24761904761904763,200.07883835372456,-143.0351577200214,1.9055127462259482,-1.362239597333537,7.792800339521805,67,12
test,A,12,age_mixed_candidate,level_ge_7m,future_response,falling,110,0,110,110,0,37,0.33636363636363636,101.51605834739729,44.82840846334889,0.9228732577036117,0.40753098603044446,3.1978236917001173,27,46
test,A,12,age_mixed_candidate,level_ge_7m,future_response,stable,21,0,21,21,0,12,0.5714285714285714,11.97196006212679,3.7818779042490824,0.570093336291752,0.18008942401186107,1.9433157601609832,2,7
test,A,12,age_mixed_candidate,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,12,age_mixed_candidate,level_ge_7m,training_response_support,below,26,0,26,26,0,3,0.11538461538461539,47.17188718136513,47.17188718136513,1.8143033531294281,1.8143033531294281,3.1978236917001173,0,23
test,A,12,age_mixed_candidate,level_ge_7m,training_response_support,within,198,0,198,198,0,72,0.36363636363636365,194.69138858059173,-69.89317753249678,0.9832898413161199,-0.3529958461237211,5.743940817760677,84,42
test,A,12,age_mixed_candidate,level_ge_7m,training_response_support,above,12,0,12,12,0,0,0.0,71.70358100129181,-71.70358100129181,5.975298416774318,-5.975298416774318,7.792800339521805,12,0
test,A,12,age_mixed_candidate,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,B,1,profile_A_control,all,known_trend,rising,342,0,342,342,0,333,0.9736842105263158,42.410155233093676,-16.675941636407618,0.1240063018511511,-0.048760063264349764,1.6777759874458438,8,1
test,B,1,profile_A_control,all,known_trend,falling,469,3,466,466,0,466,1.0,27.452361079077072,16.85349582101751,0.05891064609244007,0.036166300045101955,0.4949040273776877,0,0
