horizon_h,subset,family,model,population,observed_targets,n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
1,all,reference,baseline,individual,1944,1938,6,1894,0.977296181630547,0.13563607242386097,0.002022768275247138,0.510808242371736,1.3540766916208895
1,all,reference,candidate,individual,1944,1938,6,1895,0.97781217750258,0.1260919648147785,0.0057319200428587545,0.5088097093516358,1.4716697632944529
1,all,reference,baseline,common,1944,1938,6,1894,0.977296181630547,0.13563607242386097,0.002022768275247138,0.510808242371736,1.3540766916208895
1,all,reference,candidate,common,1944,1938,6,1895,0.97781217750258,0.1260919648147785,0.0057319200428587545,0.5088097093516358,1.4716697632944529
1,all,julho_levels,baseline,individual,1944,1938,6,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.5194563237253604,1.3363363795546643
1,all,julho_levels,candidate,individual,1944,1938,6,1893,0.9767801857585139,0.12852405342964945,0.008507668599964801,0.5170691798657904,1.4638115856753702
1,all,julho_levels,baseline,common,1944,1938,6,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.5194563237253604,1.3363363795546643
1,all,julho_levels,candidate,common,1944,1938,6,1893,0.9767801857585139,0.12852405342964945,0.008507668599964801,0.5170691798657904,1.4638115856753702
1,level_ge_7m,reference,baseline,individual,237,235,2,218,0.9276595744680851,0.20982922298370318,0.08880005221857769,0.7799168588592001,1.3540766916208895
1,level_ge_7m,reference,candidate,individual,237,235,2,223,0.948936170212766,0.17636209099901573,0.048200291921842345,0.7023405984905333,1.4716697632944529
1,level_ge_7m,reference,baseline,common,237,235,2,218,0.9276595744680851,0.20982922298370318,0.08880005221857769,0.7799168588592001,1.3540766916208895
1,level_ge_7m,reference,candidate,common,237,235,2,223,0.948936170212766,0.17636209099901573,0.048200291921842345,0.7023405984905333,1.4716697632944529
1,level_ge_7m,julho_levels,baseline,individual,237,235,2,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.785805350933425,1.3363363795546643
1,level_ge_7m,julho_levels,candidate,individual,237,235,2,223,0.948936170212766,0.17566165955463953,0.0505864708677704,0.7084759547004522,1.4638115856753702
1,level_ge_7m,julho_levels,baseline,common,237,235,2,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.785805350933425,1.3363363795546643
1,level_ge_7m,julho_levels,candidate,common,237,235,2,223,0.948936170212766,0.17566165955463953,0.0505864708677704,0.7084759547004522,1.4638115856753702
2,all,reference,baseline,individual,1943,1935,8,1739,0.8987080103359173,0.20571189408648383,0.0011452302137218641,0.8082694383609288,2.1591250166535616
2,all,reference,candidate,individual,1943,1935,8,1781,0.9204134366925064,0.1886758308963826,0.008510597877575007,0.7451716554747329,2.3124932467426893
2,all,reference,baseline,common,1943,1935,8,1739,0.8987080103359173,0.20571189408648383,0.0011452302137218641,0.8082694383609288,2.1591250166535616
2,all,reference,candidate,common,1943,1935,8,1781,0.9204134366925064,0.1886758308963826,0.008510597877575007,0.7451716554747329,2.3124932467426893
2,all,julho_levels,baseline,individual,1943,1935,8,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.8086405684490644,2.1256756873033744
2,all,julho_levels,candidate,individual,1943,1935,8,1774,0.9167958656330749,0.1943171441281459,0.016971304856352235,0.7482454941480122,2.234977046074781
2,all,julho_levels,baseline,common,1943,1935,8,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.8086405684490644,2.1256756873033744
2,all,julho_levels,candidate,common,1943,1935,8,1774,0.9167958656330749,0.1943171441281459,0.016971304856352235,0.7482454941480122,2.234977046074781
2,level_ge_7m,reference,baseline,individual,237,235,2,177,0.7531914893617021,0.34528151450281547,0.14168695048914437,1.0588579412598857,2.1591250166535616
2,level_ge_7m,reference,candidate,individual,237,235,2,200,0.851063829787234,0.28568483637657854,0.07201969662471168,1.131115726071938,2.3124932467426893
2,level_ge_7m,reference,baseline,common,237,235,2,177,0.7531914893617021,0.34528151450281547,0.14168695048914437,1.0588579412598857,2.1591250166535616
