h,model,forecast_m,origin,time,validation_score,correction_m
1,nivel_montante,7.832572648604434,2026-09-21T12:45:00-03:00,2026-09-21T13:45:00-03:00,0.01332583286567278,0.0
1,nivel_montante_assimilado,7.77706800457344,2026-09-21T12:45:00-03:00,2026-09-21T13:45:00-03:00,0.01332583286567278,-0.05550464403099431
1,nivel_barragens,7.924192637801315,2026-09-21T12:45:00-03:00,2026-09-21T13:45:00-03:00,0.013832936589196937,0.0
1,nivel_barragens_assimilado,7.839496820926446,2026-09-21T12:45:00-03:00,2026-09-21T13:45:00-03:00,0.013832936589196937,-0.08469581687486875
1,integrado,8.224108528124987,2026-09-21T12:45:00-03:00,2026-09-21T13:45:00-03:00,0.013720990509385644,0.0
1,integrado_assimilado,7.927177635678392,2026-09-21T12:45:00-03:00,2026-09-21T13:45:00-03:00,0.013720990509385644,-0.296930892446595
1,barragens_chuva,8.063113737280512,2026-09-21T12:45:00-03:00,2026-09-21T13:45:00-03:00,0.013913669144642772,0.0
1,barragens_chuva_assimilado,7.85534256100785,2026-09-21T12:45:00-03:00,2026-09-21T13:45:00-03:00,0.013913669144642772,-0.20777117627266195
2,nivel_montante,8.346460797172595,2026-09-21T12:45:00-03:00,2026-09-21T14:45:00-03:00,0.03047819745932347,0.0
2,nivel_montante_assimilado,8.40567535974079,2026-09-21T12:45:00-03:00,2026-09-21T14:45:00-03:00,0.03047819745932347,0.05921456256819502
2,nivel_barragens,8.524736640722706,2026-09-21T12:45:00-03:00,2026-09-21T14:45:00-03:00,0.032654451056292146,0.0
2,nivel_barragens_assimilado,8.526522511150313,2026-09-21T12:45:00-03:00,2026-09-21T14:45:00-03:00,0.032654451056292146,0.001785870427606806
2,integrado,9.37197216648607,2026-09-21T12:45:00-03:00,2026-09-21T14:45:00-03:00,0.03174636192545406,0.0
2,integrado_assimilado,8.827306087536293,2026-09-21T12:45:00-03:00,2026-09-21T14:45:00-03:00,0.03174636192545406,-0.5446660789497771
2,barragens_chuva,8.936568124219093,2026-09-21T12:45:00-03:00,2026-09-21T14:45:00-03:00,0.032576855532554704,0.0
2,barragens_chuva_assimilado,8.525644709917906,2026-09-21T12:45:00-03:00,2026-09-21T14:45:00-03:00,0.032576855532554704,-0.41092341430118706
3,nivel_montante,8.998626083516546,2026-09-21T12:45:00-03:00,2026-09-21T15:45:00-03:00,0.17777965384506447,0.0
3,nivel_montante_assimilado,9.295626571966672,2026-09-21T12:45:00-03:00,2026-09-21T15:45:00-03:00,0.17777965384506447,0.29700048845012555
3,nivel_barragens,9.519265935785521,2026-09-21T12:45:00-03:00,2026-09-21T15:45:00-03:00,0.16689518767295985,0.0
3,nivel_barragens_assimilado,9.835560893760924,2026-09-21T12:45:00-03:00,2026-09-21T15:45:00-03:00,0.16689518767295985,0.31629495797540325
3,integrado,10.677984537877355,2026-09-21T12:45:00-03:00,2026-09-21T15:45:00-03:00,0.1522616772619542,0.0
3,integrado_assimilado,10.439943510736901,2026-09-21T12:45:00-03:00,2026-09-21T15:45:00-03:00,0.1522616772619542,-0.23804102714045441
3,barragens_chuva,10.051334485486601,2026-09-21T12:45:00-03:00,2026-09-21T15:45:00-03:00,0.14651947055041703,0.0
3,barragens_chuva_assimilado,9.883577072769917,2026-09-21T12:45:00-03:00,2026-09-21T15:45:00-03:00,0.14651947055041703,-0.16775741271668299
4,nivel_montante,9.230594330129849,2026-09-21T12:45:00-03:00,2026-09-21T16:45:00-03:00,0.17683648813221833,0.0
4,nivel_montante_assimilado,10.128904361715376,2026-09-21T12:45:00-03:00,2026-09-21T16:45:00-03:00,0.17683648813221833,0.8983100315855267
4,nivel_barragens,9.544409265784125,2026-09-21T12:45:00-03:00,2026-09-21T16:45:00-03:00,0.16824710231324322,0.0
4,nivel_barragens_assimilado,10.486902604925714,2026-09-21T12:45:00-03:00,2026-09-21T16:45:00-03:00,0.16824710231324322,0.942493339141588
