station,name,time,level_m,age_minutes_at_origin
86510000,Muçum,2026-09-21T13:00:00-03:00,7.46,0.0
86472000,Linha José Júlio,2026-09-21T12:30:00-03:00,7.34,30.0
86472600,Santa Tereza,2026-09-21T12:45:00-03:00,6.86,15.0
86500000,Passo Carreiro,2026-09-21T12:30:00-03:00,3.944,30.0
86160000,Passo Tainhas,2026-09-21T12:45:00-03:00,5.67,15.0
