mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,model,h,validation_score,alpha,weighted,gain,train_n,validation_n,rapid_rise_n,rapid_rise_mae_m,high_water_n,high_water_mae_m
0.027946874888221725,0.048527928984543264,-0.001849249828246349,0.06694611549023528,0.44209612072382987,1364,nivel_montante,1,0.03637019496795803,100.0,True,0.0,3766,6054,2,0.1420095871710858,73,0.04230075007270453
0.028122120645412804,0.04763077048526534,-0.003804689316835535,0.06457933010068279,0.43116006968704834,1364,nivel_barragens,1,0.03853246340556059,100.0,False,0.0,3766,6054,2,0.1478985072109591,73,0.04493227928405723
0.03015376886050925,0.050389164911996506,-0.0029844116140406037,0.0660714360495164,0.4113751183970682,1364,barragens_chuva,1,0.04660841698910338,10.0,False,0.5,3766,6054,2,0.1711655043599638,73,0.0513410212246104
0.030284937473978354,0.05517528828374367,-0.0015990461608503827,0.07444026520614148,0.5131661250289112,1364,integrado,1,0.044722619791492425,1000.0,False,0.0,3766,6054,2,0.18863341242859466,73,0.04253730193177382
0.02946036402363089,0.04829015233191378,-0.0063755254340200004,0.06413478451754849,0.4138299729458885,1364,propagacao_distribuida,1,0.0444968689237462,100.0,False,0.0,3766,6054,2,0.14570974610130794,73,0.05062961398693506
0.029190562010115256,0.0490869242402841,-0.005002298670067071,0.06603246443671469,0.4314554066520029,1364,propagacao_previsao_chuva,1,0.04549408306732324,100.0,False,0.25,3766,6054,2,0.1541605994852837,73,0.04726569758123075
0.0683575421916685,0.10343599234046931,0.007368902718729577,0.16143025607326852,0.6355048209252132,1362,nivel_montante,2,0.23608668284393364,10.0,True,0.0,3765,6052,25,0.2520080388242962,72,0.11651028072538613
0.06697239434560961,0.09789251451935406,-0.009674111071015583,0.1483415803340151,0.5813142321761458,1362,nivel_barragens,2,0.22216698562964188,10.0,True,0.0,3765,6052,25,0.21435822721992942,72,0.10983135431095198
0.0654913680243157,0.09813901391328518,-0.01556873143512259,0.14022988359095392,0.6008330956931953,1362,barragens_chuva,2,0.2890008972426041,10.0,False,0.0,3765,6052,25,0.255295918492382,72,0.13290941753405217
0.06785126667990382,0.09922842333708164,-0.02070710488427869,0.14130070632822947,0.5980622904527806,1362,integrado,2,0.28166010372127503,10.0,False,0.0,3765,6052,25,0.24663442152629034,72,0.13024211264530403
