mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,model,h,validation_score,alpha,weighted,n_train,n_validation,rapid_rise_mae_m,rapid_rise_n,high_water_mae_m,high_water_n
0.029547776602105887,0.04882387619283603,-0.0024005446277677116,0.06795665837781684,0.4264983328378986,1351,nivel_montante,1,0.01332583286567278,10.0,False,8912,649,0.06376540274149356,2,0.05307391711576032,72
0.031197005564461665,0.05169230828713363,-0.0011829821787650249,0.0701106379432348,0.4672534871687355,1351,nivel_montante_assimilado,1,0.01332583286567278,10.0,False,8912,649,0.07509906174942893,2,0.05447425468281811,72
0.029392853933216775,0.0476027175222865,-0.005641638581619726,0.06453940082264253,0.4198992309386047,1351,nivel_barragens,1,0.013832936589196937,10.0,False,8912,649,0.06328625531859,2,0.05103971736723402,72
0.030072090683166904,0.050163966750021036,-0.002822371453213328,0.06861329231938607,0.46440117086856203,1351,nivel_barragens_assimilado,1,0.013832936589196937,10.0,False,8912,649,0.08461654293365362,2,0.052924493072969044,72
0.029710797854345425,0.04823990747688673,-0.005255323871112643,0.0651068471180718,0.40597011062579735,1351,integrado,1,0.013720990509385644,10.0,False,8912,649,0.07659269069194563,2,0.05358030098151592,72
0.03016673974553529,0.050326091260643725,-0.0026202642686489934,0.06676295309330715,0.4462916150545122,1351,integrado_assimilado,1,0.013720990509385644,10.0,False,8912,649,0.0801010230297301,2,0.05420845028414186,72
0.029325469361384048,0.047880480519730206,-0.005336144508747059,0.06459031043534225,0.40659515991545536,1351,barragens_chuva,1,0.013913669144642772,10.0,False,8912,649,0.06561326885882313,2,0.054114555503040625,72
0.03006251194024183,0.05035677617172746,-0.0026542347933407977,0.06719465042952866,0.44905245189697185,1351,barragens_chuva_assimilado,1,0.013913669144642772,10.0,False,8912,649,0.08460469326177433,2,0.05507655846217966,72
0.11784603997039228,0.1728643611121422,0.004374537379718727,0.25,1.0299999999999994,1351,persistencia,1,,,False,0,0,1.0199999999999996,2,0.2086111111111111,72
0.07287934863064398,0.1153785646271681,0.0002664692820133299,0.17499999999999982,0.7550000000000003,1351,tendencia2h,1,,,False,0,0,0.36249999999999893,2,0.06527777777777787,72
0.06536158717144104,0.101519372560829,-0.0077746080178973795,0.1518505962106954,0.7009002377882982,1349,nivel_montante,2,0.03047819745932347,10.0,False,8907,649,0.29133637179507793,23,0.12637331265862117,71
0.07387613493100532,0.11199368826834193,-0.0038955722558230853,0.17277923092039096,0.6637233354205474,1349,nivel_montante_assimilado,2,0.03047819745932347,10.0,False,8907,649,0.3526038667040609,23,0.1380234993449966,71
0.060124872238672536,0.09371004442671413,-0.009684133565683083,0.14196783136694013,0.5469177977672435,1349,nivel_barragens,2,0.032654451056292146,100.0,False,8907,649,0.3073986044017939,23,0.10673988819157162,71
0.06600407358996989,0.10421129768542313,-0.0049252512347979305,0.15827723753252257,0.6597153559419349,1349,nivel_barragens_assimilado,2,0.032654451056292146,100.0,False,8907,649,0.36198968802820025,23,0.12383672746780243,71
