plant,timestamp,ons_Q,ceran_Q,difference
castro,2026-09-20T22:00:00-03:00,213.0,213.36,0.36000000000001364
julho,2026-09-20T22:00:00-03:00,450.0,449.66,-0.339999999999975
monte,2026-09-20T22:00:00-03:00,360.0,360.15,0.14999999999997726
julho,2026-09-20T23:00:00-03:00,439.0,438.77,-0.2300000000000182
monte,2026-09-20T23:00:00-03:00,360.0,359.76,-0.2400000000000091
castro,2026-09-20T23:00:00-03:00,216.0,215.58,-0.4199999999999875
monte,2026-09-21T01:00:00-03:00,364.0,364.44,0.4399999999999977
julho,2026-09-21T01:00:00-03:00,412.0,412.07,0.06999999999999318
castro,2026-09-21T01:00:00-03:00,216.0,215.59,-0.4099999999999966
monte,2026-09-21T02:00:00-03:00,368.0,368.4,0.39999999999997726
julho,2026-09-21T02:00:00-03:00,406.0,406.47,0.4700000000000273
castro,2026-09-21T02:00:00-03:00,216.0,215.58,-0.4199999999999875
monte,2026-09-21T03:00:00-03:00,367.0,367.31,0.3100000000000023
julho,2026-09-21T03:00:00-03:00,403.0,403.15,0.14999999999997726
castro,2026-09-21T03:00:00-03:00,213.0,213.17,0.1699999999999875
monte,2026-09-21T04:00:00-03:00,373.0,373.12,0.12000000000000455
julho,2026-09-21T04:00:00-03:00,399.0,398.52,-0.4800000000000182
castro,2026-09-21T04:00:00-03:00,213.0,213.42,0.4199999999999875
monte,2026-09-21T05:00:00-03:00,376.0,376.36,0.36000000000001364
julho,2026-09-21T05:00:00-03:00,391.0,390.98,-0.01999999999998181
castro,2026-09-21T05:00:00-03:00,211.0,211.29,0.28999999999999204
monte,2026-09-21T06:00:00-03:00,379.0,378.93,-0.06999999999999318
julho,2026-09-21T06:00:00-03:00,391.0,391.26,0.2599999999999909
castro,2026-09-21T06:00:00-03:00,211.0,211.37,0.37000000000000455
monte,2026-09-21T07:00:00-03:00,383.0,382.87,-0.12999999999999545
julho,2026-09-21T07:00:00-03:00,389.0,389.39,0.38999999999998636
castro,2026-09-21T07:00:00-03:00,213.0,213.44,0.4399999999999977
monte,2026-09-21T08:00:00-03:00,392.0,392.1,0.10000000000002274
julho,2026-09-21T08:00:00-03:00,394.0,393.98,-0.01999999999998181
castro,2026-09-21T08:00:00-03:00,218.0,217.94,-0.060000000000002274
monte,2026-09-21T09:00:00-03:00,718.0,718.21,0.21000000000003638
julho,2026-09-21T09:00:00-03:00,453.0,453.02,0.01999999999998181
castro,2026-09-21T09:00:00-03:00,279.0,278.81,-0.18999999999999773
monte,2026-09-21T10:00:00-03:00,2629.0,2628.74,-0.2600000000002183
julho,2026-09-21T10:00:00-03:00,513.0,512.86,-0.13999999999998636
castro,2026-09-21T10:00:00-03:00,513.0,513.48,0.4800000000000182
monte,2026-09-21T11:00:00-03:00,2650.0,2649.66,-0.3400000000001455
castro,2026-09-21T11:00:00-03:00,1205.0,1205.2,0.20000000000004547
julho,2026-09-21T11:00:00-03:00,1564.0,1563.76,-0.2400000000000091
