phase,horizon_h,original_n,added_n,n,features,original_targets_ge_7m,added_targets_ge_7m,original_response_min_m,original_response_max_m,added_response_min_m,added_response_max_m,combined_response_min_m,combined_response_max_m,earliest_added_origin,latest_added_target,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,1,4362,167,4529,120,227,126,-0.41000000000000014,1.1800000000000006,-0.41000000000000014,1.9699999999999998,-0.41000000000000014,1.9699999999999998,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,1,10841,167,11008,120,255,126,-0.4800000000000004,1.2400000000000002,-0.41000000000000014,1.9699999999999998,-0.4800000000000004,1.9699999999999998,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,2,4360,166,4526,120,227,126,-0.7199999999999989,2.09,-0.7300000000000004,3.24,-0.7300000000000004,3.24,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,2,10837,166,11003,120,255,126,-0.8500000000000005,2.09,-0.7300000000000004,3.24,-0.8500000000000005,3.24,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,3,4358,165,4523,120,227,126,-0.9799999999999995,3.0200000000000005,-1.0399999999999991,4.3,-1.0399999999999991,4.3,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,3,10834,165,10999,120,255,126,-1.1000000000000005,3.0200000000000005,-1.0399999999999991,4.3,-1.1000000000000005,4.3,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,4,4356,164,4520,120,227,126,-1.2100000000000009,3.8600000000000003,-1.3800000000000008,5.22,-1.3800000000000008,5.22,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,4,10830,164,10994,120,255,126,-1.3499999999999996,3.8600000000000003,-1.3800000000000008,5.22,-1.3800000000000008,5.22,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,5,4355,163,4518,120,227,126,-1.4800000000000004,4.6899999999999995,-1.6999999999999993,6.02,-1.6999999999999993,6.02,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,5,10828,163,10991,120,255,126,-1.5199999999999996,4.6899999999999995,-1.6999999999999993,6.02,-1.6999999999999993,6.02,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,6,4354,162,4516,120,227,126,-1.7400000000000002,5.41,-2.01,6.8100000000000005,-2.01,6.8100000000000005,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,6,10826,162,10988,120,255,126,-1.7400000000000002,5.41,-2.01,6.8100000000000005,-2.01,6.8100000000000005,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,7,4353,161,4514,120,227,126,-2.0,6.09,-2.3100000000000005,7.359999999999999,-2.3100000000000005,7.359999999999999,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,7,10824,161,10985,120,255,126,-2.0,6.09,-2.3100000000000005,7.359999999999999,-2.3100000000000005,7.359999999999999,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,8,4352,160,4512,120,227,126,-2.26,6.73,-2.619999999999999,7.87,-2.619999999999999,7.87,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,8,10822,160,10982,120,255,126,-2.26,6.73,-2.619999999999999,7.87,-2.619999999999999,7.87,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,9,4351,159,4510,120,227,126,-2.5299999999999994,7.119999999999999,-2.9299999999999997,8.34,-2.9299999999999997,8.34,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,9,10821,159,10980,120,255,126,-2.5299999999999994,7.119999999999999,-2.9299999999999997,8.34,-2.9299999999999997,8.34,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,10,4350,158,4508,120,227,126,-2.789999999999999,7.469999999999999,-3.1899999999999995,8.74,-3.1899999999999995,8.74,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,10,10818,158,10976,120,255,126,-2.789999999999999,7.469999999999999,-3.1899999999999995,8.74,-3.1899999999999995,8.74,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,11,4349,157,4506,120,227,126,-3.0199999999999996,7.789999999999999,-3.49,9.07,-3.49,9.07,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,11,10817,157,10974,120,255,126,-3.0199999999999996,7.789999999999999,-3.49,9.07,-3.49,9.07,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,12,4348,156,4504,120,227,126,-3.26,8.09,-3.8099999999999987,9.47,-3.8099999999999987,9.47,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,12,10814,156,10970,120,255,126,-3.26,8.09,-3.8099999999999987,9.47,-3.8099999999999987,9.47,2024-06-15T00:00:00-03:00,2024-06-21T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
