phase,horizon_h,subset,reference,candidate,delta_hits,delta_mae_m,delta_max_abs_m
validation,4,all,core_original,core_augmented,7,0.002038138558825439,0.0402079281779697
validation,4,all,observed_control,core_original,-41,0.016179028243688366,0.15416736269900078
validation,4,all,augmented,core_augmented,-25,0.014664610844122447,0.038808672700636926
validation,4,level_ge_7m,observed_control,augmented,0,0.0738915147117428,0.2885245308693465
validation,4,level_ge_7m,core_original,core_augmented,3,-0.028732911617422974,-0.05098083244625862
validation,4,level_ge_7m,observed_control,core_original,-4,0.14611117015043568,0.20996020129861215
validation,4,level_ge_7m,augmented,core_augmented,-1,0.04348674382126991,-0.12954516201699295
validation,5,all,observed_control,augmented,-22,0.008772440973276646,0.6223304136132821
validation,5,all,core_original,core_augmented,11,-0.001113158287166488,-0.02832206395164638
validation,5,all,observed_control,core_original,-12,0.009389720810388497,0.154967777397514
validation,5,all,augmented,core_augmented,21,-0.0004958784500546376,-0.4956847001674145
validation,5,level_ge_7m,observed_control,augmented,0,0.09630410065400344,0.4800250462514679
validation,5,level_ge_7m,core_original,core_augmented,1,0.02776333317798002,-0.11700991531506055
validation,5,level_ge_7m,observed_control,core_original,-1,0.08251050016243763,0.06278950438189934
validation,5,level_ge_7m,augmented,core_augmented,0,0.013969732686414216,-0.5342454571846291
validation,6,all,observed_control,augmented,-28,0.005419793220642566,0.7378252336095592
validation,6,all,core_original,core_augmented,8,-0.0006414774603304696,0.13104401574050684
validation,6,all,observed_control,core_original,5,0.004293837809139153,-0.0014807681472790435
validation,6,all,augmented,core_augmented,41,-0.0017674328718338822,-0.6082619860163314
validation,6,level_ge_7m,observed_control,augmented,-6,0.2725756897590448,1.0105037740379856
validation,6,level_ge_7m,core_original,core_augmented,2,-0.03728702014965618,0.2123442311545647
validation,6,level_ge_7m,observed_control,core_original,-6,0.10731360979164706,-0.28999272249644203
validation,6,level_ge_7m,augmented,core_augmented,2,-0.2025491001170539,-1.088152265379863
validation,7,all,observed_control,augmented,-52,0.01902100039697857,0.7284834201975263
validation,7,all,core_original,core_augmented,24,0.004277238120211857,0.10001345039877885
validation,7,all,observed_control,core_original,84,-0.007190652102778694,-0.39502162525349105
validation,7,all,augmented,core_augmented,160,-0.02193441437954541,-1.0234915950522385
validation,7,level_ge_7m,observed_control,augmented,-5,0.17503342808478434,0.8676375343642029
validation,7,level_ge_7m,core_original,core_augmented,-2,-0.06480383319931593,-0.5941229344030674
validation,7,level_ge_7m,observed_control,core_original,-4,0.18032865387607638,-0.4824930574150912
validation,7,level_ge_7m,augmented,core_augmented,-1,-0.059508607408023884,-1.9442535261823615
validation,8,all,observed_control,augmented,-25,0.019674123692478063,1.162100251536856
validation,8,all,core_original,core_augmented,-28,0.0076138212753489865,-0.08757166852534803
validation,8,all,observed_control,core_original,173,-0.017069715702089844,0.17700554096296406
validation,8,all,augmented,core_augmented,170,-0.02913001811921892,-1.07266637909924
validation,8,level_ge_7m,observed_control,augmented,-9,0.3413296375756742,0.7459630200908913
validation,8,level_ge_7m,core_original,core_augmented,1,-0.03547215463274811,0.1533230047714227
validation,8,level_ge_7m,observed_control,core_original,-10,0.18900257374059865,-0.8149346191022264
validation,8,level_ge_7m,augmented,core_augmented,0,-0.18779921846782366,-1.407574634421695
validation,9,all,observed_control,augmented,-58,0.026427658849428493,1.1985891687092507
validation,9,all,core_original,core_augmented,-42,0.004869277098449254,-0.019413725143013316
validation,9,all,observed_control,core_original,171,-0.023611034179626705,-0.01968678483163755
validation,9,all,augmented,core_augmented,187,-0.045169415930605944,-1.2376896786839016
validation,9,level_ge_7m,observed_control,augmented,-9,0.4341253724322407,0.869049550794724
validation,9,level_ge_7m,core_original,core_augmented,0,-0.0026769088273902453,-0.20419281330564676
validation,9,level_ge_7m,observed_control,core_original,-10,0.16236274264109785,-0.14246966023443264
validation,9,level_ge_7m,augmented,core_augmented,-1,-0.2744395386185331,-1.2157120243348034
validation,10,all,observed_control,augmented,-44,0.024919925299877632,0.34685974569134803
validation,10,all,core_original,core_augmented,-120,0.01410809714286701,0.032002174675970885
validation,10,all,observed_control,core_original,78,-0.014837263404223894,0.7067940502145493
validation,10,all,augmented,core_augmented,2,-0.025649091561234516,0.3919364791991722
validation,10,level_ge_7m,observed_control,augmented,-5,0.4211998143053274,1.599030025224435
validation,10,level_ge_7m,core_original,core_augmented,0,0.08091541723917084,2.1625984599737764
validation,10,level_ge_7m,observed_control,core_original,-3,0.06455475294183066,0.27177326741011143
validation,10,level_ge_7m,augmented,core_augmented,2,-0.2757296441243259,0.8353417021594529
validation,11,all,observed_control,augmented,49,0.009795749169218937,-0.04482427609036366
validation,11,all,core_original,core_augmented,-27,0.005371528690832628,0.006377514580618637
validation,11,all,observed_control,core_original,54,-0.01931746006972951,0.5249143408426558
validation,11,all,augmented,core_augmented,-22,-0.023741680548115818,0.576116131513638
validation,11,level_ge_7m,observed_control,augmented,-4,0.32388456171420665,0.9796099851375839
validation,11,level_ge_7m,core_original,core_augmented,4,0.02047493035381287,-0.33167040441065154
validation,11,level_ge_7m,observed_control,core_original,-4,0.05216656251374807,0.15448458507148644
validation,11,level_ge_7m,augmented,core_augmented,4,-0.2512430688466457,-1.156795804476749
validation,12,all,observed_control,augmented,-2,0.008111294956126669,0.3173964555918296
validation,12,all,core_original,core_augmented,-107,0.013333429047938827,0.37280636352561825
validation,12,all,observed_control,core_original,19,-0.015696232644331898,0.836238253104165
validation,12,all,augmented,core_augmented,-86,-0.01047409855251974,0.8916481610379536
validation,12,level_ge_7m,observed_control,augmented,-4,0.3022511301491053,0.28734887124548614
validation,12,level_ge_7m,core_original,core_augmented,1,-0.004299583270876317,-0.37933217870564384
validation,12,level_ge_7m,observed_control,core_original,1,0.18938480352200626,0.44177808780189665
validation,12,level_ge_7m,augmented,core_augmented,6,-0.11716590989797537,-0.22490296214923333
test,1,all,observed_control,augmented,0,0.005451030328302353,-0.5081295726620736
test,1,all,core_original,core_augmented,3,0.002812059390029792,-0.5404584665645658
test,1,all,observed_control,core_original,0,0.006551834241858567,0.028104051184166146
test,1,all,augmented,core_augmented,3,0.003912863303586006,-0.004224842718326016
test,1,level_ge_7m,observed_control,augmented,-1,0.02309503411934355,-0.5081295726620736
test,1,level_ge_7m,core_original,core_augmented,2,-0.004962043100540076,-0.5404584665645658
test,1,level_ge_7m,observed_control,core_original,0,0.008873035469150858,0.028104051184166146
test,1,level_ge_7m,augmented,core_augmented,3,-0.019184041750732767,-0.004224842718326016
test,2,all,observed_control,augmented,-22,0.010122827900246933,-1.3051369028278472
test,2,all,core_original,core_augmented,-3,0.001172988773569486,-0.6488044830402533
test,2,all,observed_control,core_original,4,0.011824780760210124,-0.21515192167053154
test,2,all,augmented,core_augmented,23,0.0028749416335326766,0.4411804981170624
test,2,level_ge_7m,observed_control,augmented,-16,0.04852226881773697,-1.3900147938942213
test,2,level_ge_7m,core_original,core_augmented,0,-0.01651423218518136,-0.6488044830402533
test,2,level_ge_7m,observed_control,core_original,2,0.013721073251115656,-0.21515192167053154
test,2,level_ge_7m,augmented,core_augmented,18,-0.05131542775180267,0.5260583891834365
test,3,all,observed_control,augmented,8,-0.0010182278878587692,-0.43908357809232434
test,3,all,core_original,core_augmented,18,-0.005453920613902527,-0.47271105198444907
test,3,all,observed_control,core_original,-25,0.022862104597692376,0.05397882241265606
test,3,all,augmented,core_augmented,-15,0.018426411871648618,0.02035134852053133
test,3,level_ge_7m,observed_control,augmented,5,-0.0026370423427871104,-0.43908357809232434
test,3,level_ge_7m,core_original,core_augmented,10,-0.032759074495354285,-0.47271105198444907
test,3,level_ge_7m,observed_control,core_original,-3,0.031293507708479606,0.05397882241265606
test,3,level_ge_7m,augmented,core_augmented,2,0.0011714755559124324,0.02035134852053133
test,4,all,observed_control,augmented,9,-0.003912008511813614,-0.6317606799750521
test,4,all,core_original,core_augmented,4,-0.002813720809103165,-0.6211328589163871
test,4,all,observed_control,core_original,-28,0.020864022166593166,0.3486355077563168
test,4,all,augmented,core_augmented,-33,0.021962309869303615,0.3592633288149818
test,4,level_ge_7m,observed_control,augmented,5,-0.03464543984309626,-0.6317606799750521
test,4,level_ge_7m,core_original,core_augmented,5,-0.036615935381107245,-0.6211328589163871
test,4,level_ge_7m,observed_control,core_original,-8,0.04194143977596804,0.3486355077563168
test,4,level_ge_7m,augmented,core_augmented,-8,0.03997094423795705,0.3592633288149818
test,5,all,observed_control,augmented,0,0.0017191837158301304,-0.3977700580210106
test,5,all,core_original,core_augmented,3,-0.0003906228374351284,-0.5293427092574481
test,5,all,observed_control,core_original,-39,0.0215890386554754,0.5243893803848731
test,5,all,augmented,core_augmented,-36,0.019479232102210142,0.3928167291484357
test,5,level_ge_7m,observed_control,augmented,-5,0.012983724280395015,-0.3977700580210106
test,5,level_ge_7m,core_original,core_augmented,2,-0.01746434908406136,-0.5293427092574481
test,5,level_ge_7m,observed_control,core_original,-14,0.06930682167002766,0.5243893803848731
test,5,level_ge_7m,augmented,core_augmented,-7,0.03885874830557129,0.3928167291484357
test,6,all,observed_control,augmented,11,-0.009808385075933623,-1.203833023166414
test,6,all,core_original,core_augmented,-3,0.0010800055884988002,-0.0669373962199753
test,6,all,observed_control,core_original,-19,0.010980897072446233,-0.04164503857014168
test,6,all,augmented,core_augmented,-33,0.021869287736878656,1.095250588376297
test,6,level_ge_7m,observed_control,augmented,5,-0.05355210243139952,-1.203833023166414
test,6,level_ge_7m,core_original,core_augmented,-1,-0.018155210138078526,-0.0669373962199753
test,6,level_ge_7m,observed_control,core_original,-5,0.03565053077009994,-0.04164503857014168
test,6,level_ge_7m,augmented,core_augmented,-11,0.07104742306342093,1.095250588376297
test,7,all,observed_control,augmented,12,-0.012419773848118765,-1.9238452152274554
test,7,all,core_original,core_augmented,-9,0.0013696190516748752,-0.06104756439612302
test,7,all,observed_control,core_original,14,-0.013465260460450712,0.8170465978627472
test,7,all,augmented,core_augmented,-7,0.0003241324393429279,2.6798442486940797
test,7,level_ge_7m,observed_control,augmented,-6,-0.015885654874672972,-1.9238452152274554
test,7,level_ge_7m,core_original,core_augmented,-3,0.006604368529320337,-0.06104756439612302
test,7,level_ge_7m,observed_control,core_original,6,-0.06294662259084449,0.8170465978627472
test,7,level_ge_7m,augmented,core_augmented,9,-0.04045659918685118,2.6798442486940797
test,8,all,observed_control,augmented,38,-0.026072889933918764,-2.272625632910632
test,8,all,core_original,core_augmented,-26,-0.002747740645433483,0.17239523625567532
test,8,all,observed_control,core_original,28,-0.018915301113813954,0.9396738910213287
test,8,all,augmented,core_augmented,-36,0.004409848174671327,3.384694760187636
test,8,level_ge_7m,observed_control,augmented,7,-0.11117611074495681,-2.272625632910632
test,8,level_ge_7m,core_original,core_augmented,-8,0.02013075015007937,0.17239523625567532
test,8,level_ge_7m,observed_control,core_original,4,-0.08907593672613745,0.9396738910213287
test,8,level_ge_7m,augmented,core_augmented,-11,0.04223092416889873,3.384694760187636
test,9,all,observed_control,augmented,21,-0.023020587595322273,-1.4692268367826617
test,9,all,core_original,core_augmented,-6,-0.004962467441422869,0.3569478859127768
test,9,all,observed_control,core_original,35,-0.013812382687172609,1.3424172015834959
test,9,all,augmented,core_augmented,8,0.0042457374667267955,3.1685919242789344
test,9,level_ge_7m,observed_control,augmented,8,-0.11170821309498069,-1.4692268367826617
test,9,level_ge_7m,core_original,core_augmented,-5,-0.03196241969245894,0.3569478859127768
test,9,level_ge_7m,observed_control,core_original,10,-0.07324603150784625,1.3424172015834959
test,9,level_ge_7m,augmented,core_augmented,-3,0.006499761894675493,3.1685919242789344
test,10,all,observed_control,augmented,-8,-0.019043192501886963,-1.6943850605542004
test,10,all,core_original,core_augmented,-16,-3.8766847608118216e-05,0.04019214759632561
test,10,all,observed_control,core_original,10,-0.002405485919745043,2.1611760647484815
test,10,all,augmented,core_augmented,2,0.016598939734533802,3.8957532728990074
test,10,level_ge_7m,observed_control,augmented,4,-0.13208694106340702,-1.6943850605542004
test,10,level_ge_7m,core_original,core_augmented,6,-0.05227739045210211,0.04019214759632561
test,10,level_ge_7m,observed_control,core_original,7,-0.008861553252358156,2.1611760647484815
test,10,level_ge_7m,augmented,core_augmented,9,0.07094799735894675,3.8957532728990074
test,11,all,observed_control,augmented,3,-0.007357019868481363,-0.7455397423651995
test,11,all,core_original,core_augmented,-8,-0.00671506778219616,-0.7157596107300357
test,11,all,observed_control,core_original,-6,0.018499736399002598,2.7572451052494227
test,11,all,augmented,core_augmented,-17,0.0191416884852878,2.7870252368845865
test,11,level_ge_7m,observed_control,augmented,4,-0.0490647711519594,-0.7455397423651995
test,11,level_ge_7m,core_original,core_augmented,-4,-0.0811854459879442,-0.7157596107300357
test,11,level_ge_7m,observed_control,core_original,14,0.031091994936559564,2.7572451052494227
test,11,level_ge_7m,augmented,core_augmented,6,-0.0010286798994252333,2.7870252368845865
test,12,all,observed_control,augmented,0,-0.019539183131279725,-0.22716541092200515
test,12,all,core_original,core_augmented,-30,-0.0005396254267990841,-0.6075548470837955
test,12,all,observed_control,core_original,-21,0.013380974825957181,2.4386936886606136
test,12,all,augmented,core_augmented,-51,0.03238053253043782,2.0583042524988233
test,12,level_ge_7m,observed_control,augmented,6,-0.10510702136866601,-0.22716541092200515
test,12,level_ge_7m,core_original,core_augmented,-4,-0.07727517219350899,-0.6075548470837955
test,12,level_ge_7m,observed_control,core_original,0,0.008464679049405843,2.4386936886606136
test,12,level_ge_7m,augmented,core_augmented,-10,0.03629652822456286,2.0583042524988233
