phase,horizon_h,subset,reference,candidate,delta_hits,delta_mae_m,delta_max_abs_m
validation,4,all,observed_control,augmented,-9,0.0035525559583913582,0.15556661817633355
validation,4,all,core_original,core_augmented,7,0.002038138558825439,0.0402079281779697
validation,4,all,levels45_original,levels45_augmented,23,-0.007031920967664154,0.07817296306352972
validation,4,all,rain108_original,rain108_augmented,-7,0.003835979408060658,0.08314287598799197
validation,4,all,core_original,levels45_original,26,-0.015383546144102249,-0.8613316828899507
validation,4,all,core_augmented,levels45_augmented,42,-0.024453605670591842,-0.8233666480043906
validation,4,all,rain108_original,observed_control,44,-0.023820334171484263,-0.14335871584201243
validation,4,all,rain108_augmented,augmented,42,-0.024103757621153563,-0.07093497365367085
validation,4,all,core_original,rain108_original,-3,0.007641305927795897,-0.010808646856988346
validation,4,all,core_augmented,rain108_augmented,-17,0.009439146777031115,0.032126300953033926
validation,4,all,levels45_original,observed_control,15,-0.0007954820995861173,0.7071643201909499
validation,4,all,levels45_augmented,augmented,-17,0.009788994826469395,0.7845579753037537
validation,4,level_ge_7m,observed_control,augmented,0,0.0738915147117428,0.2885245308693465
validation,4,level_ge_7m,core_original,core_augmented,3,-0.028732911617422974,-0.05098083244625862
validation,4,level_ge_7m,levels45_original,levels45_augmented,-1,0.06215985421173828,0.03527268178328313
validation,4,level_ge_7m,rain108_original,rain108_augmented,0,0.019290767987998725,0.11670064602954255
validation,4,level_ge_7m,core_original,levels45_original,5,-0.18015210619741948,-0.251228025514858
validation,4,level_ge_7m,core_augmented,levels45_augmented,1,-0.08925934036825822,-0.16497451128531626
validation,4,level_ge_7m,rain108_original,observed_control,1,-0.1069782126133404,-0.4416371192018431
validation,4,level_ge_7m,rain108_augmented,augmented,1,-0.052377465889596325,-0.2698132343620392
validation,4,level_ge_7m,core_original,rain108_original,3,-0.03913295753709528,0.23167691790323097
validation,4,level_ge_7m,core_augmented,rain108_augmented,0,0.008890722068326418,0.39935839637903214
validation,4,level_ge_7m,levels45_original,observed_control,-1,0.0340409360469838,0.04126782421624586
validation,4,level_ge_7m,levels45_augmented,augmented,0,0.045772596546988314,0.2945196733023092
validation,5,all,observed_control,augmented,-22,0.008772440973276646,0.6223304136132821
validation,5,all,core_original,core_augmented,11,-0.001113158287166488,-0.02832206395164638
validation,5,all,levels45_original,levels45_augmented,7,-0.00332974422467594,0.07043579763601748
validation,5,all,rain108_original,rain108_augmented,-19,0.000997642646488106,0.1798017688967608
validation,5,all,core_original,levels45_original,19,-0.011217827234095978,-0.40138959315563083
validation,5,all,core_augmented,levels45_augmented,15,-0.01343441317160543,-0.30263173156796697
validation,5,all,rain108_original,observed_control,24,-0.018585166519700755,-0.24199771515817226
validation,5,all,rain108_augmented,augmented,21,-0.010810368192912215,0.20053092955834906
validation,5,all,core_original,rain108_original,-12,0.009195445709312258,0.08702993776065826
validation,5,all,core_augmented,rain108_augmented,-42,0.011306246642966852,0.29515377060906545
validation,5,all,levels45_original,observed_control,-7,0.0018281064237074818,0.24642181575811684
validation,5,all,levels45_augmented,augmented,-36,0.013930291621660068,0.7983164317353815
validation,5,level_ge_7m,observed_control,augmented,0,0.09630410065400344,0.4800250462514679
validation,5,level_ge_7m,core_original,core_augmented,1,0.02776333317798002,-0.11700991531506055
validation,5,level_ge_7m,levels45_original,levels45_augmented,0,0.03435223911482066,0.12586487118849465
validation,5,level_ge_7m,rain108_original,rain108_augmented,0,0.06356058770720646,0.001643896894549357
validation,5,level_ge_7m,core_original,levels45_original,0,-0.07583566102677375,-0.22328039546514944
validation,5,level_ge_7m,core_augmented,levels45_augmented,-1,-0.06924675508993311,0.019594391038405767
validation,5,level_ge_7m,rain108_original,observed_control,5,-0.10947519495082822,-0.24874428616677768
validation,5,level_ge_7m,rain108_augmented,augmented,5,-0.07673168200403124,0.22963686319014087
validation,5,level_ge_7m,core_original,rain108_original,-4,0.026964694788390586,0.18595478178487834
validation,5,level_ge_7m,core_augmented,rain108_augmented,-5,0.06276194931761703,0.30460859399448825
validation,5,level_ge_7m,levels45_original,observed_control,1,-0.006674839135663885,0.1604908910832501
validation,5,level_ge_7m,levels45_augmented,augmented,1,0.055277022403518894,0.5146510661462234
validation,6,all,observed_control,augmented,-28,0.005419793220642566,0.7378252336095592
validation,6,all,core_original,core_augmented,8,-0.0006414774603304696,0.13104401574050684
validation,6,all,levels45_original,levels45_augmented,27,-0.007917359144274036,0.09429289734167057
validation,6,all,rain108_original,rain108_augmented,-10,-0.0015800563091658698,0.3365704615704177
validation,6,all,core_original,levels45_original,2,-0.007812742772686565,-0.30617775385811274
validation,6,all,core_augmented,levels45_augmented,21,-0.015088624456630131,-0.342928872256949
validation,6,all,rain108_original,observed_control,38,-0.020747358989208597,0.02492428783351941
validation,6,all,rain108_augmented,augmented,20,-0.013747509459400162,0.4261790598726609
validation,6,all,core_original,rain108_original,-43,0.016453521180069444,-0.023443519686240366
validation,6,all,core_augmented,rain108_augmented,-61,0.015514942331234044,0.1820829261436705
validation,6,all,levels45_original,observed_control,-7,0.0035189049635474118,0.3076585220053918
