phase,family,horizon_h,n,with_missing_first24,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,baseline,1,3633,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,candidate,1,4362,729,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,baseline,1,9524,0,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,candidate,1,10841,1317,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,baseline,2,3631,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,candidate,2,4360,729,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,baseline,2,9516,0,2026-06-28T08:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,candidate,2,10837,1321,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,baseline,3,3629,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,candidate,3,4358,729,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,baseline,3,9515,0,2026-06-28T09:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,candidate,3,10834,1319,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,baseline,4,3626,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,candidate,4,4356,730,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,baseline,4,9506,0,2026-06-28T10:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,candidate,4,10830,1324,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,baseline,5,3623,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,candidate,5,4355,732,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,baseline,5,9506,0,2026-06-28T11:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,candidate,5,10828,1322,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,baseline,6,3622,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,candidate,6,4354,732,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,baseline,6,9503,0,2026-06-28T12:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,candidate,6,10826,1323,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,baseline,7,3622,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,candidate,7,4353,731,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,baseline,7,9506,0,2026-06-28T13:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,candidate,7,10824,1318,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,baseline,8,3621,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,candidate,8,4352,731,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,baseline,8,9503,0,2026-06-28T14:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,candidate,8,10822,1319,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,baseline,9,3620,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,candidate,9,4351,731,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,baseline,9,9503,0,2026-06-28T15:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,candidate,9,10821,1318,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,baseline,10,3619,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,candidate,10,4350,731,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,baseline,10,9500,0,2026-06-28T16:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,candidate,10,10818,1318,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,baseline,11,3618,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,candidate,11,4349,731,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,baseline,11,9500,0,2026-06-28T17:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,candidate,11,10817,1317,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,baseline,12,3616,0,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,candidate,12,4348,732,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,baseline,12,9495,0,2026-06-28T18:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,candidate,12,10814,1319,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
