origin,horizon_h,delay_minutes,recomputed_m,saved_m,difference_m,passed
2026-07-01T00:00:00-03:00,1,15,4.502797969511366,4.502797969511366,0.0,True
2026-07-01T00:00:00-03:00,1,30,4.47347431904146,4.47347431904146,0.0,True
2026-07-01T00:00:00-03:00,1,45,4.445615178122823,4.445615178122823,0.0,True
2026-07-01T00:00:00-03:00,2,15,4.418716677172806,4.418716677172805,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,2,30,4.393733961849715,4.393733961849714,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,2,45,4.37002140678333,4.370021406783331,-8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,3,15,4.3446390727896675,4.344639072789667,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,3,30,4.323401446983515,4.323401446983514,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,3,45,4.303263055472055,4.303263055472054,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,4,15,4.254399881752282,4.254399881752281,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,4,30,4.2363152183800485,4.236315218380049,-8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,4,45,4.219183103897583,4.219183103897583,0.0,True
2026-07-01T00:00:00-03:00,5,15,4.167654069129797,4.167654069129796,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,5,30,4.152277503767777,4.1522775037677775,-8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,5,45,4.137725719653076,4.1377257196530755,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,6,15,4.0890490921462375,4.0890490921462375,0.0,True
2026-07-01T00:00:00-03:00,6,30,4.076008730426074,4.076008730426073,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,6,45,4.063681615047956,4.0636816150479556,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,7,15,4.027565711177895,4.027565711177895,0.0,True
2026-07-01T00:00:00-03:00,7,30,4.016556885202873,4.016556885202872,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,7,45,4.00616334551091,4.00616334551091,0.0,True
2026-07-01T00:00:00-03:00,8,15,3.9860269684322267,3.9860269684322276,-8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,8,30,3.9767859096870763,3.9767859096870772,-8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,8,45,3.9680741225626406,3.9680741225626397,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,9,15,3.979350946779758,3.9793509467797588,-8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,9,30,3.9716648501407503,3.971664850140751,-8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,9,45,3.9644317703896217,3.9644317703896217,0.0,True
2026-07-01T00:00:00-03:00,10,15,3.996897288938837,3.9968972889388352,1.7763568394002505e-15,True
2026-07-01T00:00:00-03:00,10,30,3.990557370066502,3.990557370066502,0.0,True
2026-07-01T00:00:00-03:00,10,45,3.9846039202829076,3.9846039202829084,-8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,11,15,4.0326438246108856,4.0326438246108856,0.0,True
2026-07-01T00:00:00-03:00,11,30,4.0274578684374545,4.027457868437454,8.881784197001252e-16,True
2026-07-01T00:00:00-03:00,11,45,4.022600907460809,4.022600907460809,0.0,True
2026-07-01T00:00:00-03:00,12,15,4.081657792061528,4.081657792061528,0.0,True
2026-07-01T00:00:00-03:00,12,30,4.077453430122241,4.077453430122241,0.0,True
2026-07-01T00:00:00-03:00,12,45,4.073528846880999,4.073528846880999,0.0,True
2026-07-02T21:00:00-03:00,1,15,7.253426000427062,7.253426000427063,-8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,1,30,7.213409658300422,7.213409658300421,8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,1,45,7.1834519338277865,7.183451933827786,8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,2,15,7.454985374406709,7.45498537440671,-8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,2,30,7.422694722891028,7.422694722891029,-8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,2,45,7.398622977223999,7.398622977224,-8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,3,15,7.649854317082074,7.649854317082075,-8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,3,30,7.6239600568687615,7.623960056868761,8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,3,45,7.604755282676191,7.604755282676188,2.6645352591003757e-15,True
2026-07-02T21:00:00-03:00,4,15,7.797235681420542,7.797235681420541,8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,4,30,7.776560351049558,7.776560351049558,0.0,True
2026-07-02T21:00:00-03:00,4,45,7.761322420494132,7.761322420494133,-8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,5,15,7.908332566980651,7.90833256698065,8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,5,30,7.891955471407711,7.891955471407711,0.0,True
2026-07-02T21:00:00-03:00,5,45,7.8799819552972465,7.879981955297246,8.881784197001252e-16,True
2026-07-02T21:00:00-03:00,6,15,8.024043344375624,8.02404334437562,3.552713678800501e-15,True
2026-07-02T21:00:00-03:00,6,30,8.011276709850083,8.011276709850083,0.0,True
2026-07-02T21:00:00-03:00,6,45,8.002043612051441,8.002043612051441,0.0,True
