lead_h,valid_at,julho_history_m3_s,julho_modeled_m3_s,julho_persistence_m3_s,julho_modeled_kernel_weight,carreiro_history_m3_s,carreiro_modeled_m3_s,carreiro_persistence_m3_s,carreiro_modeled_kernel_weight,local_runoff_m3_s,anchor_correction_m3_s,total_m3_s,level_m,replay_error_m,upstream_persistence_level_m,no_new_local_rain_level_m
1,2026-09-21T19:00:00-03:00,2570.7464582014427,1350.3908364200527,1003.9291589289518,0.17652091391693994,383.90111980458136,0.0,0.0,0.0,2033.6722755934547,-38.59030583908109,6300.120384180449,15.240552577451622,0.0,14.735865215067047,15.237113468868232
2,2026-09-21T20:00:00-03:00,2344.4902904738037,2579.398976477642,1635.7002632172648,0.28760525858749825,464.18654118724936,0.0,0.0,0.0,1998.8052105341133,-32.6659886507217,7354.215030022087,16.71565863338873,0.0,15.399164104922164,16.705676810591303
3,2026-09-21T21:00:00-03:00,2294.210623421347,3761.997927990685,2050.638204750907,0.3605638174727431,518.2596707901696,0.0,0.0,0.0,1939.1886241471645,-27.651162418320126,8486.005683931045,18.21363735739746,0.0,15.915220274039207,18.195532840610067
4,2026-09-21T22:00:00-03:00,2240.0764630104104,5068.752941830337,2450.7392014052175,0.43091359560235276,325.90606726966746,147.66016918758362,210.97594546577713,0.28265044541381146,1859.7955634725263,-23.406203659090142,9618.785001111435,19.639536832848954,0.0,16.318042823218196,19.613683884312636
5,2026-09-21T23:00:00-03:00,2100.5901130016755,6542.8049416348995,2920.1549529203503,0.5134509905245801,163.65526214603787,356.7560692767257,377.34872057072937,0.5055447610872289,1765.5825970296835,-19.81292364648763,10909.576059442532,21.18960494110717,0.0,16.652064585789486,21.157523549271808
6,2026-09-22T00:00:00-03:00,1795.6064793665987,8187.383662382497,3478.249391886621,0.6115807634693063,56.89081630472505,586.8678025572699,478.65484680097444,0.6412674456753229,1661.2227621885588,-16.771277783404884,12271.200245016247,22.751863323337137,0.0,16.850848325511645,22.715294104076474
7,2026-09-22T01:00:00-03:00,1400.6118129344663,9895.70790466545,4031.6717635001055,0.708889046579157,16.147237452917345,804.1573928323979,517.3063774340492,0.6930499952225948,1550.8421291952843,-14.1965801467162,13653.2698969338,24.272388257568007,0.0,16.91644842007126,24.232978028483352
8,2026-09-22T02:00:00-03:00,1033.720602884745,11554.692037058592,4480.165950474756,0.7877478017682799,16.1250085463463,943.9019974152678,517.3063774340492,0.6930499952225948,1437.9331111868548,-12.017145650140174,14974.355611441666,25.672693276543345,0.0,16.877065598973935,25.631815698255863
9,2026-09-22T03:00:00-03:00,769.1907395725119,13104.364978111913,4830.735308924677,0.8493884294903349,16.1542999365561,977.6001893343694,517.3063774340492,0.6930499952225948,1325.343221572012,-10.172294178192395,16182.48113434917,26.91319993548136,0.0,16.84368063745763,26.87194990129385
10,2026-09-22T04:00:00-03:00,527.0822345639839,14533.112962547084,5135.211663218165,0.9029245220004122,16.229831384548227,991.485993655386,517.3063774340492,0.6930499952225948,1215.309627568963,-8.61066112205105,17274.609988597917,28.005016601693978,0.0,16.781296716116724,27.964263475079182
11,2026-09-22T05:00:00-03:00,280.0841158033158,15801.722800706722,5407.225884196685,0.9507527959961184,17.242538284295087,969.9282996762076,517.3063774340492,0.6930499952225948,1109.519134195983,-7.288767279042323,18171.208121387484,28.882135759265612,7.105427357601002e-15,16.674648832315576,28.842478048402263
12,2026-09-22T06:00:00-03:00,0.0,16950.94250999318,5687.31,1.0,19.93217278715973,1033.5980315118097,517.3063774340492,0.6930499952225948,1009.1799267437656,-6.169808298690013,19007.482832737223,29.685726919655984,-3.552713678800501e-15,16.542814937910016,29.6476995931308
13,2026-09-22T07:00:00-03:00,0.0,17615.109131721176,5687.31,1.0,24.430248358560313,1066.7076783847954,517.3063774340492,0.6930499952225948,915.0961754571118,-5.222629970919548,19616.120603950723,30.26226635662486,0.0,16.4211770582172,30.226124471059276
14,2026-09-22T08:00:00-03:00,0.0,18119.609839642206,5687.31,1.0,27.533412631971036,1079.2064304280723,517.3063774340492,0.6930499952225948,827.7399707697809,-4.420860826249397,20049.66879264578,30.66886748512851,-3.552713678800501e-15,16.30613916251189,30.63479202049366
