station,date,records,records_exact_hour,records_exact_15min,NivelFinal_approved,NivelFinal_approved_exact_hour,VazaoFinal_approved,VazaoFinal_approved_exact_hour,ChuvaFinal_approved,ChuvaFinal_approved_exact_hour
86510000,2021-04-28,96,24,96,96,24,96,24,96,24
86510000,2021-04-29,96,24,96,96,24,96,24,96,24
86510000,2021-04-30,96,24,96,96,24,96,24,92,23
86510000,2021-05-01,96,24,96,96,24,96,24,96,24
86510000,2021-05-02,96,24,96,96,24,96,24,96,24
86510000,2021-05-03,96,24,96,96,24,96,24,96,24
86510000,2021-05-04,96,24,96,96,24,96,24,94,23
86510000,2021-05-05,96,24,96,96,24,96,24,96,24
86510000,2021-05-06,96,24,96,96,24,96,24,96,24
86510000,2021-05-07,96,24,96,96,24,96,24,94,23
86510000,2021-05-08,96,24,96,96,24,96,24,96,24
86510000,2021-05-09,96,24,96,96,24,96,24,96,24
86510000,2021-05-10,96,24,96,96,24,96,24,96,24
86510000,2021-05-11,96,24,96,96,24,96,24,96,24
86510000,2021-05-12,96,24,96,96,24,96,24,96,24
86510000,2021-05-13,96,24,96,96,24,96,24,96,24
86510000,2021-05-14,96,24,96,96,24,96,24,96,24
86510000,2021-05-15,96,24,96,96,24,96,24,96,24
86510000,2021-05-16,96,24,96,96,24,96,24,96,24
86510000,2021-05-17,96,24,96,96,24,96,24,96,24
86510000,2021-05-18,96,24,96,96,24,96,24,96,24
86510000,2021-05-19,96,24,96,96,24,96,24,96,24
86510000,2021-05-20,96,24,96,96,24,96,24,96,24
86510000,2021-05-21,96,24,96,96,24,96,24,96,24
86510000,2021-05-22,96,24,96,96,24,96,24,96,24
86510000,2021-05-23,96,24,96,96,24,96,24,96,24
86510000,2021-05-24,96,24,96,96,24,96,24,96,24
86510000,2021-05-25,96,24,96,96,24,96,24,96,24
86510000,2021-05-26,96,24,96,96,24,96,24,96,24
86510000,2021-05-27,96,24,96,96,24,96,24,96,24
86510000,2021-05-28,96,24,96,96,24,96,24,96,24
86510000,2021-05-29,96,24,96,96,24,96,24,96,24
86510000,2021-05-30,96,24,96,96,24,96,24,96,24
86510000,2021-05-31,96,24,96,96,24,96,24,96,24
86472000,2021-04-28,96,24,96,0,0,0,0,96,24
86472000,2021-04-29,96,24,96,0,0,0,0,96,24
86472000,2021-04-30,96,24,96,0,0,0,0,96,24
86472000,2021-05-01,96,24,96,0,0,0,0,96,24
86472000,2021-05-02,96,24,96,0,0,0,0,96,24
86472000,2021-05-03,96,24,96,0,0,0,0,96,24
86472000,2021-05-04,96,24,96,0,0,0,0,96,24
86472000,2021-05-05,96,24,96,0,0,0,0,96,24
86472000,2021-05-06,96,24,96,0,0,0,0,96,24
86472000,2021-05-07,96,24,96,0,0,0,0,96,24
86472000,2021-05-08,96,24,96,0,0,0,0,96,24
86472000,2021-05-09,96,24,96,0,0,0,0,96,24
86472000,2021-05-10,96,24,96,0,0,0,0,96,24
86472000,2021-05-11,96,24,96,0,0,0,0,96,24
86472000,2021-05-12,96,24,96,0,0,0,0,88,22
86472000,2021-05-13,96,24,96,0,0,0,0,96,24
86472000,2021-05-14,96,24,96,0,0,0,0,96,24
86472000,2021-05-15,96,24,96,0,0,0,0,96,24
86472000,2021-05-16,96,24,96,0,0,0,0,96,24
86472000,2021-05-17,96,24,96,0,0,0,0,96,24
86472000,2021-05-18,96,24,96,0,0,0,0,67,17
86472000,2021-05-19,96,24,96,0,0,0,0,0,0
86472000,2021-05-20,96,24,96,0,0,0,0,70,18
86472000,2021-05-21,96,24,96,0,0,0,0,96,24
86472000,2021-05-22,96,24,96,0,0,0,0,96,24
86472000,2021-05-23,96,24,96,0,0,0,0,96,24
86472000,2021-05-24,96,24,96,0,0,0,0,96,24
86472000,2021-05-25,96,24,96,0,0,0,0,96,24
86472000,2021-05-26,96,24,96,0,0,0,0,96,24
86472000,2021-05-27,96,24,96,0,0,0,0,89,22
86472000,2021-05-28,96,24,96,0,0,0,0,96,24
86472000,2021-05-29,96,24,96,0,0,0,0,96,24
86472000,2021-05-30,96,24,96,0,0,0,0,96,24
86472000,2021-05-31,96,24,96,0,0,0,0,96,24
