station,field,records,modal_cadence_seconds,numeric,empty,nonempty_nonnumeric,approved_numeric,suspect_numeric,numeric_without_qc,parser_compatible,negative,first_approved,last_approved
86060010,NivelFinal,792,3600,0,792,0,0,0,0,0,0,,
86060010,VazaoFinal,792,3600,0,792,0,0,0,0,0,0,,
86060010,ChuvaFinal,792,3600,792,0,0,792,0,0,792,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86060010,ChuvaAcumAdotada,792,3600,0,792,0,0,0,0,0,0,,
86099000,NivelFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86099000,VazaoFinal,760,3600,713,47,0,713,0,0,713,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86099000,ChuvaFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86099000,ChuvaAcumAdotada,760,3600,0,760,0,0,0,0,0,0,,
86102000,NivelFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86102000,VazaoFinal,760,3600,692,68,0,692,0,0,692,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86102000,ChuvaFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86102000,ChuvaAcumAdotada,760,3600,0,760,0,0,0,0,0,0,,
86117000,NivelFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86117000,VazaoFinal,760,3600,755,5,0,755,0,0,755,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86117000,ChuvaFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86117000,ChuvaAcumAdotada,760,3600,0,760,0,0,0,0,0,0,,
86125000,NivelFinal,0,,0,0,0,0,0,0,0,0,,
86125000,VazaoFinal,0,,0,0,0,0,0,0,0,0,,
86125000,ChuvaFinal,0,,0,0,0,0,0,0,0,0,,
86125000,ChuvaAcumAdotada,0,,0,0,0,0,0,0,0,0,,
86125050,NivelFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86125050,VazaoFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86125050,ChuvaFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86125050,ChuvaAcumAdotada,760,3600,0,760,0,0,0,0,0,0,,
86160000,NivelFinal,3128,900,3124,4,0,3113,11,0,3113,0,2023-08-29 09:00:00,2023-09-30 23:45:00
86160000,VazaoFinal,3128,900,3124,4,0,3113,11,0,3113,0,2023-08-29 09:00:00,2023-09-30 23:45:00
86160000,ChuvaFinal,3128,900,2639,489,0,2639,0,0,2639,0,2023-08-29 09:00:00,2023-09-25 22:45:00
86160000,ChuvaAcumAdotada,3128,900,2639,489,0,2639,0,0,2639,0,2023-08-29 09:00:00,2023-09-25 22:45:00
86163000,NivelFinal,642,3600,642,0,0,642,0,0,642,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86163000,VazaoFinal,642,3600,131,511,0,131,0,0,131,0,2023-08-29 00:00:00,2023-09-04 13:00:00
86163000,ChuvaFinal,642,3600,642,0,0,642,0,0,642,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86163000,ChuvaAcumAdotada,642,3600,0,642,0,0,0,0,0,0,,
86200900,NivelFinal,753,3600,753,0,0,753,0,0,753,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86200900,VazaoFinal,753,3600,0,753,0,0,0,0,0,0,,
86200900,ChuvaFinal,753,3600,0,753,0,0,0,0,0,0,,
86200900,ChuvaAcumAdotada,753,3600,0,753,0,0,0,0,0,0,,
86280500,NivelFinal,763,3600,763,0,0,763,0,0,763,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86280500,VazaoFinal,763,3600,0,763,0,0,0,0,0,0,,
86280500,ChuvaFinal,763,3600,763,0,0,763,0,0,763,0,2023-08-29 00:00:00,2023-09-30 23:00:00
86280500,ChuvaAcumAdotada,763,3600,0,763,0,0,0,0,0,0,,
86298000,NivelFinal,668,3600,668,0,0,668,0,0,668,0,2023-08-29 00:00:00,2023-09-25 23:00:00
86298000,VazaoFinal,668,3600,653,15,0,653,0,0,653,0,2023-08-29 00:00:00,2023-09-25 23:00:00
86298000,ChuvaFinal,668,3600,668,0,0,668,0,0,668,0,2023-08-29 00:00:00,2023-09-25 23:00:00
86298000,ChuvaAcumAdotada,668,3600,0,668,0,0,0,0,0,0,,
86403000,NivelFinal,760,3600,760,0,0,760,0,0,760,0,2023-08-29 00:00:00,2023-09-30 23:00:00
