phase,profile,family,horizon_h,scheduled,inferred,max_difference_m,exact
validation,B,profile_A_control,8,6544,6514,0.0,True
validation,B,profile_B_control,8,6544,6514,0.0,True
validation,B,mixed_profile_candidate,8,6544,6514,0.0,True
validation,B,age_mixed_candidate,8,6544,6514,0.0,True
test,A,profile_A_control,8,1960,1937,0.0,True
test,A,profile_B_control,8,1960,1937,0.0,True
test,A,mixed_profile_candidate,8,1960,1937,0.0,True
test,A,age_mixed_candidate,8,1960,1937,0.0,True
test,B,profile_A_control,8,1960,1938,0.0,True
test,B,profile_B_control,8,1960,1938,0.0,True
test,B,mixed_profile_candidate,8,1960,1938,0.0,True
test,B,age_mixed_candidate,8,1960,1938,0.0,True
validation,A,profile_A_control,9,6543,6503,0.0,True
validation,A,profile_B_control,9,6543,6503,0.0,True
validation,A,mixed_profile_candidate,9,6543,6503,0.0,True
validation,A,age_mixed_candidate,9,6543,6503,0.0,True
validation,B,profile_A_control,9,6543,6513,0.0,True
validation,B,profile_B_control,9,6543,6513,0.0,True
validation,B,mixed_profile_candidate,9,6543,6513,0.0,True
validation,B,age_mixed_candidate,9,6543,6513,0.0,True
test,A,profile_A_control,9,1959,1936,0.0,True
test,A,profile_B_control,9,1959,1936,0.0,True
test,A,mixed_profile_candidate,9,1959,1936,0.0,True
test,A,age_mixed_candidate,9,1959,1936,0.0,True
test,B,profile_A_control,9,1959,1937,0.0,True
test,B,profile_B_control,9,1959,1937,0.0,True
test,B,mixed_profile_candidate,9,1959,1937,0.0,True
test,B,age_mixed_candidate,9,1959,1937,0.0,True
validation,A,profile_A_control,10,6542,6502,0.0,True
validation,A,profile_B_control,10,6542,6502,0.0,True
validation,A,mixed_profile_candidate,10,6542,6502,0.0,True
validation,A,age_mixed_candidate,10,6542,6502,0.0,True
validation,B,profile_A_control,10,6542,6512,0.0,True
validation,B,profile_B_control,10,6542,6512,0.0,True
validation,B,mixed_profile_candidate,10,6542,6512,0.0,True
validation,B,age_mixed_candidate,10,6542,6512,0.0,True
test,A,profile_A_control,10,1958,1935,0.0,True
test,A,profile_B_control,10,1958,1935,0.0,True
test,A,mixed_profile_candidate,10,1958,1935,0.0,True
test,A,age_mixed_candidate,10,1958,1935,0.0,True
test,B,profile_A_control,10,1958,1936,0.0,True
test,B,profile_B_control,10,1958,1936,0.0,True
test,B,mixed_profile_candidate,10,1958,1936,0.0,True
test,B,age_mixed_candidate,10,1958,1936,0.0,True
validation,A,profile_A_control,11,6541,6501,0.0,True
validation,A,profile_B_control,11,6541,6501,0.0,True
validation,A,mixed_profile_candidate,11,6541,6501,0.0,True
validation,A,age_mixed_candidate,11,6541,6501,0.0,True
validation,B,profile_A_control,11,6541,6511,0.0,True
validation,B,profile_B_control,11,6541,6511,0.0,True
validation,B,mixed_profile_candidate,11,6541,6511,0.0,True
validation,B,age_mixed_candidate,11,6541,6511,0.0,True
test,A,profile_A_control,11,1957,1934,0.0,True
test,A,profile_B_control,11,1957,1934,0.0,True
test,A,mixed_profile_candidate,11,1957,1934,0.0,True
test,A,age_mixed_candidate,11,1957,1934,0.0,True
test,B,profile_A_control,11,1957,1935,0.0,True
test,B,profile_B_control,11,1957,1935,0.0,True
test,B,mixed_profile_candidate,11,1957,1935,0.0,True
test,B,age_mixed_candidate,11,1957,1935,0.0,True
validation,A,profile_A_control,12,6540,6500,0.0,True
validation,A,profile_B_control,12,6540,6500,0.0,True
validation,A,mixed_profile_candidate,12,6540,6500,0.0,True
validation,A,age_mixed_candidate,12,6540,6500,0.0,True
validation,B,profile_A_control,12,6540,6510,0.0,True
validation,B,profile_B_control,12,6540,6510,0.0,True
validation,B,mixed_profile_candidate,12,6540,6510,0.0,True
validation,B,age_mixed_candidate,12,6540,6510,0.0,True
test,A,profile_A_control,12,1956,1933,0.0,True
test,A,profile_B_control,12,1956,1933,0.0,True
test,A,mixed_profile_candidate,12,1956,1933,0.0,True
test,A,age_mixed_candidate,12,1956,1933,0.0,True
test,B,profile_A_control,12,1956,1934,0.0,True
test,B,profile_B_control,12,1956,1934,0.0,True
test,B,mixed_profile_candidate,12,1956,1934,0.0,True
test,B,age_mixed_candidate,12,1956,1934,0.0,True
