phase,profile,horizon_h,subset,reference,observed_targets,failures,reference_hits,aged_hits,delta_hits,reference_mae_m,aged_mae_m,delta_mae_m,reference_max_m,aged_max_m
test,A,11,all,profile_A_control,1934,17,1336,1348,12,0.46483961851243744,0.4688840541893353,0.004044435676897884,7.1933341782238,7.15943769248484
test,A,11,level_ge_7m,mixed_profile_candidate,237,1,82,82,0,1.2117416688285163,1.2117416688285163,0.0,7.15943769248484,7.15943769248484
test,A,11,level_ge_7m,profile_A_control,237,1,88,82,-6,1.167452400439356,1.2117416688285163,0.04428926838916025,7.1933341782238,7.15943769248484
test,A,12,all,mixed_profile_candidate,1933,18,1304,1304,0,0.49747435731090545,0.49747435731090545,0.0,7.792800339521805,7.792800339521805
test,A,12,all,profile_A_control,1933,18,1314,1304,-10,0.48703728990212314,0.49747435731090545,0.010437067408782308,7.575214133637115,7.792800339521805
test,A,12,level_ge_7m,mixed_profile_candidate,237,1,75,75,0,1.3286731218781722,1.3286731218781722,0.0,7.792800339521805,7.792800339521805
test,A,12,level_ge_7m,profile_A_control,237,1,91,75,-16,1.2469468675886748,1.3286731218781722,0.08172625428949742,7.575214133637115,7.792800339521805
test,B,1,all,mixed_profile_candidate,1944,4,1931,1931,0,0.04625830552081716,0.045670340217707835,-0.0005879653031093252,1.5158225447286915,1.509439167769579
test,B,1,all,profile_B_control,1944,4,1933,1931,-2,0.04267803063082794,0.045670340217707835,0.0029923095868798974,1.5100564871323074,1.509439167769579
test,B,1,level_ge_7m,mixed_profile_candidate,237,1,230,230,0,0.10507021941064681,0.10291922617124807,-0.0021509932393987408,1.5158225447286915,1.509439167769579
test,B,1,level_ge_7m,profile_B_control,237,1,230,230,0,0.09411275751023761,0.10291922617124807,0.008806468661010466,1.5100564871323074,1.509439167769579
test,B,2,all,mixed_profile_candidate,1943,6,1915,1916,1,0.06880451771616918,0.06919958316699042,0.00039506545082124145,2.7234645501539516,2.7083593159632713
test,B,2,all,profile_B_control,1943,6,1910,1916,6,0.07247205676196612,0.06919958316699042,-0.0032724735949757056,2.721435573404227,2.7083593159632713
test,B,2,level_ge_7m,mixed_profile_candidate,237,1,222,223,1,0.1790052843921942,0.18173802933881328,0.00273274494661907,2.7234645501539516,2.7083593159632713
