id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,source_file,source_record_index,Q_zero,I_zero,Q_negative,I_negative,Q_missing,I_missing,Q_zero_positive_components,balance_residual_gt1
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-19 18:00:00,94.94,75.41,,2634.0,2634.0,46.0,2634.0,0.0,0.0,521.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39915,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-19 19:00:00,94.71,75.45,,2627.0,2627.0,100.0,2627.0,0.0,0.0,475.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39916,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-19 20:00:00,94.54,75.29,,2614.0,2614.0,118.0,2614.0,0.0,0.0,458.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39917,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-19 21:00:00,94.71,75.0,,2614.0,2614.0,23.0,2614.0,0.0,0.0,539.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39918,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-20 16:00:00,94.21,74.02,,1661.0,1661.0,118.0,1661.0,0.0,0.0,430.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39937,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-20 17:00:00,94.28,74.08,,1668.0,1668.0,133.0,1668.0,0.0,0.0,415.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39938,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-20 18:00:00,94.41,73.9,,1661.0,1661.0,135.0,1661.0,0.0,0.0,405.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39939,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-20 19:00:00,94.5,73.86,,1655.0,1655.0,134.0,1655.0,0.0,0.0,403.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39940,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-20 20:00:00,94.52,73.9,,1642.0,1642.0,160.0,1642.0,0.0,0.0,377.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39941,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-20 21:00:00,94.54,73.94,,1629.0,1629.0,163.0,1629.0,0.0,0.0,375.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39942,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-20 22:00:00,94.55,73.97,,1616.0,1616.0,163.0,1616.0,0.0,0.0,375.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39943,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-20 23:00:00,94.55,73.99,,1603.0,1603.0,163.0,1603.0,0.0,0.0,375.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39944,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-20 23:59:00,94.55,74.1,,1591.0,1591.0,165.0,1591.0,0.0,0.0,376.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39945,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-21 01:00:00,94.45,74.1,,1566.0,1566.0,138.0,1566.0,0.0,0.0,406.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39946,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-21 02:00:00,94.21,74.12,,1548.0,1548.0,144.0,1548.0,0.0,0.0,407.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39947,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-21 03:00:00,94.21,74.9,,1542.0,1542.0,148.0,1542.0,0.0,0.0,425.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39948,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-21 04:00:00,94.18,73.14,,1530.0,1530.0,136.0,1530.0,0.0,0.0,390.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39949,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-21 05:00:00,94.01,73.93,,1519.0,1519.0,143.0,1519.0,0.0,0.0,409.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39950,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-21 06:00:00,94.04,73.91,,1501.0,1501.0,142.0,1501.0,0.0,0.0,407.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39951,False,False,False,False,False,False,False,True
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-06-21 07:00:00,94.04,73.85,,1479.0,1479.0,142.0,1479.0,0.0,0.0,406.0,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39952,False,False,False,False,False,False,False,True
