origin,horizon_h,base_m,target_m,admitted,missing_base,missing_target,positive_component_conflict
2020-07-08T08:00:00-03:00,9,,,False,True,True,False
2020-07-08T09:00:00-03:00,9,,,False,True,True,False
2020-07-08T10:00:00-03:00,9,,,False,True,True,False
2020-07-08T11:00:00-03:00,9,,,False,True,True,True
2020-07-08T12:00:00-03:00,9,,,False,True,True,True
2020-07-08T13:00:00-03:00,9,,,False,True,True,True
2020-07-08T14:00:00-03:00,9,,,False,True,True,True
2020-07-08T15:00:00-03:00,9,,,False,True,True,True
2020-07-08T16:00:00-03:00,9,,,False,True,True,True
2020-07-08T17:00:00-03:00,9,,,False,True,True,True
2020-07-08T18:00:00-03:00,9,,,False,True,True,True
2020-07-08T19:00:00-03:00,9,,19.35,False,True,False,True
2020-07-08T20:00:00-03:00,9,,18.85,False,True,False,True
2020-07-08T21:00:00-03:00,9,,18.4,False,True,False,True
2020-07-08T22:00:00-03:00,9,,17.87,False,True,False,True
2020-07-08T23:00:00-03:00,9,,17.31,False,True,False,True
2020-07-09T00:00:00-03:00,9,,16.81,False,True,False,True
2020-07-09T01:00:00-03:00,9,,16.37,False,True,False,True
2020-07-09T02:00:00-03:00,9,,15.87,False,True,False,True
2020-07-09T03:00:00-03:00,9,,15.36,False,True,False,False
2020-07-08T05:00:00-03:00,10,19.02,,False,False,True,False
2020-07-08T06:00:00-03:00,10,,,False,True,True,False
2020-07-08T07:00:00-03:00,10,,,False,True,True,False
2020-07-08T08:00:00-03:00,10,,,False,True,True,False
2020-07-08T09:00:00-03:00,10,,,False,True,True,False
2020-07-08T10:00:00-03:00,10,,,False,True,True,False
2020-07-08T11:00:00-03:00,10,,,False,True,True,True
2020-07-08T12:00:00-03:00,10,,,False,True,True,True
2020-07-08T13:00:00-03:00,10,,,False,True,True,True
2020-07-08T14:00:00-03:00,10,,,False,True,True,True
2020-07-08T15:00:00-03:00,10,,,False,True,True,True
2020-07-08T16:00:00-03:00,10,,,False,True,True,True
2020-07-08T17:00:00-03:00,10,,,False,True,True,True
2020-07-08T18:00:00-03:00,10,,19.35,False,True,False,True
2020-07-08T19:00:00-03:00,10,,18.85,False,True,False,True
2020-07-08T20:00:00-03:00,10,,18.4,False,True,False,True
2020-07-08T21:00:00-03:00,10,,17.87,False,True,False,True
2020-07-08T22:00:00-03:00,10,,17.31,False,True,False,True
2020-07-08T23:00:00-03:00,10,,16.81,False,True,False,True
2020-07-09T00:00:00-03:00,10,,16.37,False,True,False,True
2020-07-09T01:00:00-03:00,10,,15.87,False,True,False,True
2020-07-09T02:00:00-03:00,10,,15.36,False,True,False,True
2020-07-09T03:00:00-03:00,10,,14.95,False,True,False,False
2020-07-08T05:00:00-03:00,11,19.02,,False,False,True,False
2020-07-08T06:00:00-03:00,11,,,False,True,True,False
2020-07-08T07:00:00-03:00,11,,,False,True,True,False
2020-07-08T08:00:00-03:00,11,,,False,True,True,False
2020-07-08T09:00:00-03:00,11,,,False,True,True,False
2020-07-08T10:00:00-03:00,11,,,False,True,True,False
2020-07-08T11:00:00-03:00,11,,,False,True,True,True
2020-07-08T12:00:00-03:00,11,,,False,True,True,True
2020-07-08T13:00:00-03:00,11,,,False,True,True,True
2020-07-08T14:00:00-03:00,11,,,False,True,True,True
2020-07-08T15:00:00-03:00,11,,,False,True,True,True
2020-07-08T16:00:00-03:00,11,,,False,True,True,True
2020-07-08T17:00:00-03:00,11,,19.35,False,True,False,True
2020-07-08T18:00:00-03:00,11,,18.85,False,True,False,True
2020-07-08T19:00:00-03:00,11,,18.4,False,True,False,True
2020-07-08T20:00:00-03:00,11,,17.87,False,True,False,True
2020-07-08T21:00:00-03:00,11,,17.31,False,True,False,True
2020-07-08T22:00:00-03:00,11,,16.81,False,True,False,True
2020-07-08T23:00:00-03:00,11,,16.37,False,True,False,True
2020-07-09T00:00:00-03:00,11,,15.87,False,True,False,True
2020-07-09T01:00:00-03:00,11,,15.36,False,True,False,True
2020-07-09T02:00:00-03:00,11,,14.95,False,True,False,True
2020-07-09T03:00:00-03:00,11,,14.51,False,True,False,False
2020-07-08T05:00:00-03:00,12,19.02,,False,False,True,False
2020-07-08T06:00:00-03:00,12,,,False,True,True,False
2020-07-08T07:00:00-03:00,12,,,False,True,True,False
2020-07-08T08:00:00-03:00,12,,,False,True,True,False
2020-07-08T09:00:00-03:00,12,,,False,True,True,False
2020-07-08T10:00:00-03:00,12,,,False,True,True,False
2020-07-08T11:00:00-03:00,12,,,False,True,True,True
2020-07-08T12:00:00-03:00,12,,,False,True,True,True
2020-07-08T13:00:00-03:00,12,,,False,True,True,True
2020-07-08T14:00:00-03:00,12,,,False,True,True,True
2020-07-08T15:00:00-03:00,12,,,False,True,True,True
2020-07-08T16:00:00-03:00,12,,19.35,False,True,False,True
2020-07-08T17:00:00-03:00,12,,18.85,False,True,False,True
2020-07-08T18:00:00-03:00,12,,18.4,False,True,False,True
2020-07-08T19:00:00-03:00,12,,17.87,False,True,False,True
2020-07-08T20:00:00-03:00,12,,17.31,False,True,False,True
2020-07-08T21:00:00-03:00,12,,16.81,False,True,False,True
2020-07-08T22:00:00-03:00,12,,16.37,False,True,False,True
2020-07-08T23:00:00-03:00,12,,15.87,False,True,False,True
2020-07-09T00:00:00-03:00,12,,15.36,False,True,False,True
2020-07-09T01:00:00-03:00,12,,14.95,False,True,False,True
2020-07-09T02:00:00-03:00,12,,14.51,False,True,False,True
2020-07-09T03:00:00-03:00,12,,14.08,False,True,False,False
