origin,horizon_h,base_m,target_m,admitted,missing_base,missing_target,positive_component_conflict
2020-07-08T12:00:00-03:00,5,,,False,True,True,True
2020-07-08T13:00:00-03:00,5,,,False,True,True,True
2020-07-08T14:00:00-03:00,5,,,False,True,True,True
2020-07-08T15:00:00-03:00,5,,,False,True,True,True
2020-07-08T16:00:00-03:00,5,,,False,True,True,True
2020-07-08T17:00:00-03:00,5,,,False,True,True,True
2020-07-08T18:00:00-03:00,5,,,False,True,True,True
2020-07-08T19:00:00-03:00,5,,,False,True,True,True
2020-07-08T20:00:00-03:00,5,,,False,True,True,True
2020-07-08T21:00:00-03:00,5,,,False,True,True,True
2020-07-08T22:00:00-03:00,5,,,False,True,True,True
2020-07-08T23:00:00-03:00,5,,19.35,False,True,False,True
2020-07-09T00:00:00-03:00,5,,18.85,False,True,False,True
2020-07-09T01:00:00-03:00,5,,18.4,False,True,False,True
2020-07-09T02:00:00-03:00,5,,17.87,False,True,False,True
2020-07-09T03:00:00-03:00,5,,17.31,False,True,False,False
2020-07-08T05:00:00-03:00,6,19.02,,False,False,True,False
2020-07-08T06:00:00-03:00,6,,,False,True,True,False
2020-07-08T07:00:00-03:00,6,,,False,True,True,False
2020-07-08T08:00:00-03:00,6,,,False,True,True,False
2020-07-08T09:00:00-03:00,6,,,False,True,True,False
2020-07-08T10:00:00-03:00,6,,,False,True,True,False
2020-07-08T11:00:00-03:00,6,,,False,True,True,True
2020-07-08T12:00:00-03:00,6,,,False,True,True,True
2020-07-08T13:00:00-03:00,6,,,False,True,True,True
2020-07-08T14:00:00-03:00,6,,,False,True,True,True
2020-07-08T15:00:00-03:00,6,,,False,True,True,True
2020-07-08T16:00:00-03:00,6,,,False,True,True,True
2020-07-08T17:00:00-03:00,6,,,False,True,True,True
2020-07-08T18:00:00-03:00,6,,,False,True,True,True
2020-07-08T19:00:00-03:00,6,,,False,True,True,True
2020-07-08T20:00:00-03:00,6,,,False,True,True,True
2020-07-08T21:00:00-03:00,6,,,False,True,True,True
2020-07-08T22:00:00-03:00,6,,19.35,False,True,False,True
2020-07-08T23:00:00-03:00,6,,18.85,False,True,False,True
2020-07-09T00:00:00-03:00,6,,18.4,False,True,False,True
2020-07-09T01:00:00-03:00,6,,17.87,False,True,False,True
2020-07-09T02:00:00-03:00,6,,17.31,False,True,False,True
2020-07-09T03:00:00-03:00,6,,16.81,False,True,False,False
2020-07-08T05:00:00-03:00,7,19.02,,False,False,True,False
2020-07-08T06:00:00-03:00,7,,,False,True,True,False
2020-07-08T07:00:00-03:00,7,,,False,True,True,False
2020-07-08T08:00:00-03:00,7,,,False,True,True,False
2020-07-08T09:00:00-03:00,7,,,False,True,True,False
2020-07-08T10:00:00-03:00,7,,,False,True,True,False
2020-07-08T11:00:00-03:00,7,,,False,True,True,True
2020-07-08T12:00:00-03:00,7,,,False,True,True,True
2020-07-08T13:00:00-03:00,7,,,False,True,True,True
2020-07-08T14:00:00-03:00,7,,,False,True,True,True
2020-07-08T15:00:00-03:00,7,,,False,True,True,True
2020-07-08T16:00:00-03:00,7,,,False,True,True,True
2020-07-08T17:00:00-03:00,7,,,False,True,True,True
2020-07-08T18:00:00-03:00,7,,,False,True,True,True
2020-07-08T19:00:00-03:00,7,,,False,True,True,True
2020-07-08T20:00:00-03:00,7,,,False,True,True,True
2020-07-08T21:00:00-03:00,7,,19.35,False,True,False,True
2020-07-08T22:00:00-03:00,7,,18.85,False,True,False,True
2020-07-08T23:00:00-03:00,7,,18.4,False,True,False,True
2020-07-09T00:00:00-03:00,7,,17.87,False,True,False,True
2020-07-09T01:00:00-03:00,7,,17.31,False,True,False,True
2020-07-09T02:00:00-03:00,7,,16.81,False,True,False,True
2020-07-09T03:00:00-03:00,7,,16.37,False,True,False,False
2020-07-08T05:00:00-03:00,8,19.02,,False,False,True,False
2020-07-08T06:00:00-03:00,8,,,False,True,True,False
2020-07-08T07:00:00-03:00,8,,,False,True,True,False
2020-07-08T08:00:00-03:00,8,,,False,True,True,False
2020-07-08T09:00:00-03:00,8,,,False,True,True,False
2020-07-08T10:00:00-03:00,8,,,False,True,True,False
2020-07-08T11:00:00-03:00,8,,,False,True,True,True
2020-07-08T12:00:00-03:00,8,,,False,True,True,True
2020-07-08T13:00:00-03:00,8,,,False,True,True,True
2020-07-08T14:00:00-03:00,8,,,False,True,True,True
2020-07-08T15:00:00-03:00,8,,,False,True,True,True
2020-07-08T16:00:00-03:00,8,,,False,True,True,True
2020-07-08T17:00:00-03:00,8,,,False,True,True,True
2020-07-08T18:00:00-03:00,8,,,False,True,True,True
2020-07-08T19:00:00-03:00,8,,,False,True,True,True
2020-07-08T20:00:00-03:00,8,,19.35,False,True,False,True
2020-07-08T21:00:00-03:00,8,,18.85,False,True,False,True
2020-07-08T22:00:00-03:00,8,,18.4,False,True,False,True
2020-07-08T23:00:00-03:00,8,,17.87,False,True,False,True
2020-07-09T00:00:00-03:00,8,,17.31,False,True,False,True
2020-07-09T01:00:00-03:00,8,,16.81,False,True,False,True
2020-07-09T02:00:00-03:00,8,,16.37,False,True,False,True
2020-07-09T03:00:00-03:00,8,,15.87,False,True,False,False
2020-07-08T05:00:00-03:00,9,19.02,,False,False,True,False
2020-07-08T06:00:00-03:00,9,,,False,True,True,False
2020-07-08T07:00:00-03:00,9,,,False,True,True,False
