phase,horizon_h,subset,delta_hits,delta_mae_m,delta_max_abs_m
validation,1,all,1,-0.0007617496599825642,-0.1610536886118532
validation,1,level_ge_7m,0,0.0007125352981750405,-0.020855498903884495
validation,2,all,2,0.0017998036541557946,-0.5370743668163804
validation,2,level_ge_7m,-1,0.004710681599533792,0.1422041605925628
validation,3,all,9,-0.0029999010213854135,-0.2565522236817621
validation,3,level_ge_7m,-1,0.01782426978556434,0.06314845648828893
validation,4,all,5,-0.0051276629479028585,-0.6209415777723333
validation,4,level_ge_7m,-1,0.059682005396205384,0.1611991326765132
validation,5,all,-91,0.011971227001809207,-0.020181256536776715
validation,5,level_ge_7m,-2,0.11733358183980627,0.4748559465525881
validation,6,all,-144,0.014766212656498703,0.1239684247112578
validation,6,level_ge_7m,0,0.03420670176565449,0.054556565326949524
validation,7,all,1,0.004554067806129991,-0.17343173624067987
validation,7,level_ge_7m,4,-0.07159352507269845,-0.3943651483938524
validation,8,all,-133,0.027871743568033125,0.038222729861229876
validation,8,level_ge_7m,-4,0.1322571134663142,0.3092069132682962
validation,9,all,-263,0.036815086812018394,-0.650668252869385
validation,9,level_ge_7m,-1,0.018219521388554316,0.21696451007868234
validation,10,all,-120,0.010006933982796729,-0.6888878254936359
validation,10,level_ge_7m,-2,0.0592657923492691,0.0027845596571296483
validation,11,all,-53,0.0022977955985678533,-1.1277271492137362
validation,11,level_ge_7m,4,-0.16761618512302356,-0.4444702348568139
validation,12,all,-34,-0.004696500185119579,-1.008461897939299
validation,12,level_ge_7m,2,-0.03124549116563724,-0.42097590377200156
test,1,all,1,0.0013369926704433696,-0.2745183063368879
test,1,level_ge_7m,1,-0.008795432757979268,-0.2745183063368879
test,2,all,1,-0.0012801272103154099,-0.5829358090992462
test,2,level_ge_7m,3,-0.02034112816813012,-0.5829358090992462
test,3,all,8,-0.002440484724846287,-0.20169148952732652
test,3,level_ge_7m,7,-0.015239992367244631,-0.20169148952732652
test,4,all,5,-0.0010619351528065174,-0.3800706475079245
test,4,level_ge_7m,7,-0.03642959583330391,-0.3800706475079245
test,5,all,8,-0.0017117785257955709,-0.4149723366852136
test,5,level_ge_7m,4,-0.02297512845013594,-0.4149723366852136
test,6,all,12,-0.0052571845408666,-0.3732154806634522
test,6,level_ge_7m,8,-0.05753844912719064,-0.3732154806634522
test,7,all,14,-0.006673351686116269,-1.1601747530867197
test,7,level_ge_7m,19,-0.09258704557730979,-1.1601747530867197
test,8,all,-23,0.010306273361225804,-1.5013260110040303
test,8,level_ge_7m,-14,0.014835878782791578,-1.5013260110040303
test,9,all,-7,0.00017488190600978282,-0.26862289202619394
test,9,level_ge_7m,-8,-0.002539812499865124,-0.26862289202619394
test,10,all,-50,0.0076174962525632495,-0.7071314177667114
test,10,level_ge_7m,10,-0.11152361124138277,-0.7071314177667114
test,11,all,-66,0.01037819266316553,0.24479026956889083
test,11,level_ge_7m,18,-0.1301230773849953,0.24479026956889083
test,12,all,-24,0.006142356091744128,0.16654077029701142
test,12,level_ge_7m,2,-0.05686533866592791,0.16654077029701142
