nominal_lead_h,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,reference,all,1944,1598,346,0.8220164609053497,1558,0.9749687108886108,0.13958943654265818,0.005443638023469532,0.3408654975156921,0.5182402046492646,1.3540766916208895
1,julho_levels,all,1944,1598,346,0.8220164609053497,1555,0.9730913642052565,0.14224414044913614,0.008000922234269665,0.34652367687248997,0.5286144759705355,1.3363363795546643
1,reference,level_ge_7m,237,165,72,0.6962025316455697,150,0.9090909090909091,0.25781034306426015,0.11433106483424864,0.4942725849965178,0.9532974899308335,1.3540766916208895
1,julho_levels,level_ge_7m,237,165,72,0.6962025316455697,148,0.896969696969697,0.2570104343258989,0.11647288293556539,0.4988030988917167,0.9174285435820263,1.3363363795546643
2,reference,all,1943,1593,350,0.8198661863098302,1415,0.8882611424984307,0.2136155050534898,0.006615132860178199,0.5222618164078894,0.8204088222943834,2.1591250166535616
2,julho_levels,all,1943,1593,350,0.8198661863098302,1402,0.8801004394224733,0.2195327420827839,0.014455373008929713,0.5378756057381727,0.8192964515703691,2.1256756873033744
2,reference,level_ge_7m,237,165,72,0.6962025316455697,110,0.6666666666666666,0.43157352319345743,0.18154880491751574,0.8436872876737073,1.1252585835611821,2.1591250166535616
2,julho_levels,level_ge_7m,237,165,72,0.6962025316455697,107,0.6484848484848484,0.42196750318068904,0.18853915139535876,0.8201375201288759,1.0851016582121904,2.1256756873033744
3,reference,all,1942,1588,354,0.8177136972193615,1338,0.8425692695214105,0.2643226665726991,0.00521987894927527,0.6272469478203114,1.0289137625910358,2.8988829116145745
3,julho_levels,all,1942,1588,354,0.8177136972193615,1324,0.8337531486146096,0.273909037173632,0.020593804663548387,0.6413708723336979,1.060920604291293,2.769956886268055
3,reference,level_ge_7m,237,165,72,0.6962025316455697,85,0.5151515151515151,0.5887965727183111,0.2329116853026853,1.141903263655593,2.0033458971116787,2.8988829116145745
3,julho_levels,level_ge_7m,237,165,72,0.6962025316455697,89,0.5393939393939394,0.5725163021086075,0.2461530433390465,1.114328314592058,1.6859820280557722,2.769956886268055
4,reference,all,1941,1586,355,0.8171045852653271,1299,0.8190416141235813,0.2997108428354451,0.0020368697460139873,0.6776545339165654,1.2689720654344006,3.329018638853949
4,julho_levels,all,1941,1586,355,0.8171045852653271,1261,0.7950819672131147,0.31433252411063123,0.02594402915981252,0.6994134452688889,1.2996034862042671,3.146640556692857
4,reference,level_ge_7m,237,167,70,0.7046413502109705,70,0.41916167664670656,0.7250913052546762,0.26907385888987906,1.4070382273220112,2.598737278736399,3.329018638853949
4,julho_levels,level_ge_7m,237,167,70,0.7046413502109705,73,0.437125748502994,0.7037169086431431,0.2872736733014611,1.402086032085672,2.1032781357924724,3.146640556692857
5,reference,all,1940,1584,356,0.8164948453608247,1272,0.803030303030303,0.332848168355273,-0.0033702687850875506,0.7116810582665135,1.493061197466145,4.023604409822896
5,julho_levels,all,1940,1584,356,0.8164948453608247,1218,0.7689393939393939,0.35052980471962164,0.031054690342749658,0.7332566070066269,1.4527656126669366,3.210054029360098
5,reference,level_ge_7m,237,169,68,0.7130801687763713,65,0.38461538461538464,0.8561311065265753,0.2832653368161077,1.6136849100168589,3.1978320405738665,4.023604409822896
5,julho_levels,level_ge_7m,237,169,68,0.7130801687763713,67,0.39644970414201186,0.8299118176905687,0.3131913170876587,1.6173429992445354,2.779076028619966,3.210054029360098
6,reference,all,1939,1582,357,0.8158844765342961,1216,0.7686472819216182,0.37020064306390554,-0.0036566120755571066,0.765260542065264,1.672902137535625,4.815243764623784
6,julho_levels,all,1939,1582,357,0.8158844765342961,1162,0.7345132743362832,0.38545658069306316,0.04116262908759419,0.7535191490911083,1.625747144105583,4.190778631942209
6,reference,level_ge_7m,237,171,66,0.7215189873417721,60,0.3508771929824561,0.9802971684524857,0.3399708617489184,1.808945754073699,3.428776864685068,4.815243764623784
6,julho_levels,level_ge_7m,237,171,66,0.7215189873417721,53,0.30994152046783624,0.9498512970757323,0.3688832583158337,1.8663979257114232,3.1441104479339694,4.190778631942209
7,reference,all,1938,1580,358,0.8152734778121775,1151,0.7284810126582278,0.4137097627211811,-0.00833577798623905,0.8543393064419558,1.8018420747256993,5.691324727293669
7,julho_levels,all,1938,1580,358,0.8152734778121775,1117,0.7069620253164557,0.4211879188893131,0.049832568996601455,0.8059194181344923,1.7920149030681247,4.913469515100857
7,reference,level_ge_7m,237,173,64,0.729957805907173,50,0.28901734104046245,1.0892278335709922,0.3484349005015017,1.9462501055923125,3.7297325399023697,5.691324727293669
7,julho_levels,level_ge_7m,237,173,64,0.729957805907173,50,0.28901734104046245,1.0463304057482783,0.3899823635551765,2.0109638556875287,3.369317058678422,4.913469515100857
8,reference,all,1937,1578,359,0.8146618482188952,1081,0.6850443599493029,0.4617678390617442,-0.013569091514613097,0.9864052726376548,1.9483188498938626,6.120423180923719
8,julho_levels,all,1937,1578,359,0.8146618482188952,1056,0.6692015209125475,0.4552296748223529,0.05850224453067287,0.8876011957975818,1.9004055973533378,5.290344913970436
8,reference,level_ge_7m,237,175,62,0.7383966244725738,50,0.2857142857142857,1.1884724549954502,0.3421668607749975,2.079734454265917,4.523635873272051,6.120423180923719
8,julho_levels,level_ge_7m,237,175,62,0.7383966244725738,47,0.26857142857142857,1.139893471040135,0.3926896854875049,2.1515737574715232,4.1478437742153025,5.290344913970436
9,reference,all,1936,1576,360,0.8140495867768595,984,0.6243654822335025,0.5203370686074078,-0.024915548150362708,1.096826709139686,2.06527614011007,7.366754135676329
9,julho_levels,all,1936,1576,360,0.8140495867768595,1029,0.6529187817258884,0.4931818051477858,0.06190990548383258,0.962293130761722,2.0043694184785332,6.286673602768847
9,reference,level_ge_7m,237,177,60,0.7468354430379747,46,0.2598870056497175,1.325842227872721,0.2717051275531588,2.5830956589136234,5.662499244394567,7.366754135676329
9,julho_levels,level_ge_7m,237,177,60,0.7468354430379747,47,0.2655367231638418,1.2696741205923194,0.33450185747639744,2.5215654645404375,4.967987201868648,6.286673602768847
10,reference,all,1935,1574,361,0.81343669250646,909,0.5775095298602287,0.579258314723319,-0.033796590564892086,1.213561571238667,2.1947255033576303,8.405707625670848
10,julho_levels,all,1935,1574,361,0.81343669250646,997,0.633418043202033,0.5267835613692412,0.06737922980251464,1.033149700642978,2.144737900646377,7.189303791286582
10,reference,level_ge_7m,237,179,58,0.7552742616033755,44,0.24581005586592178,1.4425393296473479,0.22467670087936945,2.843454721002257,6.007418270842111,8.405707625670848
10,julho_levels,level_ge_7m,237,179,58,0.7552742616033755,45,0.25139664804469275,1.3824701013285923,0.29469481461248637,2.7024183896099414,5.536877109023692,7.189303791286582
11,reference,all,1934,1572,362,0.81282316442606,836,0.5318066157760815,0.6414089718579581,-0.04380553613993585,1.2557788868171442,2.327405774122259,9.391440266156348
11,julho_levels,all,1934,1572,362,0.81282316442606,978,0.6221374045801527,0.5595360041353362,0.07175442974488018,1.0696204809612828,2.305101718503349,8.086268435347241
11,reference,level_ge_7m,237,181,56,0.7637130801687764,39,0.2154696132596685,1.5865961063602418,0.16760523472226604,3.0403952590064183,6.297295600438601,9.391440266156348
