station,field,records,modal_cadence_seconds,numeric,empty,nonempty_nonnumeric,approved_numeric,suspect_numeric,numeric_without_qc,parser_compatible,negative,first_approved,last_approved
86447000,ChuvaFinal,91,3600,79,12,0,79,0,0,79,0,2020-06-28 15:00:00,2020-07-16 07:00:00
86447000,ChuvaAcumAdotada,91,3600,0,91,0,0,0,0,0,0,,
86448000,NivelFinal,397,3600,51,346,0,51,0,0,51,0,2020-06-30 14:00:00,2020-07-03 10:00:00
86448000,VazaoFinal,397,3600,0,397,0,0,0,0,0,0,,
86448000,ChuvaFinal,397,3600,390,7,0,389,0,0,389,1,2020-07-01 15:00:00,2020-07-20 22:00:00
86448000,ChuvaAcumAdotada,397,3600,0,397,0,0,0,0,0,0,,
86450000,NivelFinal,164,3600,159,5,0,159,0,0,159,0,2020-06-28 10:00:00,2020-07-20 19:00:00
86450000,VazaoFinal,164,3600,160,4,0,160,0,0,160,0,2020-06-28 10:00:00,2020-07-20 19:00:00
86450000,ChuvaFinal,164,3600,150,14,0,150,0,0,150,0,2020-06-28 11:00:00,2020-07-20 19:00:00
86450000,ChuvaAcumAdotada,164,3600,0,164,0,0,0,0,0,0,,
86471000,NivelFinal,534,3600,524,10,0,524,0,0,524,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86471000,VazaoFinal,534,3600,525,9,0,525,0,0,525,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86471000,ChuvaFinal,534,3600,480,54,0,474,0,0,474,6,2020-06-28 00:00:00,2020-07-20 23:00:00
86471000,ChuvaAcumAdotada,534,3600,0,534,0,0,0,0,0,0,,
86472000,NivelFinal,2208,900,2200,8,0,2137,63,0,2137,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86472000,VazaoFinal,2208,900,2200,8,0,2137,63,0,2137,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86472000,ChuvaFinal,2208,900,2208,0,0,2208,0,0,2208,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86472000,ChuvaAcumAdotada,2208,900,2208,0,0,2208,0,0,2208,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86472600,NivelFinal,0,,0,0,0,0,0,0,0,0,,
86472600,VazaoFinal,0,,0,0,0,0,0,0,0,0,,
86472600,ChuvaFinal,0,,0,0,0,0,0,0,0,0,,
86472600,ChuvaAcumAdotada,0,,0,0,0,0,0,0,0,0,,
86479000,NivelFinal,549,3600,549,0,0,549,0,0,549,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86479000,VazaoFinal,549,3600,483,66,0,483,0,0,483,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86479000,ChuvaFinal,549,3600,549,0,0,549,0,0,549,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86479000,ChuvaAcumAdotada,549,3600,0,549,0,0,0,0,0,0,,
86488000,NivelFinal,550,3600,550,0,0,550,0,0,550,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86488000,VazaoFinal,550,3600,512,38,0,512,0,0,512,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86488000,ChuvaFinal,550,3600,550,0,0,550,0,0,550,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86488000,ChuvaAcumAdotada,550,3600,0,550,0,0,0,0,0,0,,
86493000,NivelFinal,547,3600,540,7,0,540,0,0,540,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86493000,VazaoFinal,547,3600,0,547,0,0,0,0,0,0,,
