column,rows,changed,availability_changes,max_finite_difference
0,12912,0,0,0.0
1,12912,0,0,0.0
2,12912,0,0,0.0
3,12912,0,0,0.0
4,12912,0,0,0.0
5,12912,0,0,0.0
6,12912,0,0,0.0
7,12912,0,0,0.0
8,12912,0,0,0.0
9,12912,0,0,0.0
10,12912,0,0,0.0
11,12912,0,0,0.0
12,12912,0,0,0.0
13,12912,0,0,0.0
14,12912,0,0,0.0
15,12912,0,0,0.0
16,12912,0,0,0.0
17,12912,0,0,0.0
18,12912,0,0,0.0
19,12912,0,0,0.0
20,12912,0,0,0.0
21,12912,0,0,0.0
22,12912,0,0,0.0
23,12912,0,0,0.0
24,12912,0,0,0.0
25,12912,0,0,0.0
26,12912,0,0,0.0
27,12912,0,0,0.0
28,12912,0,0,0.0
29,12912,0,0,0.0
30,12912,0,0,0.0
31,12912,0,0,0.0
32,12912,0,0,0.0
33,12912,0,0,0.0
34,12912,0,0,0.0
35,12912,0,0,0.0
36,12912,0,0,0.0
37,12912,0,0,0.0
38,12912,0,0,0.0
39,12912,0,0,0.0
40,12912,0,0,0.0
41,12912,0,0,0.0
42,12912,0,0,0.0
43,12912,0,0,0.0
44,12912,0,0,0.0
45,12912,1094,1,4.670520231213883
46,12912,17,0,0.11560693641618502
47,12912,1268,0,4.670520231213883
48,12912,37,0,0.038535645472061786
49,12912,1403,0,4.670520231213883
50,12912,52,0,0.019267822736031004
51,12912,1519,0,4.670520231213884
52,12912,76,0,0.009633911368015502
53,12912,1588,0,4.670520231213885
54,12912,112,0,0.004816955684007862
55,12912,1655,0,4.670520231213885
56,12912,156,0,0.002408477842003931
57,12912,1267,0,4.670520231213883
58,12912,1267,0,4.670520231213883
59,12912,1266,0,4.670520231213883
60,12912,1303,0,0.4936037441497696
61,12912,7,0,0.02184087363494558
62,12912,1497,0,0.5329173166926751
63,12912,17,0,0.007280291211648526
64,12912,1671,0,0.5329173166926697
65,12912,24,0,0.003640145605824374
66,12912,1817,0,0.5329173166926697
67,12912,30,0,0.0018200728029122981
68,12912,1925,0,0.5329173166926751
69,12912,42,0,0.0009100364014561491
70,12912,2031,0,0.5329173166926715
71,12912,66,0,0.00045501820072813004
72,12912,1497,0,0.5329173166926751
73,12912,1497,0,0.5329173166926751
74,12912,1496,0,0.5329173166926751
75,12912,2406,2,15.32133972992182
76,12912,70,0,0.4625977256574271
77,12912,2911,1,15.581023454157783
78,12912,198,0,0.15529495380241665
79,12912,3134,1,15.581023454157783
80,12912,359,0,0.0776474769012081
81,12912,3189,0,15.581023454157783
82,12912,654,0,0.03882373845060405
83,12912,3576,0,15.581023454157783
84,12912,1141,0,0.019411869225302025
85,12912,3860,1,15.581023454157785
86,12912,1826,0,0.005597014925373234
87,12912,2911,1,15.581023454157783
88,12912,2909,1,15.581023454157783
89,12912,2903,1,15.581023454157783
90,12912,3935,0,16.05810575246952
91,12912,1325,0,0.31260894828588026
92,12912,4300,1,16.072953709083897
93,12912,1748,0,0.10420298276196016
94,12912,4522,1,16.88092581832268
95,12912,2030,0,0.06846794499322106
96,12912,4855,1,17.079604880883196
97,12912,2696,0,0.04411195041642446
98,12912,5382,0,20.7498392407515
99,12912,3057,0,0.022055975208212564
100,12912,5857,0,20.89157466589188
101,12912,3941,0,0.011027987604106282
102,12912,4297,1,16.072953709083897
103,12912,4294,1,16.072953709083897
104,12912,4288,1,16.072953709083897
105,12912,2358,0,6.874316939890689
106,12912,82,0,0.23224043715846998
107,12912,2617,1,7.296174863387986
108,12912,205,0,0.12659380692167577
109,12912,2894,0,7.697267759562835
110,12912,304,0,0.06329690346083794
111,12912,3179,0,7.697267759562836
112,12912,426,0,0.03164845173041897
113,12912,3363,1,7.697267759562838
114,12912,483,0,0.015824225865209485
115,12912,3604,1,7.697267759562838
116,12912,543,0,0.007912112932604742
117,12912,2614,1,7.296174863387986
118,12912,2611,1,7.296174863387986
119,12912,2605,1,7.296174863387986
120,12912,0,0,0.0
121,12912,0,0,0.0
122,12912,0,0,0.0
123,12912,0,0,0.0
124,12912,0,0,0.0
125,12912,0,0,0.0
126,12912,0,0,0.0
127,12912,0,0,0.0
128,12912,0,0,0.0
129,12912,0,0,0.0
130,12912,0,0,0.0
131,12912,0,0,0.0
132,12912,0,0,0.0
133,12912,0,0,0.0
134,12912,0,0,0.0
135,12912,0,0,0.0
136,12912,0,0,0.0
137,12912,0,0,0.0
138,12912,0,0,0.0
139,12912,0,0,0.0
140,12912,0,0,0.0
141,12912,0,0,0.0
142,12912,0,0,0.0
143,12912,0,0,0.0
144,12912,0,0,0.0
145,12912,0,0,0.0
146,12912,0,0,0.0
147,12912,0,0,0.0
148,12912,0,0,0.0
149,12912,0,0,0.0
150,12912,0,0,0.0
151,12912,0,0,0.0
152,12912,0,0,0.0
153,12912,0,0,0.0
154,12912,0,0,0.0
155,12912,0,0,0.0
156,12912,0,0,0.0
157,12912,0,0,0.0
158,12912,0,0,0.0
159,12912,0,0,0.0
160,12912,0,0,0.0
161,12912,0,0,0.0
162,12912,0,0,0.0
163,12912,0,0,0.0
164,12912,0,0,0.0
165,12912,0,0,0.0
166,12912,0,0,0.0
167,12912,0,0,0.0
168,12912,0,0,0.0
169,12912,0,0,0.0
170,12912,0,0,0.0
171,12912,0,0,0.0
172,12912,0,0,0.0
173,12912,0,0,0.0
174,12912,0,0,0.0
175,12912,0,0,0.0
176,12912,0,0,0.0
177,12912,0,0,0.0
178,12912,0,0,0.0
179,12912,0,0,0.0
