window,station,day,records,approved_level,approved_rain
2018-08-27,86060010,2018-08-27,0,0,0
2018-08-27,86060010,2018-08-28,0,0,0
2018-08-27,86060010,2018-08-29,0,0,0
2018-08-27,86060010,2018-08-30,0,0,0
2018-08-27,86060010,2018-08-31,0,0,0
2018-08-27,86060010,2018-09-01,0,0,0
2018-08-27,86060010,2018-09-02,0,0,0
2018-08-27,86060010,2018-09-03,0,0,0
2018-08-27,86060010,2018-09-04,0,0,0
2018-08-27,86060010,2018-09-05,0,0,0
2018-08-27,86099000,2018-08-27,24,24,24
2018-08-27,86099000,2018-08-28,24,24,24
2018-08-27,86099000,2018-08-29,24,24,24
2018-08-27,86099000,2018-08-30,24,24,24
2018-08-27,86099000,2018-08-31,24,24,24
2018-08-27,86099000,2018-09-01,24,24,24
2018-08-27,86099000,2018-09-02,24,24,24
2018-08-27,86099000,2018-09-03,24,24,24
2018-08-27,86099000,2018-09-04,24,24,24
2018-08-27,86099000,2018-09-05,24,24,24
2018-08-27,86102000,2018-08-27,24,24,24
2018-08-27,86102000,2018-08-28,24,24,24
2018-08-27,86102000,2018-08-29,24,24,24
2018-08-27,86102000,2018-08-30,24,24,24
2018-08-27,86102000,2018-08-31,24,24,24
2018-08-27,86102000,2018-09-01,24,24,24
2018-08-27,86102000,2018-09-02,24,24,24
2018-08-27,86102000,2018-09-03,24,24,24
2018-08-27,86102000,2018-09-04,24,24,24
2018-08-27,86102000,2018-09-05,24,24,24
2018-08-27,86117000,2018-08-27,21,21,21
2018-08-27,86117000,2018-08-28,21,21,21
2018-08-27,86117000,2018-08-29,19,19,19
2018-08-27,86117000,2018-08-30,20,20,20
2018-08-27,86117000,2018-08-31,24,24,24
2018-08-27,86117000,2018-09-01,24,24,24
2018-08-27,86117000,2018-09-02,24,24,24
2018-08-27,86117000,2018-09-03,24,24,24
2018-08-27,86117000,2018-09-04,24,24,24
2018-08-27,86117000,2018-09-05,24,24,24
2018-08-27,86125000,2018-08-27,0,0,0
2018-08-27,86125000,2018-08-28,0,0,0
2018-08-27,86125000,2018-08-29,0,0,0
2018-08-27,86125000,2018-08-30,0,0,0
2018-08-27,86125000,2018-08-31,0,0,0
2018-08-27,86125000,2018-09-01,0,0,0
2018-08-27,86125000,2018-09-02,0,0,0
2018-08-27,86125000,2018-09-03,0,0,0
2018-08-27,86125000,2018-09-04,0,0,0
2018-08-27,86125000,2018-09-05,0,0,0
2018-08-27,86125050,2018-08-27,0,0,0
2018-08-27,86125050,2018-08-28,0,0,0
2018-08-27,86125050,2018-08-29,0,0,0
2018-08-27,86125050,2018-08-30,0,0,0
2018-08-27,86125050,2018-08-31,0,0,0
2018-08-27,86125050,2018-09-01,0,0,0
2018-08-27,86125050,2018-09-02,0,0,0
2018-08-27,86125050,2018-09-03,0,0,0
2018-08-27,86125050,2018-09-04,0,0,0
2018-08-27,86125050,2018-09-05,0,0,0
2018-08-27,86160000,2018-08-27,0,0,0
2018-08-27,86160000,2018-08-28,0,0,0
2018-08-27,86160000,2018-08-29,0,0,0
2018-08-27,86160000,2018-08-30,0,0,0
2018-08-27,86160000,2018-08-31,0,0,0
2018-08-27,86160000,2018-09-01,0,0,0
2018-08-27,86160000,2018-09-02,0,0,0
2018-08-27,86160000,2018-09-03,0,0,0
