window,station,field,field_absent,empty,finite,finite_approved,finite_other_qc,nonempty_nonfinite,negative,zero_reported,qc_json
2018-08-27,86060010,NivelFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86060010,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86060010,VazaoFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86060010,NivelSensor,0,0,0,0,0,0,0,0,{}
2018-08-27,86060010,NivelDisplay,0,0,0,0,0,0,0,0,{}
2018-08-27,86060010,NivelManual,0,0,0,0,0,0,0,0,{}
2018-08-27,86060010,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2018-08-27,86099000,NivelFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2018-08-27,86099000,ChuvaFinal,0,0,240,240,0,0,0,175,"{""Dado aprovado"": 240}"
2018-08-27,86099000,VazaoFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2018-08-27,86099000,NivelSensor,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2018-08-27,86099000,NivelDisplay,0,240,0,0,0,0,0,0,"{""null"": 240}"
2018-08-27,86099000,NivelManual,0,240,0,0,0,0,0,0,"{""null"": 240}"
2018-08-27,86099000,ChuvaAcumAdotada,0,240,0,0,0,0,0,0,"{""null"": 240}"
2018-08-27,86102000,NivelFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2018-08-27,86102000,ChuvaFinal,0,0,240,240,0,0,0,176,"{""Dado aprovado"": 240}"
2018-08-27,86102000,VazaoFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2018-08-27,86102000,NivelSensor,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2018-08-27,86102000,NivelDisplay,0,240,0,0,0,0,0,0,"{""null"": 240}"
2018-08-27,86102000,NivelManual,0,240,0,0,0,0,0,0,"{""null"": 240}"
2018-08-27,86102000,ChuvaAcumAdotada,0,240,0,0,0,0,0,0,"{""null"": 240}"
2018-08-27,86117000,NivelFinal,0,0,225,225,0,0,0,0,"{""Dado aprovado"": 225}"
2018-08-27,86117000,ChuvaFinal,0,0,225,225,0,0,0,180,"{""Dado aprovado"": 225}"
2018-08-27,86117000,VazaoFinal,0,225,0,0,0,0,0,0,"{""null"": 225}"
2018-08-27,86117000,NivelSensor,0,0,225,225,0,0,0,0,"{""Dado aprovado"": 225}"
2018-08-27,86117000,NivelDisplay,0,225,0,0,0,0,0,0,"{""null"": 225}"
2018-08-27,86117000,NivelManual,0,225,0,0,0,0,0,0,"{""null"": 225}"
2018-08-27,86117000,ChuvaAcumAdotada,0,225,0,0,0,0,0,0,"{""null"": 225}"
2018-08-27,86125000,NivelFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86125000,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86125000,VazaoFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86125000,NivelSensor,0,0,0,0,0,0,0,0,{}
2018-08-27,86125000,NivelDisplay,0,0,0,0,0,0,0,0,{}
2018-08-27,86125000,NivelManual,0,0,0,0,0,0,0,0,{}
2018-08-27,86125000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2018-08-27,86125050,NivelFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86125050,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86125050,VazaoFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86125050,NivelSensor,0,0,0,0,0,0,0,0,{}
2018-08-27,86125050,NivelDisplay,0,0,0,0,0,0,0,0,{}
2018-08-27,86125050,NivelManual,0,0,0,0,0,0,0,0,{}
2018-08-27,86125050,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2018-08-27,86160000,NivelFinal,0,0,0,0,0,0,0,0,{}
2018-08-27,86160000,ChuvaFinal,0,0,0,0,0,0,0,0,{}
