phase,subset,family,n,mae_m3_s,bias_m3_s,p90_abs_m3_s,p98_abs_m3_s,max_abs_m3_s,rmse_m3_s
validation,all,reference,78558,70.5002082905167,-12.151373156915781,159.05237067789648,307.2797428679174,2098.404385763727,114.0729972318786
validation,all,conditional,78558,70.5002082905167,-12.151373156915781,159.05237067789648,307.2797428679174,2098.404385763727,114.0729972318786
validation,high_flow,reference,336,266.5798719361216,30.75296359245937,619.4000640392683,924.1755043358241,1100.0738539926647,361.09313705245717
validation,high_flow,conditional,336,266.5798719361216,30.75296359245937,619.4000640392683,924.1755043358241,1100.0738539926647,361.09313705245717
test,all,reference,23550,142.356313704207,26.198120808170312,271.83997436844925,570.412422899485,8160.6119795777795,387.1817904266572
test,all,conditional,23550,125.36552404847558,25.288422412824108,269.4034994193844,502.77949799760654,4286.18407611883,242.4546347935281
test,high_flow,reference,3252,396.0328310665349,-96.41072164731453,783.6299205567577,3437.497294813419,8160.6119795777795,978.6571629935778
test,high_flow,conditional,3252,272.9906735042731,-102.9984821671187,586.3842108565301,1980.7298746754152,4286.18407611883,545.7715868876459
