phase,subset,family,fallback_selected,n,mae_m3_s,bias_m3_s,p90_abs_m3_s,p98_abs_m3_s,max_abs_m3_s,rmse_m3_s
validation,all,reference,False,78558,70.5002082905167,-12.151373156915781,159.05237067789648,307.2797428679174,2098.404385763727,114.0729972318786
validation,all,reference,True,0,,,,,,
validation,all,conditional,False,78558,70.5002082905167,-12.151373156915781,159.05237067789648,307.2797428679174,2098.404385763727,114.0729972318786
validation,all,conditional,True,0,,,,,,
validation,high_flow,reference,False,336,266.5798719361216,30.75296359245937,619.4000640392683,924.1755043358241,1100.0738539926647,361.09313705245717
validation,high_flow,reference,True,0,,,,,,
validation,high_flow,conditional,False,336,266.5798719361216,30.75296359245937,619.4000640392683,924.1755043358241,1100.0738539926647,361.09313705245717
validation,high_flow,conditional,True,0,,,,,,
test,all,reference,False,23442,124.92415416537034,25.05886760728226,268.9241491562139,497.1916226389128,4286.18407611883,242.12396035502704
test,all,reference,True,108,3926.103386939476,273.47935724537194,7063.861464706125,7612.7282096256295,8160.6119795777795,4468.10741291148
test,all,conditional,False,23442,124.92415416537034,25.05886760728226,268.9241491562139,497.1916226389128,4286.18407611883,242.12396035502704
test,all,conditional,True,108,221.1673092313714,75.1145682601578,569.0716328319016,730.60599643478,962.199526773049,305.8835478332591
test,high_flow,reference,False,3144,274.7708654067774,-109.1168693955366,586.9421068114948,1992.029851029444,4286.18407611883,552.1635885974604
test,high_flow,reference,True,108,3926.103386939476,273.47935724537194,7063.861464706125,7612.7282096256295,8160.6119795777795,4468.10741291148
test,high_flow,conditional,False,3144,274.7708654067774,-109.1168693955366,586.9421068114948,1992.029851029444,4286.18407611883,552.1635885974604
test,high_flow,conditional,True,108,221.1673092313714,75.1145682601578,569.0716328319016,730.60599643478,962.199526773049,305.8835478332591
