tau_h,origin,horizon_h,independent_correction_m3_s,reference_q_m3_s,reference_m,julho_levels_q_m3_s,julho_levels_m,expected_status
6,2026-07-01T00:00:00-03:00,1,177.8751253910893,866.5526735057841,4.504678330730438,865.9325753547124,4.502797969511366,paired
6,2026-07-01T00:00:00-03:00,2,150.56804295618358,839.5387182332832,4.422287788121083,838.3750944636563,4.418716677172804,paired
6,2026-07-01T00:00:00-03:00,3,127.45309671495434,815.9225299379599,4.349442571002229,814.3741392979044,4.344639072789666,paired
6,2026-07-01T00:00:00-03:00,4,107.8867171499248,787.3915371735601,4.260374420216569,785.4913723488385,4.254399881752282,paired
6,2026-07-01T00:00:00-03:00,5,91.32413442585414,760.182654977372,4.174299662828147,758.0968712890941,4.167654069129797,paired
6,2026-07-01T00:00:00-03:00,6,77.30421083293932,735.418517229197,4.0949495300363,733.5893663642116,4.0890490921462375,paired
6,2026-07-01T00:00:00-03:00,7,65.43660172717418,715.734521450211,4.031160588367549,714.6311795178337,4.027565711177895,paired
6,2026-07-01T00:00:00-03:00,8,55.390887500998524,701.9102162301966,3.9859671965953227,701.9284331724047,3.9860269684322285,paired
6,2026-07-01T00:00:00-03:00,9,46.887373995067186,698.1834948019091,3.973727148149462,699.8948465402545,3.979350946779758,paired
6,2026-07-01T00:00:00-03:00,10,39.6893052149358,701.1227256774927,3.98338279537207,705.2443770378003,3.9968972889388352,paired
6,2026-07-01T00:00:00-03:00,11,33.5962715380489,708.9321524287046,4.008964072257226,716.1899431383113,4.0326438246108856,paired
6,2026-07-01T00:00:00-03:00,12,28.43862988142108,719.9816334062737,4.044979065523392,731.3004542213853,4.081657792061528,paired
6,2026-07-01T01:00:00-03:00,1,174.60717174033627,863.9904343909091,4.496905429227431,862.6711561742318,4.492899849715642,paired
6,2026-07-01T01:00:00-03:00,2,147.80177991303157,837.1783221521925,4.415041896323031,833.9145363426226,4.405010171593184,paired
6,2026-07-01T01:00:00-03:00,3,125.11150560268587,805.679981289139,4.317603748717189,800.344872383533,4.300959566811977,paired
6,2026-07-01T01:00:00-03:00,4,105.90460306622326,774.3730865088232,4.219332311886741,766.9658458529452,4.195864744818283,paired
6,2026-07-01T01:00:00-03:00,5,89.64631107735248,746.1590977942545,4.1294859608515795,736.7358134194247,4.099195430807854,paired
6,2026-07-01T01:00:00-03:00,6,75.88396403083789,724.2908383133106,4.058968378871858,713.1502079964013,4.022737180121145,paired
6,2026-07-01T01:00:00-03:00,7,64.23438876436097,707.7219148746003,4.005006648825121,695.3299670510917,3.964338457113983,paired
6,2026-07-01T01:00:00-03:00,8,54.37323619855055,699.6645600482719,3.978594485785501,686.4817747371309,3.9351338373403495,paired
6,2026-07-01T01:00:00-03:00,9,46.025950765233844,697.452731797554,3.9713241602941673,684.1652102840862,3.927464452301039,paired
6,2026-07-01T01:00:00-03:00,10,38.96012619348563,698.8427394154843,3.9758941514273145,686.3273710688559,3.9346229594798645,paired
6,2026-07-01T01:00:00-03:00,11,32.97903482221771,702.8713099766023,3.9891198599425985,691.904393184938,3.953048520799144,paired
6,2026-07-01T01:00:00-03:00,12,27.916150281538478,708.5366482790312,4.007671069871599,699.9085484386699,3.979395952782478,paired
6,2026-07-01T02:00:00-03:00,1,161.47295157276142,849.3297263957762,4.4560707890838,847.424366138207,4.450247741833785,paired
6,2026-07-01T02:00:00-03:00,2,136.6839025704897,815.1332651802675,4.350802437327598,810.4760203825394,4.336338879698509,paired
6,2026-07-01T02:00:00-03:00,3,115.70042561264877,781.3061409831346,4.245029385839828,773.9778992047434,4.221890350306136,paired
6,2026-07-01T02:00:00-03:00,4,97.93829584317311,750.5201931589303,4.147263782803959,740.5335035368223,4.115228162034477,paired
6,2026-07-01T02:00:00-03:00,5,82.90297759817642,725.5846978233767,4.066970580396715,713.0085042389132,4.026082912291805,paired
6,2026-07-01T02:00:00-03:00,6,70.17585547587232,706.4859896304972,4.0047705463400405,691.6791793900275,3.95611346996834,paired
6,2026-07-01T02:00:00-03:00,7,59.402579188890854,696.2105236962136,3.9710451442358607,679.7149325283881,3.9165116134546913,paired
6,2026-07-01T02:00:00-03:00,8,50.283197694763615,691.402550415197,3.9552007372813733,673.7958638988773,3.896822866049652,paired
6,2026-07-01T02:00:00-03:00,9,42.56380791767925,690.6922338731378,3.952856432503676,672.9813491106969,3.894108459947649,paired
6,2026-07-01T02:00:00-03:00,10,36.029485544069914,692.8034485693682,3.959821570253089,676.1048104281941,3.9045108547346956,paired
6,2026-07-01T02:00:00-03:00,11,30.498301070265747,696.8196005148426,3.9730493916789484,682.0974165919569,3.924418377486111,paired
6,2026-07-01T02:00:00-03:00,12,25.816254496191814,704.63260238766,3.9987011513658572,692.8635046614476,3.960019585678353,paired
6,2026-07-01T03:00:00-03:00,1,138.3531646275095,815.4182490064957,4.359331867440946,813.9681651508886,4.354832399922361,paired
6,2026-07-01T03:00:00-03:00,2,117.11342543796934,780.6017781962613,4.250454283957747,776.9457123709946,4.238916507492568,paired
6,2026-07-01T03:00:00-03:00,3,99.13437437258061,748.6152635077713,4.148810869982598,742.9170074753105,4.130534068980945,paired
6,2026-07-01T03:00:00-03:00,4,83.91543621485393,722.4857068507146,4.064565372537142,714.8567087549468,4.039754020734597,paired
6,2026-07-01T03:00:00-03:00,5,71.03288319209784,701.0737880122051,3.994675482503946,691.7457101491333,3.9639783569683393,paired
6,2026-07-01T03:00:00-03:00,6,60.128037488400494,687.7544701412077,3.9507965130526363,677.0838163038679,3.9154130223496493,paired
6,2026-07-01T03:00:00-03:00,7,50.897284887468764,679.4099783748231,3.9231442012315503,667.896086698038,3.884779060910632,paired
6,2026-07-01T03:00:00-03:00,8,43.08362150379354,674.4256308393072,3.9065661391715194,662.5070323653354,3.866737246163839,paired
6,2026-07-01T03:00:00-03:00,9,36.4694982450655,672.2147366668976,3.8991979556914655,660.7480443302616,3.860836499810934,paired
6,2026-07-01T03:00:00-03:00,10,30.870763780378272,672.0792847472457,3.898746243916004,661.9521244723979,3.8648763726629616,paired
6,2026-07-01T03:00:00-03:00,11,26.131537373505296,676.5745771454788,3.913719199272074,668.510729615218,3.886833328478244,paired
6,2026-07-01T03:00:00-03:00,12,22.11986882996831,684.6572871436881,3.940547698109067,679.184219939423,3.9223943108646635,paired
6,2026-07-01T04:00:00-03:00,1,126.44798464525327,781.0380887368036,4.258487658164249,780.6874552659706,4.257382243517123,paired
6,2026-07-01T04:00:00-03:00,2,107.03590815145589,744.0084592493185,4.1406967135203505,744.4492480705478,4.142111608311966,paired
6,2026-07-01T04:00:00-03:00,3,90.60394015727772,713.1426895820329,4.040823809110664,715.4496420051202,4.048343752792773,paired
