source,lead_h,variant,phase,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,2,QI_missing,test,all,1966,98.626591198028,-0.022155614140739032,271.2656161090732
julho,2,QI_missing,test,high_flow,271,170.9971498216038,-54.16159123275096,390.0798498273335
julho,3,original,validation,all,6549,62.258473961999805,9.431748995031851,153.3111545784509
julho,3,original,validation,high_flow,28,196.33987732450512,-50.690097039080094,361.9354173233189
julho,3,original,test,all,1965,137.4355404298288,0.10826204036310705,293.7639553348943
julho,3,original,test,high_flow,271,327.1096898861756,-69.41800965759751,503.930195517496
julho,3,Q_missing,validation,all,6549,62.258473961999805,9.431748995031851,153.3111545784509
julho,3,Q_missing,validation,high_flow,28,196.33987732450512,-50.690097039080094,361.9354173233189
julho,3,Q_missing,test,all,1965,123.62208358490462,-0.562550480246191,293.20042704545125
julho,3,Q_missing,test,high_flow,271,226.9493847191055,-74.2820192627535,499.214611209478
julho,3,QI_missing,validation,all,6549,62.258473961999805,9.431748995031851,153.3111545784509
julho,3,QI_missing,validation,high_flow,28,196.33987732450512,-50.690097039080094,361.9354173233189
julho,3,QI_missing,test,all,1965,120.62899380733822,-0.9445445588712659,291.31942670729575
julho,3,QI_missing,test,high_flow,271,205.24672267881786,-77.05182872584676,446.18706191280387
julho,4,original,validation,all,6548,72.54406281796274,10.785714175781152,178.9509505942402
julho,4,original,validation,high_flow,28,187.17176800525593,-45.14931161572482,393.6792255460551
julho,4,original,test,all,1964,157.13028339741757,-1.3534284160327592,302.8101859990651
julho,4,original,test,high_flow,271,371.3305699661136,-96.33018657736193,581.0472187539508
julho,4,Q_missing,validation,all,6548,72.54406281796274,10.785714175781152,178.9509505942402
julho,4,Q_missing,validation,high_flow,28,187.17176800525593,-45.14931161572482,393.6792255460551
julho,4,Q_missing,test,all,1964,143.58029795475255,-2.011557512942737,301.8792356802365
julho,4,Q_missing,test,high_flow,271,273.13067546650416,-101.0998011394697,538.6010129641301
julho,4,QI_missing,validation,all,6548,72.54406281796274,10.785714175781152,178.9509505942402
julho,4,QI_missing,validation,high_flow,28,187.17176800525593,-45.14931161572482,393.6792255460551
julho,4,QI_missing,test,all,1964,139.57443025421202,-2.533245022300088,300.7993966242646
julho,4,QI_missing,test,high_flow,271,244.09922098731013,-104.8805917976905,516.1841800247036
julho,5,original,validation,all,6547,82.2980756660968,11.926459803789236,202.3472637596212
julho,5,original,validation,high_flow,28,187.2286876665864,-32.17342254811297,376.372757602331
julho,5,original,test,all,1963,174.26374657489214,-3.745332697259744,313.2951622065503
julho,5,original,test,high_flow,271,417.1736217100644,-127.08265808532765,677.1222484108807
julho,5,Q_missing,validation,all,6547,82.2980756660968,11.926459803789236,202.3472637596212
julho,5,Q_missing,validation,high_flow,28,187.2286876665864,-32.17342254811297,376.372757602331
julho,5,Q_missing,test,all,1963,160.45278670522063,-4.339485983658398,313.21664662214175
julho,5,Q_missing,test,high_flow,271,317.13334782015636,-131.38643262850314,661.0653596184787
julho,5,QI_missing,validation,all,6547,82.2980756660968,11.926459803789236,202.3472637596212
julho,5,QI_missing,validation,high_flow,28,187.2286876665864,-32.17342254811297,376.372757602331
julho,5,QI_missing,test,all,1963,156.00621631611327,-4.951427292057005,312.86532529744585
julho,5,QI_missing,test,high_flow,271,284.9244265145555,-135.81905546387756,577.7714591019266
julho,6,original,validation,all,6546,91.87482486016397,15.349135477783468,227.2742125382864
julho,6,original,validation,high_flow,28,249.41506111704535,-32.00870825004625,498.2794908369593
julho,6,original,test,all,1962,189.36545227364064,-7.081513902982244,318.4865133693754
julho,6,original,test,high_flow,271,459.587434411649,-158.8047786547275,828.6420168803232
julho,6,Q_missing,validation,all,6546,91.87482486016397,15.349135477783468,227.2742125382864
julho,6,Q_missing,validation,high_flow,28,249.41506111704535,-32.00870825004625,498.2794908369593
julho,6,Q_missing,test,all,1962,176.75487925370237,-7.59628557060788,318.22031006687536
julho,6,Q_missing,test,high_flow,271,368.28874708648704,-162.53164954727913,792.3814063338522
julho,6,QI_missing,validation,all,6546,91.87482486016397,15.349135477783468,227.2742125382864
julho,6,QI_missing,validation,high_flow,28,249.41506111704535,-32.00870825004625,498.2794908369593
julho,6,QI_missing,test,all,1962,171.22605162198968,-8.289565347382684,316.6714116736425
julho,6,QI_missing,test,high_flow,271,328.26085109600604,-167.5508928020104,669.546754869927
julho,7,original,validation,all,6545,100.23852490380028,19.501065528908693,248.721122462456
julho,7,original,validation,high_flow,28,291.31094075350325,-6.630618170692442,540.5360880042381
julho,7,original,test,all,1961,204.91709209019484,-10.649045829958288,333.3483510253945
julho,7,original,test,high_flow,271,515.0257555348941,-188.6805832214149,917.1653741544148
julho,7,Q_missing,validation,all,6545,100.23852490380028,19.501065528908693,248.721122462456
julho,7,Q_missing,validation,high_flow,28,291.31094075350325,-6.630618170692442,540.5360880042381
julho,7,Q_missing,test,all,1961,193.1559125217582,-11.138811734408018,333.05118479608177
julho,7,Q_missing,test,high_flow,271,429.9199506134761,-192.22460882520053,893.830653394522
julho,7,QI_missing,validation,all,6545,100.23852490380028,19.501065528908693,248.721122462456
julho,7,QI_missing,validation,high_flow,28,291.31094075350325,-6.630618170692442,540.5360880042381
julho,7,QI_missing,test,all,1961,185.88536995878866,-11.909866600338724,332.5517043622146
julho,7,QI_missing,test,high_flow,271,377.30912417073324,-197.80408702479508,711.7139145961035
julho,8,original,validation,all,6544,107.78930567842053,24.585396474842938,259.81823532397084
julho,8,original,validation,high_flow,28,338.5975769324695,13.980643559379681,644.5253317930024
julho,8,original,test,all,1960,217.52222879116616,-14.806456885318738,342.7395072706678
julho,8,original,test,high_flow,271,563.6511925148726,-219.22150021677794,1051.004174200099
julho,8,Q_missing,validation,all,6544,107.78930567842053,24.585396474842938,259.81823532397084
julho,8,Q_missing,validation,high_flow,28,338.5975769324695,13.980643559379681,644.5253317930024
julho,8,Q_missing,test,all,1960,206.7341455436367,-15.395897510917427,342.54926942907645
julho,8,Q_missing,test,high_flow,271,485.62667899030544,-223.484613228488,1044.4884154064823
julho,8,QI_missing,validation,all,6544,107.78930567842053,24.585396474842938,259.81823532397084
julho,8,QI_missing,validation,high_flow,28,338.5975769324695,13.980643559379681,644.5253317930024
julho,8,QI_missing,test,all,1960,198.18746795886833,-16.24717569868745,342.2796899421014
julho,8,QI_missing,test,high_flow,271,423.8130698901355,-229.6414591621752,840.1638730564791
julho,9,original,validation,all,6543,114.44567881747525,28.152701837843924,270.11532438716193
julho,9,original,validation,high_flow,28,405.53230004188197,79.14267451226247,688.5488129137475
julho,9,original,test,all,1959,227.0794091187324,-19.03485476938394,353.3912639949295
julho,9,original,test,high_flow,271,609.4159283509719,-251.82754349432628,1276.735687892665
julho,9,Q_missing,validation,all,6543,114.44567881747525,28.152701837843924,270.11532438716193
julho,9,Q_missing,validation,high_flow,28,405.53230004188197,79.14267451226247,688.5488129137475
julho,9,Q_missing,test,all,1959,217.90098303615318,-19.741687314429043,352.6088591458095
julho,9,Q_missing,test,high_flow,271,543.0670844551319,-256.93708207640503,1170.1156949656538
julho,9,QI_missing,validation,all,6543,114.44567881747525,28.152701837843924,270.11532438716193
julho,9,QI_missing,validation,high_flow,28,405.53230004188197,79.14267451226247,688.5488129137475
julho,9,QI_missing,test,all,1959,208.61524372631902,-20.62865797999303,352.29533517977916
julho,9,QI_missing,test,high_flow,271,475.942496602862,-263.3487999134525,1031.1071119909734
julho,10,original,validation,all,6542,120.16983043432101,31.681445169777884,275.9360092829522
julho,10,original,validation,high_flow,28,497.4095309754929,149.65107676226634,937.0762193087589
julho,10,original,test,all,1958,236.38021489261175,-24.084292347128102,367.3417451802262
julho,10,original,test,high_flow,271,665.3661568404963,-291.90578160156076,1570.6415899377957
julho,10,Q_missing,validation,all,6542,120.16983043432101,31.681445169777884,275.9360092829522
julho,10,Q_missing,validation,high_flow,28,497.4095309754929,149.65107676226634,937.0762193087589
julho,10,Q_missing,test,all,1958,228.1653598228798,-24.44550075973348,366.8513826359915
julho,10,Q_missing,test,high_flow,271,606.0130711337243,-294.51554570444387,1461.4162515622074
julho,10,QI_missing,validation,all,6542,120.16983043432101,31.681445169777884,275.9360092829522
julho,10,QI_missing,validation,high_flow,28,497.4095309754929,149.65107676226634,937.0762193087589
julho,10,QI_missing,test,all,1958,218.3663397392687,-25.347242138748168,365.4870176110065
julho,10,QI_missing,test,high_flow,271,535.2142470609921,-301.03071035429906,1142.8984471247327
julho,11,original,validation,all,6541,124.46143481185847,36.62644026393301,281.50885098042505
julho,11,original,validation,high_flow,28,608.8678821200199,235.35442457711522,1154.9681973786592
julho,11,original,test,all,1957,246.35988560412352,-29.179438075023615,376.723831523761
julho,11,original,test,high_flow,271,729.8799581223853,-328.6906148763272,1854.1446555071027
julho,11,Q_missing,validation,all,6541,124.46143481185847,36.62644026393301,281.50885098042505
julho,11,Q_missing,validation,high_flow,28,608.8678821200199,235.35442457711522,1154.9681973786592
julho,11,Q_missing,test,all,1957,239.1088471888553,-29.783356505531163,376.723831523761
julho,11,Q_missing,test,high_flow,271,677.5172932564077,-333.05175276748315,1725.08965132142
julho,11,QI_missing,validation,all,6541,124.46143481185847,36.62644026393301,281.50885098042505
julho,11,QI_missing,validation,high_flow,28,608.8678821200199,235.35442457711522,1154.9681973786592
julho,11,QI_missing,test,all,1957,228.74133433559408,-30.76024863677218,374.3781930346802
julho,11,QI_missing,test,high_flow,271,602.6493129839643,-340.1062837668878,1266.7673611048383
carreiro,0,original,validation,all,6253,1.7002517226004359,-0.07568697215702135,3.7503244204040374
carreiro,0,original,validation,high_flow,27,11.20233914202531,-0.841902362707051,23.067862174172582
carreiro,0,original,test,all,1703,5.614341450636123,-2.6636075325171276,7.909062451757187
carreiro,0,original,test,high_flow,241,22.586819009306918,-19.18658720408506,13.535565607387223
carreiro,0,Q_missing,validation,all,6253,1.7002517226004359,-0.07568697215702135,3.7503244204040374
carreiro,0,Q_missing,validation,high_flow,27,11.20233914202531,-0.841902362707051,23.067862174172582
carreiro,0,Q_missing,test,all,1703,5.605452577088707,-2.6734666793923,7.909062451757187
carreiro,0,Q_missing,test,high_flow,241,22.586819009306918,-19.18658720408506,13.535565607387223
carreiro,0,QI_missing,validation,all,6253,1.7002517226004359,-0.07568697215702135,3.7503244204040374
carreiro,0,QI_missing,validation,high_flow,27,11.20233914202531,-0.841902362707051,23.067862174172582
carreiro,0,QI_missing,test,all,1703,5.534818887967767,-2.6877925911867093,7.766424866372974
carreiro,0,QI_missing,test,high_flow,241,22.586819009306918,-19.18658720408506,13.535565607387223
carreiro,1,original,validation,all,6251,4.922442137226846,0.003050355571906979,17.221117556025384
carreiro,1,original,validation,high_flow,27,31.472757641425957,2.2462343049811615,66.86534788834719
carreiro,1,original,test,all,1699,11.73371734507158,-3.115149075880112,21.978258345389875
carreiro,1,original,test,high_flow,240,34.280133863826634,-26.172544126093726,44.059753727549456
carreiro,1,Q_missing,validation,all,6251,4.922442137226846,0.003050355571906979,17.221117556025384
carreiro,1,Q_missing,validation,high_flow,27,31.472757641425957,2.2462343049811615,66.86534788834719
carreiro,1,Q_missing,test,all,1699,11.630693356517694,-3.254132807160637,21.910662004683445
carreiro,1,Q_missing,test,high_flow,240,34.3698665557358,-26.262276818002896,44.059753727549456
carreiro,1,QI_missing,validation,all,6251,4.922442137226846,0.003050355571906979,17.221117556025384
carreiro,1,QI_missing,validation,high_flow,27,31.472757641425957,2.2462343049811615,66.86534788834719
carreiro,1,QI_missing,test,all,1699,11.426510400491713,-3.394554914468935,21.577889163086475
carreiro,1,QI_missing,test,high_flow,240,34.3698665557358,-26.262276818002896,44.059753727549456
carreiro,2,original,validation,all,6249,7.71091653262537,0.23405242608781587,23.364931088848703
carreiro,2,original,validation,high_flow,27,50.97099220810991,7.528673850610795,108.31151607593048
carreiro,2,original,test,all,1695,17.117267624307022,-3.577431488864975,29.00466609462133
carreiro,2,original,test,high_flow,239,44.51002919826544,-33.61027802545096,72.7275575695883
carreiro,2,Q_missing,validation,all,6249,7.71091653262537,0.23405242608781587,23.364931088848703
carreiro,2,Q_missing,validation,high_flow,27,50.97099220810991,7.528673850610795,108.31151607593048
carreiro,2,Q_missing,test,all,1695,16.95389690492476,-3.8551494226780094,28.793434725042285
carreiro,2,Q_missing,test,high_flow,239,44.71892105051794,-33.81916987770346,72.7275575695883
carreiro,2,QI_missing,validation,all,6249,7.71091653262537,0.23405242608781587,23.364931088848703
carreiro,2,QI_missing,validation,high_flow,27,50.97099220810991,7.528673850610795,108.31151607593048
carreiro,2,QI_missing,test,all,1695,16.763595480950265,-4.168923803318696,28.495807740792852
carreiro,2,QI_missing,test,high_flow,239,45.28626141494666,-34.386510242132175,72.7275575695883
carreiro,3,original,validation,all,6246,10.149876688983467,0.5692994903402786,25.99591526098567
carreiro,3,original,validation,high_flow,27,63.83487553194264,16.674833656267158,138.55291146125847
carreiro,3,original,test,all,1691,22.13911278733309,-4.149263341393121,36.49922953146739
carreiro,3,original,test,high_flow,238,55.24236174631296,-41.7828121446396,99.8523546302736
carreiro,3,Q_missing,validation,all,6246,10.149876688983467,0.5692994903402786,25.99591526098567
carreiro,3,Q_missing,validation,high_flow,27,63.83487553194264,16.674833656267158,138.55291146125847
carreiro,3,Q_missing,test,all,1691,21.85954586931082,-4.578882084445534,36.48050798525984
carreiro,3,Q_missing,test,high_flow,238,55.562020645737256,-42.1024710440639,99.8523546302736
carreiro,3,QI_missing,validation,all,6246,10.149876688983467,0.5692994903402786,25.99591526098567
carreiro,3,QI_missing,validation,high_flow,27,63.83487553194264,16.674833656267158,138.55291146125847
carreiro,3,QI_missing,test,all,1691,21.60651174624628,-5.018415351642426,35.65844769030248
carreiro,3,QI_missing,test,high_flow,238,56.245005990465096,-42.78545638879174,99.8523546302736
carreiro,4,original,validation,all,6243,12.297091187169553,0.9992027730424573,28.26
carreiro,4,original,validation,high_flow,27,72.56736696202593,25.404128320977513,163.2243769807882
carreiro,4,original,test,all,1687,26.673355666407964,-4.955385951228133,44.57591579111195
carreiro,4,original,test,high_flow,237,65.53207683876958,-50.34835629262721,121.75128356398467
carreiro,4,Q_missing,validation,all,6243,12.297091187169553,0.9992027730424573,28.26
carreiro,4,Q_missing,validation,high_flow,27,72.56736696202593,25.404128320977513,163.2243769807882
carreiro,4,Q_missing,test,all,1687,26.347951010618267,-5.464709693782062,44.57591579111195
carreiro,4,Q_missing,test,high_flow,237,66.07982261803383,-50.896102071891455,121.75128356398467
carreiro,4,QI_missing,validation,all,6243,12.297091187169553,0.9992027730424573,28.26
carreiro,4,QI_missing,validation,high_flow,27,72.56736696202593,25.404128320977513,163.2243769807882
carreiro,4,QI_missing,test,all,1687,25.875011234516027,-6.0081541436194374,43.58153216724507
carreiro,4,QI_missing,test,high_flow,237,66.07982261803383,-50.896102071891455,121.75128356398467
carreiro,5,original,validation,all,6241,14.124644179618816,1.4340810006317402,31.443553324738602
carreiro,5,original,validation,high_flow,27,83.78302619467233,36.51919746045574,199.11478087674914
carreiro,5,original,test,all,1684,30.155697277674093,-5.822258205808267,49.789876584781574
carreiro,5,original,test,high_flow,236,73.25407858649406,-56.608627826077566,141.58506309446096
carreiro,5,Q_missing,validation,all,6241,14.124644179618816,1.4340810006317402,31.443553324738602
carreiro,5,Q_missing,validation,high_flow,27,83.78302619467233,36.51919746045574,199.11478087674914
carreiro,5,Q_missing,test,all,1684,29.869093821844572,-6.409439170865474,49.73866170767145
carreiro,5,Q_missing,test,high_flow,236,74.11964599643066,-57.47419523601417,141.58506309446096
carreiro,5,QI_missing,validation,all,6241,14.124644179618816,1.4340810006317402,31.443553324738602
carreiro,5,QI_missing,validation,high_flow,27,83.78302619467233,36.51919746045574,199.11478087674914
carreiro,5,QI_missing,test,all,1684,29.78902132816869,-7.013292205821241,49.17208680297811
carreiro,5,QI_missing,test,high_flow,236,75.66797526395301,-59.02252450353652,141.58506309446096
carreiro,6,original,validation,all,6239,15.842683661308614,1.879438233110899,35.125038524298354
carreiro,6,original,validation,high_flow,27,94.9768776979142,48.18906975780598,211.14105539750025
carreiro,6,original,test,all,1681,33.16202708365879,-6.901929112707524,54.15873532689293
carreiro,6,original,test,high_flow,235,81.37698216389536,-63.13338263624834,170.40649233834543
carreiro,6,Q_missing,validation,all,6239,15.842683661308614,1.879438233110899,35.125038524298354
carreiro,6,Q_missing,validation,high_flow,27,94.9768776979142,48.18906975780598,211.14105539750025
carreiro,6,Q_missing,test,all,1681,33.09215769029749,-7.518436739815305,54.00141625118191
carreiro,6,Q_missing,test,high_flow,235,83.2177532201202,-64.97415369247317,170.40649233834543
carreiro,6,QI_missing,validation,all,6239,15.842683661308614,1.879438233110899,35.125038524298354
carreiro,6,QI_missing,validation,high_flow,27,94.9768776979142,48.18906975780598,211.14105539750025
carreiro,6,QI_missing,test,all,1681,33.08059727790762,-8.105709456312711,53.758572146787166
carreiro,6,QI_missing,test,high_flow,235,84.953396588641,-66.70979706099395,170.40649233834543
carreiro,7,original,validation,all,6238,17.259714879905342,2.348918054369734,38.14789285147158
carreiro,7,original,validation,high_flow,27,107.27416128356772,58.69893122294889,225.58743143624378
carreiro,7,original,test,all,1678,37.20209948289159,-8.094570264869471,60.25297960427612
carreiro,7,original,test,high_flow,234,94.33315875347958,-74.60904735358717,219.1785152154492
carreiro,7,Q_missing,validation,all,6238,17.259714879905342,2.348918054369734,38.14789285147158
carreiro,7,Q_missing,validation,high_flow,27,107.27416128356772,58.69893122294889,225.58743143624378
carreiro,7,Q_missing,test,all,1678,36.553133826468276,-8.773714705559778,59.83120207158569
carreiro,7,Q_missing,test,high_flow,234,94.33315875347958,-74.60904735358717,219.1785152154492
carreiro,7,QI_missing,validation,all,6238,17.259714879905342,2.348918054369734,38.14789285147158
carreiro,7,QI_missing,validation,high_flow,27,107.27416128356772,58.69893122294889,225.58743143624378
carreiro,7,QI_missing,test,all,1678,36.15700575453429,-9.290677104073012,59.494673476826215
carreiro,7,QI_missing,test,high_flow,234,94.33315875347958,-74.60904735358717,219.1785152154492
carreiro,8,original,validation,all,6236,18.390829066876545,2.8786549960670587,40.44633671866862
carreiro,8,original,validation,high_flow,27,111.73468706085222,65.52500028259367,237.7675147310471
carreiro,8,original,test,all,1675,39.93830322278624,-9.374274114211914,65.08318868848315
carreiro,8,original,test,high_flow,233,103.32601804444727,-82.50639680721626,260.7288518008593
carreiro,8,Q_missing,validation,all,6236,18.390829066876545,2.8786549960670587,40.44633671866862
carreiro,8,Q_missing,validation,high_flow,27,111.73468706085222,65.52500028259367,237.7675147310471
carreiro,8,Q_missing,test,all,1675,39.279410960578694,-10.06339921224035,63.35394525139753
carreiro,8,Q_missing,test,high_flow,233,103.32601804444727,-82.50639680721626,260.7288518008593
carreiro,8,QI_missing,validation,all,6236,18.390829066876545,2.8786549960670587,40.44633671866862
carreiro,8,QI_missing,validation,high_flow,27,111.73468706085222,65.52500028259367,237.7675147310471
carreiro,8,QI_missing,test,all,1675,38.96231225429802,-10.501488963297147,62.94150218512541
carreiro,8,QI_missing,test,high_flow,233,103.32601804444727,-82.50639680721626,260.7288518008593
carreiro,9,original,validation,all,6233,19.34217123883611,3.4089291982393815,42.10357831406833
carreiro,9,original,validation,high_flow,27,106.86110895014907,66.63354086222552,241.67387278661946
carreiro,9,original,test,all,1673,42.57224159050223,-11.138620817830677,70.00164113804914
carreiro,9,original,test,high_flow,233,113.64433004824842,-91.79129266873208,320.6392217287802
carreiro,9,Q_missing,validation,all,6233,19.34217123883611,3.4089291982393815,42.10357831406833
carreiro,9,Q_missing,validation,high_flow,27,106.86110895014907,66.63354086222552,241.67387278661946
carreiro,9,Q_missing,test,all,1673,42.01137505947413,-11.790294282510894,70.00164113804914
carreiro,9,Q_missing,test,high_flow,233,113.64433004824842,-91.79129266873208,320.6392217287802
carreiro,9,QI_missing,validation,all,6233,19.34217123883611,3.4089291982393815,42.10357831406833
carreiro,9,QI_missing,validation,high_flow,27,106.86110895014907,66.63354086222552,241.67387278661946
carreiro,9,QI_missing,test,all,1673,41.7026136250399,-12.159593672713203,69.67900891582939
carreiro,9,QI_missing,test,high_flow,233,113.64433004824842,-91.79129266873208,320.6392217287802
carreiro,10,original,validation,all,6232,20.024160870183863,4.069864661772929,42.95027883869576
carreiro,10,original,validation,high_flow,27,101.00810609002956,62.3979594492705,242.00634515304918
carreiro,10,original,test,all,1671,44.48309935504033,-13.026489782968289,73.2068054805487
carreiro,10,original,test,high_flow,233,122.57160375866985,-99.2756486850579,354.35588940632175
carreiro,10,Q_missing,validation,all,6232,20.024160870183863,4.069864661772929,42.95027883869576
carreiro,10,Q_missing,validation,high_flow,27,101.00810609002956,62.3979594492705,242.00634515304918
carreiro,10,Q_missing,test,all,1671,44.00185578886411,-13.598577155248638,73.2068054805487
carreiro,10,Q_missing,test,high_flow,233,122.57160375866985,-99.2756486850579,354.35588940632175
carreiro,10,QI_missing,validation,all,6232,20.024160870183863,4.069864661772929,42.95027883869576
carreiro,10,QI_missing,validation,high_flow,27,101.00810609002956,62.3979594492705,242.00634515304918
carreiro,10,QI_missing,test,all,1671,43.71821651764154,-13.9428268393976,73.12172927512754
carreiro,10,QI_missing,test,high_flow,233,122.57160375866985,-99.2756486850579,354.35588940632175
carreiro,11,original,validation,all,6231,20.625921201285852,4.678484066721047,43.70191448178757
carreiro,11,original,validation,high_flow,27,96.54465148060093,50.938068408638166,189.41488075150446
carreiro,11,original,test,all,1669,46.33849641138404,-14.96018396360806,77.93599849920696
carreiro,11,original,test,high_flow,233,132.58400425312436,-106.91491877199218,414.7489875729718
carreiro,11,Q_missing,validation,all,6231,20.625921201285852,4.678484066721047,43.70191448178757
carreiro,11,Q_missing,validation,high_flow,27,96.54465148060093,50.938068408638166,189.41488075150446
carreiro,11,Q_missing,test,all,1669,45.89120883665565,-15.444855995303861,77.93599849920696
carreiro,11,Q_missing,test,high_flow,233,132.58400425312436,-106.91491877199218,414.7489875729718
carreiro,11,QI_missing,validation,all,6231,20.625921201285852,4.678484066721047,43.70191448178757
carreiro,11,QI_missing,validation,high_flow,27,96.54465148060093,50.938068408638166,189.41488075150446
carreiro,11,QI_missing,test,all,1669,45.63800807562798,-15.758739800070298,77.49049415220352
carreiro,11,QI_missing,test,high_flow,233,132.58400425312436,-106.91491877199218,414.7489875729718
