source,lead_h,variant,phase,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,0,original,validation,all,6552,20.089830796709816,2.1619040632188926,50.76036046921607
julho,0,original,validation,high_flow,28,104.43662294940704,-15.495937397765898,265.7196658667419
julho,0,original,test,all,1968,46.27849378837248,0.31924112300384205,127.88659839479827
julho,0,original,test,high_flow,271,118.19237747447443,-14.073156646539523,248.89068917657698
julho,0,Q_missing,validation,all,6552,20.089830796709816,2.1619040632188926,50.76036046921607
julho,0,Q_missing,validation,high_flow,28,104.43662294940704,-15.495937397765898,265.7196658667419
julho,0,Q_missing,test,all,1968,43.40474489549008,-0.04232862817124182,126.07061430883573
julho,0,Q_missing,test,high_flow,271,97.32323422284138,-16.69887351116154,229.99203387085387
julho,0,QI_missing,validation,all,6552,20.089830796709816,2.1619040632188926,50.76036046921607
julho,0,QI_missing,validation,high_flow,28,104.43662294940704,-15.495937397765898,265.7196658667419
julho,0,QI_missing,test,all,1968,42.13375490981759,-0.06949648511758602,125.7330817668195
julho,0,QI_missing,test,high_flow,271,88.09331432688765,-16.896166287805105,212.9829093597042
julho,1,original,validation,all,6551,37.08286033730727,4.681780181140661,93.7770120826632
julho,1,original,validation,high_flow,28,162.42744802633683,-21.6760541688351,358.83128016728415
julho,1,original,test,all,1967,82.7616322730008,0.6952702122812783,229.5143935248307
julho,1,original,test,high_flow,271,206.87023845505792,-32.3224648128019,354.16347045920827
julho,1,Q_missing,validation,all,6551,37.08286033730727,4.681780181140661,93.7770120826632
julho,1,Q_missing,validation,high_flow,28,162.42744802633683,-21.6760541688351,358.83128016728415
julho,1,Q_missing,test,all,1967,74.98522335809605,0.17728251008031498,228.6217766436223
julho,1,Q_missing,test,high_flow,271,150.42670954133968,-36.08217628966274,326.09017795035953
julho,1,QI_missing,validation,all,6551,37.08286033730727,4.681780181140661,93.7770120826632
julho,1,QI_missing,validation,high_flow,28,162.42744802633683,-21.6760541688351,358.83128016728415
julho,1,QI_missing,test,all,1967,73.02426564279166,0.04615567373548309,227.41010543218877
julho,1,QI_missing,test,high_flow,271,136.19348509114133,-37.033934544608435,300.36410608299843
julho,2,original,validation,all,6550,50.73125755358937,7.403141759834866,131.6044505106201
julho,2,original,validation,high_flow,28,194.14880946731859,-37.263975198973924,377.98481916438396
julho,2,original,test,all,1966,112.58509742011988,0.8834314062341448,274.5913158415694
julho,2,original,test,high_flow,271,272.26070418556196,-47.591908273130954,413.8061800724522
julho,2,Q_missing,validation,all,6550,50.73125755358937,7.403141759834866,131.6044505106201
julho,2,Q_missing,validation,high_flow,28,194.14880946731859,-37.263975198973924,377.98481916438396
julho,2,Q_missing,test,all,1966,100.62302301748777,0.25032980410817396,271.7011748964974
julho,2,Q_missing,test,high_flow,271,185.48048914654075,-52.18481509888615,392.6960908758688
julho,2,QI_missing,validation,all,6550,50.73125755358937,7.403141759834866,131.6044505106201
julho,2,QI_missing,validation,high_flow,28,194.14880946731859,-37.263975198973924,377.98481916438396
