origin,target_time,base_m,actual_m,response_m,control_m,augmented_m,control_abs_error_m,augmented_abs_error_m,error_change_m
2026-07-21T13:00:00-03:00,2026-07-22T01:00:00-03:00,3.59,11.99,8.4,4.64244530187294,4.627168827072426,7.34755469812706,7.362831172927574,0.015276474800514528
2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,9.43,5.506138479442928,5.957005735861753,7.463861520557073,7.012994264138247,-0.4508672564188254
2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,10.36,7.380541345445687,8.373149842256629,6.389458654554312,5.396850157743371,-0.9926084968109414
2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,11.22,7.327269754047366,8.231939208597547,7.162730245952634,6.258060791402453,-0.9046694545501808
2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.21,15.16,11.95,7.70873056121961,8.975118116947737,7.45126943878039,6.184881883052263,-1.2663875557281266
2026-07-21T18:00:00-03:00,2026-07-22T06:00:00-03:00,3.25,15.81,12.56,8.445390224791328,10.155247464389767,7.364609775208672,5.654752535610234,-1.7098572395984384
2026-07-21T19:00:00-03:00,2026-07-22T07:00:00-03:00,3.42,16.5,13.08,8.912244691093182,10.302588416182488,7.587755308906818,6.197411583817512,-1.3903437250893056
2026-07-21T20:00:00-03:00,2026-07-22T08:00:00-03:00,3.89,17.16,13.27,9.57000341615042,10.934522176472628,7.5899965838495795,6.225477823527372,-1.3645187603222073
2026-07-21T21:00:00-03:00,2026-07-22T09:00:00-03:00,5.02,17.78,12.760000000000002,10.675239376340734,11.957383022996648,7.104760623659267,5.822616977003353,-1.2821436466559142
2026-07-21T22:00:00-03:00,2026-07-22T10:00:00-03:00,6.95,18.37,11.420000000000002,12.395571674058688,13.00137986187121,5.974428325941313,5.36862013812879,-0.6058081878125225
2026-07-21T23:00:00-03:00,2026-07-22T11:00:00-03:00,8.77,18.79,10.02,13.5199555748097,14.295485029494007,5.270044425190299,4.494514970505993,-0.7755294546843068
2026-07-22T00:00:00-03:00,2026-07-22T12:00:00-03:00,10.42,19.02,8.6,14.481495017174453,15.668724207536613,4.538504982825547,3.3512757924633867,-1.1872291903621601
