phase,horizon_h,observed_targets,paired,hits_control,hits_augmented,hits_change,mae_control_m,mae_augmented_m,mae_change_m,max_control_m,max_augmented_m
validation,1,28,28,28,28,0,0.0666807029630848,0.07586753928089005,0.009186836317805244,0.25365721478517145,0.2844677981726562
validation,2,28,28,28,28,0,0.11897886238198042,0.12951907349574096,0.010540211113760536,0.36191043129735867,0.44768831489714067
validation,3,28,28,26,25,-1,0.16960676474370254,0.20403266818776372,0.034425903444061184,0.6140799441250824,0.5932292719987533
validation,4,28,28,26,26,0,0.16646123882897323,0.24035275354071603,0.0738915147117428,0.560207741268413,0.8487322721377595
validation,5,28,28,25,25,0,0.2291228510791504,0.32542695173315384,0.09630410065400344,0.7553061347974745,1.2353311810489425
validation,6,28,28,24,18,-6,0.2587119452642057,0.5312876350232505,0.2725756897590448,1.0962896884715265,2.106793462509512
validation,7,28,28,18,13,-5,0.4275016599210431,0.6025350880058274,0.17503342808478434,2.6556568259868305,3.5232943603510334
validation,8,28,28,20,11,-9,0.4882291267479996,0.8295587643236738,0.3413296375756742,2.5050304061770072,3.2509934262678986
validation,9,28,28,17,8,-9,0.6095633629892163,1.043688735421457,0.4341253724322407,2.1405087524778477,3.0095583032725717
validation,10,28,28,11,6,-5,0.7637956998438623,1.1849955141491897,0.4211998143053274,1.6643311821088886,3.2633612073333236
validation,11,28,28,9,5,-4,0.913230549267538,1.2371151109817446,0.32388456171420665,2.3488613754696814,3.3284713606072653
validation,12,28,28,7,3,-4,0.9084925009708122,1.2107436311199176,0.3022511301491053,2.619470094800553,2.906818966046039
test,1,237,236,230,229,-1,0.07747194053705365,0.1005669746563972,0.02309503411934355,1.284834339803509,0.7767047671414353
test,2,237,236,225,209,-16,0.14574519761403643,0.1942674664317734,0.04852226881773697,2.4854087637465963,1.095393969852375
test,3,237,236,206,211,5,0.2397801871519601,0.23714314480917298,-0.0026370423427871104,3.5268719363183774,3.087788358226053
test,4,237,236,189,194,5,0.3477376475215351,0.3130922076784388,-0.03464543984309626,4.159274231826119,3.527513551851067
test,5,237,236,174,169,-5,0.44950094391357975,0.46248466819397477,0.012983724280395015,4.732017992487203,4.334247934466192
test,6,237,236,149,154,5,0.5992745509944473,0.5457224485630477,-0.05355210243139952,5.717300772050423,4.513467748884009
test,7,237,236,132,126,-6,0.7350302813017384,0.7191446264270654,-0.015885654874672972,5.611443817837554,3.687598602610098
test,8,237,236,128,135,7,0.8437648586743666,0.7325887479294098,-0.11117611074495681,6.185898482285559,3.913272849374927
test,9,237,236,113,121,8,0.9692832556460395,0.8575750425510588,-0.11170821309498069,6.0003742492804815,4.53114741249782
test,10,237,236,93,97,4,1.0678142840693023,0.9357273430058953,-0.13208694106340702,6.464545216847842,4.770160156293642
test,11,237,236,85,89,4,1.1782923476697535,1.1292275765177942,-0.0490647711519594,6.566430652044184,5.820890909678985
test,12,237,236,83,89,6,1.3618131697950429,1.2567061484263768,-0.10510702136866601,7.5899965838495795,7.362831172927574
