horizon_h,phase,subset,start_origin,end_origin,n,start_target,end_target,min_target_m,max_target_m,missing_features
1,train,all,2025-04-01T08:00:00-03:00,2025-04-01T15:00:00-03:00,8,2025-04-01T09:00:00-03:00,2025-04-01T16:00:00-03:00,0.81,0.89,86472000:dH8|86472600:dH8|86500000:dH8|86510000:dH0.5|86510000:dH1|86510000:dH2|86510000:dH4|86510000:dH8
1,train,all,2025-04-04T08:00:00-03:00,2025-04-05T18:00:00-03:00,35,2025-04-04T09:00:00-03:00,2025-04-05T19:00:00-03:00,1.17,2.03,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-05T21:00:00-03:00,2025-04-05T22:00:00-03:00,2,2025-04-05T22:00:00-03:00,2025-04-05T23:00:00-03:00,1.13,1.14,86472600:dH8
1,train,all,2025-04-06T05:00:00-03:00,2025-04-06T07:00:00-03:00,3,2025-04-06T06:00:00-03:00,2025-04-06T08:00:00-03:00,1.08,1.09,86500000:H|86500000:dH0.5|86500000:dH1|86500000:dH2|86500000:dH4|86500000:dH8
1,train,all,2025-04-06T09:00:00-03:00,2025-04-06T09:00:00-03:00,1,2025-04-06T10:00:00-03:00,2025-04-06T10:00:00-03:00,1.12,1.12,86500000:dH4
1,train,all,2025-04-06T12:00:00-03:00,2025-04-06T14:00:00-03:00,3,2025-04-06T13:00:00-03:00,2025-04-06T15:00:00-03:00,1.14,1.15,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8|86500000:dH8
1,train,all,2025-04-06T16:00:00-03:00,2025-04-06T16:00:00-03:00,1,2025-04-06T17:00:00-03:00,2025-04-06T17:00:00-03:00,1.13,1.13,86472600:dH4
1,train,all,2025-04-06T20:00:00-03:00,2025-04-06T20:00:00-03:00,1,2025-04-06T21:00:00-03:00,2025-04-06T21:00:00-03:00,1.07,1.07,86472600:dH8
1,train,all,2025-04-07T03:00:00-03:00,2025-04-07T05:00:00-03:00,3,2025-04-07T04:00:00-03:00,2025-04-07T06:00:00-03:00,1.01,1.02,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-07T07:00:00-03:00,2025-04-07T07:00:00-03:00,1,2025-04-07T08:00:00-03:00,2025-04-07T08:00:00-03:00,1.01,1.01,86472600:dH4
1,train,all,2025-04-07T10:00:00-03:00,2025-04-07T12:00:00-03:00,3,2025-04-07T11:00:00-03:00,2025-04-07T13:00:00-03:00,1.0,1.0,86472000:H|86472000:dH0.5|86472000:dH1|86472000:dH2|86472000:dH4|86472000:dH8|86472600:dH8
1,train,all,2025-04-07T14:00:00-03:00,2025-04-07T14:00:00-03:00,1,2025-04-07T15:00:00-03:00,2025-04-07T15:00:00-03:00,1.01,1.01,86472000:dH4
1,train,all,2025-04-07T18:00:00-03:00,2025-04-07T18:00:00-03:00,1,2025-04-07T19:00:00-03:00,2025-04-07T19:00:00-03:00,1.05,1.05,86472000:dH8
1,train,all,2025-04-14T07:00:00-03:00,2025-04-14T18:00:00-03:00,12,2025-04-14T08:00:00-03:00,2025-04-14T19:00:00-03:00,1.86,2.24,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-15T00:00:00-03:00,2025-04-15T02:00:00-03:00,3,2025-04-15T01:00:00-03:00,2025-04-15T03:00:00-03:00,2.2,2.27,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-15T04:00:00-03:00,2025-04-15T04:00:00-03:00,1,2025-04-15T05:00:00-03:00,2025-04-15T05:00:00-03:00,2.38,2.38,86472600:dH4
1,train,all,2025-04-15T08:00:00-03:00,2025-04-15T08:00:00-03:00,1,2025-04-15T09:00:00-03:00,2025-04-15T09:00:00-03:00,2.44,2.44,86472600:dH8
1,train,all,2025-04-15T13:00:00-03:00,2025-04-15T15:00:00-03:00,3,2025-04-15T14:00:00-03:00,2025-04-15T16:00:00-03:00,2.12,2.21,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-15T17:00:00-03:00,2025-04-15T17:00:00-03:00,1,2025-04-15T18:00:00-03:00,2025-04-15T18:00:00-03:00,2.08,2.08,86472600:dH4
1,train,all,2025-04-15T21:00:00-03:00,2025-04-15T21:00:00-03:00,1,2025-04-15T22:00:00-03:00,2025-04-15T22:00:00-03:00,2.08,2.08,86472600:dH8
1,train,all,2025-04-16T07:00:00-03:00,2025-04-16T19:00:00-03:00,13,2025-04-16T08:00:00-03:00,2025-04-16T20:00:00-03:00,2.1,2.21,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-18T20:00:00-03:00,2025-04-18T20:00:00-03:00,1,2025-04-18T21:00:00-03:00,2025-04-18T21:00:00-03:00,1.14,1.14,86510000:dH0.5
1,train,all,2025-04-20T02:00:00-03:00,2025-04-20T16:00:00-03:00,15,2025-04-20T03:00:00-03:00,2025-04-20T17:00:00-03:00,1.14,1.97,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-20T20:00:00-03:00,2025-04-20T20:00:00-03:00,1,2025-04-20T21:00:00-03:00,2025-04-20T21:00:00-03:00,1.09,1.09,86472600:dH8
1,train,all,2025-04-21T09:00:00-03:00,2025-04-21T14:00:00-03:00,6,2025-04-21T10:00:00-03:00,2025-04-21T15:00:00-03:00,1.26,1.49,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-21T17:00:00-03:00,2025-04-21T18:00:00-03:00,2,2025-04-21T18:00:00-03:00,2025-04-21T19:00:00-03:00,1.13,1.16,86472600:dH8
