horizon_h,phase,origin,target_time,base_m,target_m,high_target_ge_7m,missing_feature_indices,missing_features
1,train,2025-04-01T08:00:00-03:00,2025-04-01T09:00:00-03:00,0.8,0.81,False,1|2|3|4|5|11|17|23,86510000:dH0.5|86510000:dH1|86510000:dH2|86510000:dH4|86510000:dH8|86472000:dH8|86472600:dH8|86500000:dH8
1,train,2025-04-01T09:00:00-03:00,2025-04-01T10:00:00-03:00,0.81,0.82,False,3|4|5,86510000:dH2|86510000:dH4|86510000:dH8
1,train,2025-04-01T10:00:00-03:00,2025-04-01T11:00:00-03:00,0.82,0.84,False,4|5,86510000:dH4|86510000:dH8
1,train,2025-04-01T11:00:00-03:00,2025-04-01T12:00:00-03:00,0.84,0.86,False,4|5,86510000:dH4|86510000:dH8
1,train,2025-04-01T12:00:00-03:00,2025-04-01T13:00:00-03:00,0.85,0.87,False,5,86510000:dH8
1,train,2025-04-01T13:00:00-03:00,2025-04-01T14:00:00-03:00,0.86,0.88,False,5,86510000:dH8
1,train,2025-04-01T14:00:00-03:00,2025-04-01T15:00:00-03:00,0.87,0.88,False,5,86510000:dH8
1,train,2025-04-01T15:00:00-03:00,2025-04-01T16:00:00-03:00,0.88,0.89,False,5,86510000:dH8
1,train,2025-04-04T08:00:00-03:00,2025-04-04T09:00:00-03:00,1.45,1.43,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T09:00:00-03:00,2025-04-04T10:00:00-03:00,1.43,1.41,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T10:00:00-03:00,2025-04-04T11:00:00-03:00,1.41,1.4,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T11:00:00-03:00,2025-04-04T12:00:00-03:00,1.4,1.38,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T12:00:00-03:00,2025-04-04T13:00:00-03:00,1.39,1.37,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T13:00:00-03:00,2025-04-04T14:00:00-03:00,1.37,1.36,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T14:00:00-03:00,2025-04-04T15:00:00-03:00,1.37,1.36,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T15:00:00-03:00,2025-04-04T16:00:00-03:00,1.36,1.37,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T16:00:00-03:00,2025-04-04T17:00:00-03:00,1.37,1.38,False,14|15|16|17,86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T17:00:00-03:00,2025-04-04T18:00:00-03:00,1.38,1.39,False,15|16|17,86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-04T18:00:00-03:00,2025-04-04T19:00:00-03:00,1.39,1.4,False,16|17,86472600:dH4|86472600:dH8
1,train,2025-04-04T19:00:00-03:00,2025-04-04T20:00:00-03:00,1.4,1.4,False,16|17,86472600:dH4|86472600:dH8
1,train,2025-04-04T20:00:00-03:00,2025-04-04T21:00:00-03:00,1.4,1.4,False,17,86472600:dH8
1,train,2025-04-04T21:00:00-03:00,2025-04-04T22:00:00-03:00,1.4,1.44,False,17,86472600:dH8
1,train,2025-04-04T22:00:00-03:00,2025-04-04T23:00:00-03:00,1.42,1.61,False,17,86472600:dH8
1,train,2025-04-04T23:00:00-03:00,2025-04-05T00:00:00-03:00,1.55,1.89,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T00:00:00-03:00,2025-04-05T01:00:00-03:00,1.82,2.03,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T01:00:00-03:00,2025-04-05T02:00:00-03:00,2.01,2.03,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T02:00:00-03:00,2025-04-05T03:00:00-03:00,2.04,1.95,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T03:00:00-03:00,2025-04-05T04:00:00-03:00,1.98,1.84,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T04:00:00-03:00,2025-04-05T05:00:00-03:00,1.87,1.73,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T05:00:00-03:00,2025-04-05T06:00:00-03:00,1.75,1.62,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T06:00:00-03:00,2025-04-05T07:00:00-03:00,1.65,1.53,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T07:00:00-03:00,2025-04-05T08:00:00-03:00,1.55,1.46,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T08:00:00-03:00,2025-04-05T09:00:00-03:00,1.48,1.4,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T09:00:00-03:00,2025-04-05T10:00:00-03:00,1.41,1.35,False,14|15|16|17,86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T10:00:00-03:00,2025-04-05T11:00:00-03:00,1.36,1.31,False,15|16|17,86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T11:00:00-03:00,2025-04-05T12:00:00-03:00,1.32,1.28,False,16|17,86472600:dH4|86472600:dH8
1,train,2025-04-05T12:00:00-03:00,2025-04-05T13:00:00-03:00,1.28,1.26,False,16|17,86472600:dH4|86472600:dH8
1,train,2025-04-05T13:00:00-03:00,2025-04-05T14:00:00-03:00,1.26,1.24,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T14:00:00-03:00,2025-04-05T15:00:00-03:00,1.24,1.23,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-05T15:00:00-03:00,2025-04-05T16:00:00-03:00,1.23,1.21,False,14|15|17,86472600:dH1|86472600:dH2|86472600:dH8
1,train,2025-04-05T16:00:00-03:00,2025-04-05T17:00:00-03:00,1.22,1.2,False,15|17,86472600:dH2|86472600:dH8
1,train,2025-04-05T17:00:00-03:00,2025-04-05T18:00:00-03:00,1.2,1.18,False,16,86472600:dH4
1,train,2025-04-05T18:00:00-03:00,2025-04-05T19:00:00-03:00,1.19,1.17,False,16,86472600:dH4
1,train,2025-04-05T21:00:00-03:00,2025-04-05T22:00:00-03:00,1.15,1.14,False,17,86472600:dH8
1,train,2025-04-05T22:00:00-03:00,2025-04-05T23:00:00-03:00,1.14,1.13,False,17,86472600:dH8
1,train,2025-04-06T05:00:00-03:00,2025-04-06T06:00:00-03:00,1.09,1.08,False,18|19|20|21|22|23,86500000:H|86500000:dH0.5|86500000:dH1|86500000:dH2|86500000:dH4|86500000:dH8
1,train,2025-04-06T06:00:00-03:00,2025-04-06T07:00:00-03:00,1.09,1.08,False,20,86500000:dH1
1,train,2025-04-06T07:00:00-03:00,2025-04-06T08:00:00-03:00,1.08,1.09,False,21,86500000:dH2
1,train,2025-04-06T09:00:00-03:00,2025-04-06T10:00:00-03:00,1.1,1.12,False,22,86500000:dH4
1,train,2025-04-06T12:00:00-03:00,2025-04-06T13:00:00-03:00,1.14,1.15,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-06T13:00:00-03:00,2025-04-06T14:00:00-03:00,1.15,1.15,False,14|23,86472600:dH1|86500000:dH8
