horizon_h,phase,subset,feature_index,feature,excluded_missing
1,today,high_target_ge_7m,23,86500000:dH8,0
6,train,all,0,86510000:H,0
6,train,all,1,86510000:dH0.5,10
6,train,all,2,86510000:dH1,11
6,train,all,3,86510000:dH2,14
6,train,all,4,86510000:dH4,17
6,train,all,5,86510000:dH8,21
6,train,all,6,86472000:H,2
6,train,all,7,86472000:dH0.5,2
6,train,all,8,86472000:dH1,4
6,train,all,9,86472000:dH2,4
6,train,all,10,86472000:dH4,4
6,train,all,11,86472000:dH8,5
6,train,all,12,86472600:H,363
6,train,all,13,86472600:dH0.5,364
6,train,all,14,86472600:dH1,421
6,train,all,15,86472600:dH2,462
6,train,all,16,86472600:dH4,498
6,train,all,17,86472600:dH8,548
6,train,all,18,86500000:H,1
6,train,all,19,86500000:dH0.5,2
6,train,all,20,86500000:dH1,3
6,train,all,21,86500000:dH2,4
6,train,all,22,86500000:dH4,4
6,train,all,23,86500000:dH8,5
6,train,high_target_ge_7m,0,86510000:H,0
6,train,high_target_ge_7m,1,86510000:dH0.5,0
6,train,high_target_ge_7m,2,86510000:dH1,1
6,train,high_target_ge_7m,3,86510000:dH2,1
6,train,high_target_ge_7m,4,86510000:dH4,1
6,train,high_target_ge_7m,5,86510000:dH8,1
6,train,high_target_ge_7m,6,86472000:H,0
6,train,high_target_ge_7m,7,86472000:dH0.5,0
6,train,high_target_ge_7m,8,86472000:dH1,0
6,train,high_target_ge_7m,9,86472000:dH2,0
6,train,high_target_ge_7m,10,86472000:dH4,0
6,train,high_target_ge_7m,11,86472000:dH8,0
6,train,high_target_ge_7m,12,86472600:H,48
6,train,high_target_ge_7m,13,86472600:dH0.5,48
6,train,high_target_ge_7m,14,86472600:dH1,50
6,train,high_target_ge_7m,15,86472600:dH2,51
6,train,high_target_ge_7m,16,86472600:dH4,53
6,train,high_target_ge_7m,17,86472600:dH8,57
6,train,high_target_ge_7m,18,86500000:H,0
6,train,high_target_ge_7m,19,86500000:dH0.5,0
6,train,high_target_ge_7m,20,86500000:dH1,0
6,train,high_target_ge_7m,21,86500000:dH2,0
6,train,high_target_ge_7m,22,86500000:dH4,0
6,train,high_target_ge_7m,23,86500000:dH8,0
6,validation,all,0,86510000:H,0
6,validation,all,1,86510000:dH0.5,29
6,validation,all,2,86510000:dH1,39
6,validation,all,3,86510000:dH2,38
6,validation,all,4,86510000:dH4,38
6,validation,all,5,86510000:dH8,39
6,validation,all,6,86472000:H,86
6,validation,all,7,86472000:dH0.5,90
6,validation,all,8,86472000:dH1,101
6,validation,all,9,86472000:dH2,111
6,validation,all,10,86472000:dH4,120
6,validation,all,11,86472000:dH8,132
6,validation,all,12,86472600:H,29
6,validation,all,13,86472600:dH0.5,29
6,validation,all,14,86472600:dH1,49
6,validation,all,15,86472600:dH2,60
6,validation,all,16,86472600:dH4,61
6,validation,all,17,86472600:dH8,62
6,validation,all,18,86500000:H,277
6,validation,all,19,86500000:dH0.5,281
6,validation,all,20,86500000:dH1,287
6,validation,all,21,86500000:dH2,290
6,validation,all,22,86500000:dH4,293
6,validation,all,23,86500000:dH8,297
6,validation,high_target_ge_7m,0,86510000:H,0
6,validation,high_target_ge_7m,1,86510000:dH0.5,0
6,validation,high_target_ge_7m,2,86510000:dH1,0
6,validation,high_target_ge_7m,3,86510000:dH2,0
6,validation,high_target_ge_7m,4,86510000:dH4,0
6,validation,high_target_ge_7m,5,86510000:dH8,0
6,validation,high_target_ge_7m,6,86472000:H,0
6,validation,high_target_ge_7m,7,86472000:dH0.5,0
6,validation,high_target_ge_7m,8,86472000:dH1,0
6,validation,high_target_ge_7m,9,86472000:dH2,0
6,validation,high_target_ge_7m,10,86472000:dH4,0
6,validation,high_target_ge_7m,11,86472000:dH8,0
6,validation,high_target_ge_7m,12,86472600:H,0
6,validation,high_target_ge_7m,13,86472600:dH0.5,0
6,validation,high_target_ge_7m,14,86472600:dH1,0
6,validation,high_target_ge_7m,15,86472600:dH2,0
6,validation,high_target_ge_7m,16,86472600:dH4,0
6,validation,high_target_ge_7m,17,86472600:dH8,0
6,validation,high_target_ge_7m,18,86500000:H,0
6,validation,high_target_ge_7m,19,86500000:dH0.5,0
6,validation,high_target_ge_7m,20,86500000:dH1,0
6,validation,high_target_ge_7m,21,86500000:dH2,0
6,validation,high_target_ge_7m,22,86500000:dH4,0
6,validation,high_target_ge_7m,23,86500000:dH8,0
6,test,all,0,86510000:H,0
6,test,all,1,86510000:dH0.5,1
6,test,all,2,86510000:dH1,5
6,test,all,3,86510000:dH2,7
6,test,all,4,86510000:dH4,10
6,test,all,5,86510000:dH8,14
6,test,all,6,86472000:H,0
6,test,all,7,86472000:dH0.5,1
6,test,all,8,86472000:dH1,1
6,test,all,9,86472000:dH2,2
6,test,all,10,86472000:dH4,4
6,test,all,11,86472000:dH8,8
6,test,all,12,86472600:H,13
6,test,all,13,86472600:dH0.5,14
6,test,all,14,86472600:dH1,20
6,test,all,15,86472600:dH2,25
6,test,all,16,86472600:dH4,30
6,test,all,17,86472600:dH8,37
6,test,all,18,86500000:H,519
6,test,all,19,86500000:dH0.5,520
6,test,all,20,86500000:dH1,521
6,test,all,21,86500000:dH2,523
6,test,all,22,86500000:dH4,527
6,test,all,23,86500000:dH8,531
6,test,high_target_ge_7m,0,86510000:H,0
6,test,high_target_ge_7m,1,86510000:dH0.5,0
6,test,high_target_ge_7m,2,86510000:dH1,1
6,test,high_target_ge_7m,3,86510000:dH2,1
6,test,high_target_ge_7m,4,86510000:dH4,1
6,test,high_target_ge_7m,5,86510000:dH8,1
6,test,high_target_ge_7m,6,86472000:H,0
6,test,high_target_ge_7m,7,86472000:dH0.5,0
6,test,high_target_ge_7m,8,86472000:dH1,0
6,test,high_target_ge_7m,9,86472000:dH2,0
6,test,high_target_ge_7m,10,86472000:dH4,0
6,test,high_target_ge_7m,11,86472000:dH8,0
6,test,high_target_ge_7m,12,86472600:H,0
6,test,high_target_ge_7m,13,86472600:dH0.5,0
6,test,high_target_ge_7m,14,86472600:dH1,0
6,test,high_target_ge_7m,15,86472600:dH2,0
6,test,high_target_ge_7m,16,86472600:dH4,0
6,test,high_target_ge_7m,17,86472600:dH8,0
6,test,high_target_ge_7m,18,86500000:H,81
6,test,high_target_ge_7m,19,86500000:dH0.5,82
6,test,high_target_ge_7m,20,86500000:dH1,83
6,test,high_target_ge_7m,21,86500000:dH2,85
6,test,high_target_ge_7m,22,86500000:dH4,89
6,test,high_target_ge_7m,23,86500000:dH8,92
6,today,all,0,86510000:H,0
6,today,all,1,86510000:dH0.5,0
6,today,all,2,86510000:dH1,0
6,today,all,3,86510000:dH2,0
6,today,all,4,86510000:dH4,0
6,today,all,5,86510000:dH8,0
6,today,all,6,86472000:H,0
6,today,all,7,86472000:dH0.5,0
6,today,all,8,86472000:dH1,0
6,today,all,9,86472000:dH2,0
6,today,all,10,86472000:dH4,0
6,today,all,11,86472000:dH8,0
6,today,all,12,86472600:H,0
6,today,all,13,86472600:dH0.5,0
6,today,all,14,86472600:dH1,0
6,today,all,15,86472600:dH2,0
6,today,all,16,86472600:dH4,0
6,today,all,17,86472600:dH8,0
6,today,all,18,86500000:H,0
6,today,all,19,86500000:dH0.5,0
6,today,all,20,86500000:dH1,0
6,today,all,21,86500000:dH2,0
