id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,plant_name,phase,components_complete,component_sum_m3_s,diagnostic_class,source_file,source_line,source_sha256
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 07:00:00,153.36,119.14,728.87,0.0,0.0,0.0,0.0,6.0,0.0,440.0,Monte Claro,on_or_after_2026_07_01,True,6.0,ZERO_Q_COMPONENT_SUM_GT1_DIAGNOSTIC,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2000,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 08:00:00,153.39,119.32,732.25,0.0,0.0,0.0,0.0,6.0,0.0,442.0,Monte Claro,on_or_after_2026_07_01,True,6.0,ZERO_Q_COMPONENT_SUM_GT1_DIAGNOSTIC,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2001,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 09:00:00,153.28,119.41,719.84,9969.0,0.0,0.0,0.0,6.0,0.0,445.0,Monte Claro,on_or_after_2026_07_01,True,6.0,ZERO_Q_COMPONENT_SUM_GT1_DIAGNOSTIC,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2002,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
