id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,plant_name,phase,components_complete,component_sum_m3_s,diagnostic_class,source_file,source_line,source_sha256
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 01:00:00,152.46,115.58,625.63,6286.0,6232.0,0.0,6227.0,6.0,0.0,410.0,Monte Claro,on_or_after_2026_07_01,True,6233.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1994,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 02:00:00,152.43,116.2,622.13,6909.0,6922.0,0.0,6916.0,6.0,0.0,417.0,Monte Claro,on_or_after_2026_07_01,True,6922.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1995,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 03:00:00,152.69,116.79,652.32,7498.0,7389.0,0.0,7384.0,6.0,0.0,421.0,Monte Claro,on_or_after_2026_07_01,True,7390.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1996,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 04:00:00,153.02,117.47,690.2,8871.0,8734.0,0.0,8728.0,6.0,0.0,425.0,Monte Claro,on_or_after_2026_07_01,True,8734.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1997,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 05:00:00,152.99,118.4,686.78,9561.0,9574.0,0.0,9568.0,6.0,0.0,436.0,Monte Claro,on_or_after_2026_07_01,True,9574.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1998,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 06:00:00,153.21,118.82,711.8,9999.0,9907.0,0.0,9902.0,6.0,0.0,438.0,Monte Claro,on_or_after_2026_07_01,True,9908.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1999,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 07:00:00,153.36,119.14,728.87,0.0,0.0,0.0,0.0,6.0,0.0,440.0,Monte Claro,on_or_after_2026_07_01,True,6.0,ZERO_Q_COMPONENT_SUM_GT1_DIAGNOSTIC,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2000,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 08:00:00,153.39,119.32,732.25,0.0,0.0,0.0,0.0,6.0,0.0,442.0,Monte Claro,on_or_after_2026_07_01,True,6.0,ZERO_Q_COMPONENT_SUM_GT1_DIAGNOSTIC,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2001,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 09:00:00,153.28,119.41,719.84,9969.0,0.0,0.0,0.0,6.0,0.0,445.0,Monte Claro,on_or_after_2026_07_01,True,6.0,ZERO_Q_COMPONENT_SUM_GT1_DIAGNOSTIC,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2002,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 10:00:00,153.21,119.29,711.8,9878.0,9907.0,0.0,9902.0,6.0,0.0,444.0,Monte Claro,on_or_after_2026_07_01,True,9908.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2003,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 11:00:00,153.1,119.12,699.32,9694.0,9740.0,0.0,9734.0,6.0,0.0,443.0,Monte Claro,on_or_after_2026_07_01,True,9740.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2004,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 12:00:00,152.97,118.93,684.5,9490.0,9544.0,0.0,9538.0,6.0,0.0,443.0,Monte Claro,on_or_after_2026_07_01,True,9544.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2005,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 13:00:00,152.81,118.67,666.15,9239.0,9306.0,0.0,9300.0,6.0,0.0,441.0,Monte Claro,on_or_after_2026_07_01,True,9306.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2006,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 14:00:00,152.71,118.41,654.63,9117.0,9159.0,0.0,9153.0,6.0,0.0,439.0,Monte Claro,on_or_after_2026_07_01,True,9159.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2007,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 15:00:00,152.52,118.18,632.62,8804.0,8884.0,0.0,8878.0,6.0,0.0,439.0,Monte Claro,on_or_after_2026_07_01,True,8884.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2008,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 16:00:00,152.3,117.87,606.93,8480.0,8571.0,0.0,8566.0,6.0,0.0,438.0,Monte Claro,on_or_after_2026_07_01,True,8572.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2009,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 17:00:00,152.1,117.55,583.39,8210.0,8293.0,0.0,8288.0,6.0,0.0,436.0,Monte Claro,on_or_after_2026_07_01,True,8294.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2010,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 18:00:00,151.86,117.17,554.93,7856.0,7956.0,0.0,7950.0,6.0,0.0,435.0,Monte Claro,on_or_after_2026_07_01,True,7956.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2011,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 19:00:00,151.65,116.84,529.84,7575.0,7663.0,0.0,7657.0,6.0,0.0,433.0,Monte Claro,on_or_after_2026_07_01,True,7663.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2012,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 20:00:00,151.44,116.49,504.59,7286.0,7374.0,0.0,7368.0,6.0,0.0,432.0,Monte Claro,on_or_after_2026_07_01,True,7374.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2013,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 21:00:00,151.2,116.08,475.58,6951.0,7051.0,0.0,7046.0,6.0,0.0,430.0,Monte Claro,on_or_after_2026_07_01,True,7052.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2014,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 22:00:00,151.02,115.68,453.73,6745.0,6820.0,0.0,6815.0,6.0,0.0,427.0,Monte Claro,on_or_after_2026_07_01,True,6821.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2015,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 23:00:00,150.79,115.42,425.72,6442.0,6538.0,0.0,6533.0,6.0,0.0,427.0,Monte Claro,on_or_after_2026_07_01,True,6539.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2016,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
S ,Sul,Fio dagua                               ,JACUI          ,JIUHMC,MONTE CLARO         ,98,2026-07-22 23:59:00,150.57,115.09,398.89,6186.0,6277.0,0.0,6272.0,6.0,0.0,425.0,Monte Claro,on_or_after_2026_07_01,True,6278.0,NOT_ZERO_Q,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2017,746cb5b5d5b1d5772f99efa0c21daadf861546fb80c2e0fb3a63073f1690698a
