source,lead_h,family,phase,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,0,reference_delta,validation,all,6552,20.089830796709816,2.1619040632188926,50.76036046921607
julho,0,reference_delta,validation,high_flow,28,104.43662294940704,-15.495937397765898,265.7196658667419
julho,0,reference_delta,test,all,1968,46.27849378837248,0.31924112300384205,127.88659839479827
julho,0,reference_delta,test,high_flow,271,118.19237747447443,-14.073156646539523,248.89068917657698
julho,0,weighted_delta,validation,all,6552,20.12102336268584,1.836751830782345,50.67537683691087
julho,0,weighted_delta,validation,high_flow,28,104.46909455494297,-15.7134137174119,265.6531864733213
julho,0,weighted_delta,test,all,1968,46.27548783357085,0.2797140033269979,127.89027301683883
julho,0,weighted_delta,test,high_flow,271,118.19400189247868,-14.097228378052089,248.90455654904554
julho,0,reference_absolute,validation,all,6552,169.01265470419634,166.66063477734312,225.80976526942095
julho,0,reference_absolute,validation,high_flow,28,284.6715321317505,257.24498949601514,387.8531339324938
julho,0,reference_absolute,test,all,1968,103.2607342003303,74.64646229489709,195.4666204428478
julho,0,reference_absolute,test,high_flow,271,172.12709185803618,3.6008007624816845,271.9966685220878
julho,0,weighted_absolute,validation,all,6552,38.730399882603365,11.511040466300337,84.52877976603392
julho,0,weighted_absolute,validation,high_flow,28,194.96269739444125,150.12942144772663,306.4501093628218
julho,0,weighted_absolute,test,all,1968,75.52343228593918,9.9811525186726,152.86760114830506
julho,0,weighted_absolute,test,high_flow,271,160.25948817089397,-35.69679174246795,261.04795674830484
julho,1,reference_delta,validation,all,6551,37.08286033730727,4.681780181140661,93.7770120826632
julho,1,reference_delta,validation,high_flow,28,162.42744802633683,-21.6760541688351,358.83128016728415
julho,1,reference_delta,test,all,1967,82.7616322730008,0.6952702122812783,229.5143935248307
julho,1,reference_delta,test,high_flow,271,206.87023845505792,-32.3224648128019,354.16347045920827
julho,1,weighted_delta,validation,all,6551,37.143015225732455,3.5318750474143648,93.6633396985283
julho,1,weighted_delta,validation,high_flow,28,162.54816237987373,-22.46883810142081,359.0501355572881
julho,1,weighted_delta,test,all,1967,82.73691359420884,0.4239620359466427,229.56827884229887
