source,lead_h,family,phase,training_n,weighted_mean_residual_m3_s_before_clipping
julho,9,reference_absolute,test,10933,66.08011780122074
julho,9,reference_absolute,current,12901,132.18800289906022
julho,9,weighted_absolute,validation,4381,1.511383931336433e-13
julho,9,weighted_absolute,test,10933,-6.2111399840539e-12
julho,9,weighted_absolute,current,12901,-3.32468835178689e-12
julho,10,reference_delta,validation,4380,15.915520168080517
julho,10,reference_delta,test,10932,6.134413172037515
julho,10,reference_delta,current,12900,8.929360613390102
julho,10,weighted_delta,validation,4380,3.858133196012238e-13
julho,10,weighted_delta,test,10932,8.581863308447878e-13
julho,10,weighted_delta,current,12900,-1.0380799481778609e-11
julho,10,reference_absolute,validation,4380,142.30321318024454
julho,10,reference_absolute,test,10932,65.33040991991805
julho,10,reference_absolute,current,12900,130.95519827940754
julho,10,weighted_absolute,validation,4380,1.7648170591529555e-12
julho,10,weighted_absolute,test,10932,-2.3664868924966998e-11
julho,10,weighted_absolute,current,12900,-7.571529894267615e-13
julho,11,reference_delta,validation,4379,17.70307063600155
julho,11,reference_delta,test,10931,6.69293410461302
julho,11,reference_delta,current,12899,9.721981449710933
julho,11,weighted_delta,validation,4379,2.12377945711271e-13
julho,11,weighted_delta,test,10931,2.8515661297546414e-12
julho,11,weighted_delta,current,12899,-6.296015038942928e-13
julho,11,reference_absolute,validation,4379,141.0965721590353
julho,11,reference_absolute,test,10931,64.47376409738254
julho,11,reference_absolute,current,12899,129.49303516746525
julho,11,weighted_absolute,validation,4379,1.799826141371967e-12
julho,11,weighted_absolute,test,10931,-3.6311127030713598e-12
julho,11,weighted_absolute,current,12899,9.303759576809801e-12
carreiro,0,reference_delta,validation,4384,-1.6397568623284417e-15
carreiro,0,reference_delta,test,10637,2.446780413159277e-14
carreiro,0,reference_delta,current,12340,2.906912959938315e-13
carreiro,0,weighted_delta,validation,4384,-1.6397568623284417e-15
carreiro,0,weighted_delta,test,10637,2.446780413159277e-14
carreiro,0,weighted_delta,current,12340,2.906912959938315e-13
carreiro,0,reference_absolute,validation,4384,1.3168703759239995e-14
carreiro,0,reference_absolute,test,10637,6.957968197199534e-13
carreiro,0,reference_absolute,current,12340,-1.3912875893681864e-13
carreiro,0,weighted_absolute,validation,4384,1.3168703759239995e-14
carreiro,0,weighted_absolute,test,10637,6.957968197199534e-13
carreiro,0,weighted_absolute,current,12340,-1.3912875893681864e-13
carreiro,1,reference_delta,validation,4383,-7.244439540104832e-15
carreiro,1,reference_delta,test,10635,9.090570849493054e-14
carreiro,1,reference_delta,current,12334,1.4697358153137308e-13
carreiro,1,weighted_delta,validation,4383,-7.244439540104832e-15
carreiro,1,weighted_delta,test,10635,9.090570849493054e-14
carreiro,1,weighted_delta,current,12334,1.4697358153137308e-13
carreiro,1,reference_absolute,validation,4383,1.570472907295453e-14
carreiro,1,reference_absolute,test,10635,7.606515323581326e-13
carreiro,1,reference_absolute,current,12334,-2.7659261472905634e-13
carreiro,1,weighted_absolute,validation,4383,1.570472907295453e-14
carreiro,1,weighted_absolute,test,10635,7.606515323581326e-13
carreiro,1,weighted_absolute,current,12334,-2.7659261472905634e-13
carreiro,2,reference_delta,validation,4382,-1.1654554799807668e-14
carreiro,2,reference_delta,test,10633,1.5235939410636964e-13
carreiro,2,reference_delta,current,12328,1.3868782105148775e-13
carreiro,2,weighted_delta,validation,4382,-1.1654554799807668e-14
carreiro,2,weighted_delta,test,10633,1.5235939410636964e-13
carreiro,2,weighted_delta,current,12328,1.3868782105148775e-13
carreiro,2,reference_absolute,validation,4382,-5.472573558170557e-15
carreiro,2,reference_absolute,test,10633,7.587063468575414e-13
carreiro,2,reference_absolute,current,12328,-2.708915361836852e-13
carreiro,2,weighted_absolute,validation,4382,-5.472573558170557e-15
carreiro,2,weighted_absolute,test,10633,7.587063468575414e-13
carreiro,2,weighted_absolute,current,12328,-2.708915361836852e-13
carreiro,3,reference_delta,validation,4381,-1.1910632768176754e-14
carreiro,3,reference_delta,test,10630,2.1097370740760264e-13
carreiro,3,reference_delta,current,12321,1.3022435802193622e-13
carreiro,3,weighted_delta,validation,4381,-1.1910632768176754e-14
carreiro,3,weighted_delta,test,10630,2.1097370740760264e-13
carreiro,3,weighted_delta,current,12321,1.3022435802193622e-13
carreiro,3,reference_absolute,validation,4381,-7.29843029198916e-15
carreiro,3,reference_absolute,test,10630,8.29272889513052e-13
carreiro,3,reference_absolute,current,12321,-2.5792568668834087e-13
carreiro,3,weighted_absolute,validation,4381,-7.29843029198916e-15
carreiro,3,weighted_absolute,test,10630,8.29272889513052e-13
carreiro,3,weighted_absolute,current,12321,-2.5792568668834087e-13
carreiro,4,reference_delta,validation,4380,-1.2369608128243754e-14
carreiro,4,reference_delta,test,10627,2.555800891543223e-13
carreiro,4,reference_delta,current,12314,1.186497888912381e-13
carreiro,4,weighted_delta,validation,4380,-1.2369608128243754e-14
carreiro,4,weighted_delta,test,10627,2.555800891543223e-13
carreiro,4,weighted_delta,current,12314,1.186497888912381e-13
carreiro,4,reference_absolute,validation,4380,-7.502877061393752e-15
carreiro,4,reference_absolute,test,10627,8.458046115898436e-13
carreiro,4,reference_absolute,current,12314,-2.7213717537181847e-13
carreiro,4,weighted_absolute,validation,4380,-7.502877061393752e-15
carreiro,4,weighted_absolute,test,10627,8.458046115898436e-13
carreiro,4,weighted_absolute,current,12314,-2.7213717537181847e-13
carreiro,5,reference_delta,validation,4379,-1.2423139576760144e-14
carreiro,5,reference_delta,test,10625,2.899014361901209e-13
carreiro,5,reference_delta,current,12309,1.1635288827414508e-13
carreiro,5,weighted_delta,validation,4379,-1.2423139576760144e-14
carreiro,5,weighted_delta,test,10625,2.899014361901209e-13
carreiro,5,weighted_delta,current,12309,1.1635288827414508e-13
carreiro,5,reference_absolute,validation,4379,1.338656672761093e-14
carreiro,5,reference_absolute,test,10625,9.537155379161156e-13
carreiro,5,reference_absolute,current,12309,-2.63011645122021e-13
carreiro,5,weighted_absolute,validation,4379,1.338656672761093e-14
carreiro,5,weighted_absolute,test,10625,9.537155379161156e-13
carreiro,5,weighted_absolute,current,12309,-2.63011645122021e-13
carreiro,6,reference_delta,validation,4378,-1.105658379937342e-14
carreiro,6,reference_delta,test,10623,3.147042804999785e-13
carreiro,6,reference_delta,current,12304,9.369762587538707e-14
carreiro,6,weighted_delta,validation,4378,-1.105658379937342e-14
carreiro,6,weighted_delta,test,10623,3.147042804999785e-13
carreiro,6,weighted_delta,current,12304,9.369762587538707e-14
carreiro,6,reference_absolute,validation,4378,-2.028730972362095e-15
carreiro,6,reference_absolute,test,10623,9.788941859972762e-13
carreiro,6,reference_absolute,current,12304,-2.800100853394657e-13
carreiro,6,weighted_absolute,validation,4378,-2.028730972362095e-15
carreiro,6,weighted_absolute,test,10623,9.788941859972762e-13
carreiro,6,weighted_absolute,current,12304,-2.800100853394657e-13
carreiro,7,reference_delta,validation,4377,-9.537214010944913e-15
carreiro,7,reference_delta,test,10622,3.317917500819146e-13
carreiro,7,reference_delta,current,12300,5.578193733482494e-14
carreiro,7,weighted_delta,validation,4377,-9.537214010944913e-15
carreiro,7,weighted_delta,test,10622,3.317917500819146e-13
carreiro,7,weighted_delta,current,12300,5.578193733482494e-14
carreiro,7,reference_absolute,validation,4377,4.870066728993147e-15
carreiro,7,reference_absolute,test,10622,9.926995103257284e-13
carreiro,7,reference_absolute,current,12300,-3.1660311229066657e-13
carreiro,7,weighted_absolute,validation,4377,4.870066728993147e-15
carreiro,7,weighted_absolute,test,10622,9.926995103257284e-13
carreiro,7,weighted_absolute,current,12300,-3.1660311229066657e-13
