source,lead_h,family,forecast_m3_s
julho,0,reference_delta,7654.782449540934
julho,0,weighted_delta,7654.812393839987
julho,0,reference_absolute,7466.660227801616
julho,0,weighted_absolute,7494.928271700748
julho,1,reference_delta,9809.952410809385
julho,1,weighted_delta,9810.252233914895
julho,1,reference_absolute,9577.28160342556
julho,1,weighted_absolute,9649.030991376098
julho,2,reference_delta,12021.006273334155
julho,2,weighted_delta,12021.999048118498
julho,2,reference_absolute,11764.433189016061
julho,2,weighted_absolute,11873.578216380984
julho,3,reference_delta,14124.276615170153
julho,3,weighted_delta,14126.250470541636
julho,3,reference_absolute,13860.456898187165
julho,3,weighted_absolute,13992.773138063272
julho,4,reference_delta,15828.336717375007
julho,4,weighted_delta,15830.884873091043
julho,4,reference_absolute,15596.159828233102
julho,4,weighted_absolute,15718.605018271086
julho,5,reference_delta,17072.03311175646
julho,5,weighted_delta,17075.58759779894
julho,5,reference_absolute,16823.96916942429
julho,5,weighted_absolute,16950.68257507677
julho,6,reference_delta,17987.50060780695
julho,6,weighted_delta,17991.765930451755
julho,6,reference_absolute,17758.32652059106
julho,6,weighted_absolute,17876.221928268194
julho,7,reference_delta,18800.445890045885
julho,7,weighted_delta,18805.448099886635
julho,7,reference_absolute,18573.09259348463
julho,7,weighted_absolute,18686.441960088843
julho,8,reference_delta,19390.63366425061
julho,8,weighted_delta,19396.164589813274
julho,8,reference_absolute,19164.04171413561
julho,8,weighted_absolute,19270.091636075806
julho,9,reference_delta,19669.392245764797
julho,9,weighted_delta,19676.134598916407
julho,9,reference_absolute,19432.673544614525
julho,9,weighted_absolute,19543.74006857703
julho,10,reference_delta,19606.920841153566
julho,10,weighted_delta,19613.844495709494
julho,10,reference_absolute,19364.63221186222
julho,10,weighted_absolute,19466.172355098846
julho,11,reference_delta,19341.990056527215
julho,11,weighted_delta,19349.349004775137
julho,11,reference_absolute,19091.764304959615
julho,11,weighted_absolute,19189.782651201993
carreiro,0,reference_delta,519.1931827892837
carreiro,0,weighted_delta,519.1931827892837
carreiro,0,reference_absolute,716.980364601443
carreiro,0,weighted_absolute,716.980364601443
carreiro,1,reference_delta,855.3851071321053
carreiro,1,weighted_delta,855.3851071321053
carreiro,1,reference_absolute,1054.6523344738466
carreiro,1,weighted_absolute,1054.6523344738466
carreiro,2,reference_delta,1162.2148023633265
carreiro,2,weighted_delta,1162.2148023633265
carreiro,2,reference_absolute,1363.8491764823984
carreiro,2,weighted_absolute,1363.8491764823984
carreiro,3,reference_delta,1436.9240996094682
carreiro,3,weighted_delta,1436.9240996094682
carreiro,3,reference_absolute,1640.8465791261826
carreiro,3,weighted_absolute,1640.8465791261826
carreiro,4,reference_delta,1506.972380187202
carreiro,4,weighted_delta,1506.972380187202
carreiro,4,reference_absolute,1714.5827893575788
carreiro,4,weighted_absolute,1714.5827893575788
carreiro,5,reference_delta,1381.9671803269998
carreiro,5,weighted_delta,1381.9671803269998
carreiro,5,reference_absolute,1591.830380413105
carreiro,5,weighted_absolute,1591.830380413105
carreiro,6,reference_delta,1449.5260967990143
carreiro,6,weighted_delta,1449.5260967990143
carreiro,6,reference_absolute,1661.4807236527004
carreiro,6,weighted_absolute,1661.4807236527004
carreiro,7,reference_delta,1363.6239459340134
carreiro,7,weighted_delta,1363.6239459340134
carreiro,7,reference_absolute,1572.3097375444129
carreiro,7,weighted_absolute,1572.3097375444129
carreiro,8,reference_delta,1646.6757042123277
carreiro,8,weighted_delta,1646.6757042123277
carreiro,8,reference_absolute,1853.6343898253967
carreiro,8,weighted_absolute,1853.6343898253967
carreiro,9,reference_delta,1567.2646349035494
carreiro,9,weighted_delta,1567.2646349035494
carreiro,9,reference_absolute,1774.2061046916506
carreiro,9,weighted_absolute,1774.2061046916506
carreiro,10,reference_delta,1560.4688468567358
carreiro,10,weighted_delta,1560.4688468567358
carreiro,10,reference_absolute,1771.8313998194758
carreiro,10,weighted_absolute,1771.8313998194758
carreiro,11,reference_delta,1781.2114130118036
carreiro,11,weighted_delta,1781.2114130118036
carreiro,11,reference_absolute,1990.3816256188418
carreiro,11,weighted_absolute,1990.3816256188418
