window,horizon_h,origin,target_time,base_time,base_m,target_m,response_m,above_current_training_max,target_ge7_in_source_reference,all_6_QI_present,all_6_levels_present,zero_defluent_positive_components,plants_unavailable_by_time
2020,1,2020-06-01T00:00:00-03:00,2020-06-01T01:00:00-03:00,2020-05-31T23:45:00-03:00,,0.84,,False,False,False,False,0,3
2020,1,2020-06-01T01:00:00-03:00,2020-06-01T02:00:00-03:00,2020-06-01T00:45:00-03:00,0.84,0.83,-0.010000000000000009,False,False,False,False,0,3
2020,1,2020-06-01T02:00:00-03:00,2020-06-01T03:00:00-03:00,2020-06-01T01:45:00-03:00,0.84,0.83,-0.010000000000000009,False,False,False,False,0,3
2020,1,2020-06-01T03:00:00-03:00,2020-06-01T04:00:00-03:00,2020-06-01T02:45:00-03:00,0.83,0.83,0.0,False,False,False,False,0,3
2020,1,2020-06-01T04:00:00-03:00,2020-06-01T05:00:00-03:00,2020-06-01T03:45:00-03:00,0.83,0.83,0.0,False,False,False,False,0,3
2020,1,2020-06-01T05:00:00-03:00,2020-06-01T06:00:00-03:00,2020-06-01T04:45:00-03:00,0.83,0.84,0.010000000000000009,False,False,False,False,0,3
2020,1,2020-06-01T06:00:00-03:00,2020-06-01T07:00:00-03:00,2020-06-01T05:45:00-03:00,0.83,0.85,0.020000000000000018,False,False,False,False,0,3
2020,1,2020-06-01T07:00:00-03:00,2020-06-01T08:00:00-03:00,2020-06-01T06:45:00-03:00,0.84,0.87,0.030000000000000027,False,False,False,False,0,3
2020,1,2020-06-01T08:00:00-03:00,2020-06-01T09:00:00-03:00,2020-06-01T07:45:00-03:00,0.86,0.9,0.040000000000000036,False,False,False,False,0,3
2020,1,2020-06-01T09:00:00-03:00,2020-06-01T10:00:00-03:00,2020-06-01T08:45:00-03:00,0.89,0.93,0.040000000000000036,False,False,False,False,0,3
2020,1,2020-06-01T10:00:00-03:00,2020-06-01T11:00:00-03:00,2020-06-01T09:45:00-03:00,0.93,0.96,0.029999999999999916,False,False,False,False,0,3
2020,1,2020-06-01T11:00:00-03:00,2020-06-01T12:00:00-03:00,2020-06-01T10:45:00-03:00,0.95,0.96,0.010000000000000009,False,False,False,False,0,3
