plant,field,origin,delayed_cutoff,source_literal_time,source_time_assumed_UTC_minus3,source_file,source_line,raw_value,value_m,age_after_delay_minutes,total_age_at_origin_minutes,reason,older_finite_not_used
julho,val_nivelmontante,2025-04-01T00:00:00-03:00,2025-03-31T23:00:00-03:00,,,,,,,,,no_prior_record,
julho,val_nivelmontante,2025-04-01T01:00:00-03:00,2025-04-01T00:00:00-03:00,,,,,,,,,no_prior_record,
julho,val_nivelmontante,2025-05-30T02:00:00-03:00,2025-05-30T01:00:00-03:00,2025-05-30 01:00:00,2025-05-30T01:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,698,,,0.0,60.0,newest_nonfinite,2025-05-29T23:59:00-03:00
julho,val_nivelmontante,2026-09-21T14:00:00-03:00,2026-09-21T13:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,492,105.39,,120.0,180.0,expired_after_delayed_cutoff,
julho,val_nivelmontante,2026-09-21T15:00:00-03:00,2026-09-21T14:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,492,105.39,,180.0,240.0,expired_after_delayed_cutoff,
julho,val_niveljusante,2025-04-01T00:00:00-03:00,2025-03-31T23:00:00-03:00,,,,,,,,,no_prior_record,
julho,val_niveljusante,2025-04-01T01:00:00-03:00,2025-04-01T00:00:00-03:00,,,,,,,,,no_prior_record,
julho,val_niveljusante,2026-09-21T14:00:00-03:00,2026-09-21T13:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,492,72.75,,120.0,180.0,expired_after_delayed_cutoff,
julho,val_niveljusante,2026-09-21T15:00:00-03:00,2026-09-21T14:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,492,72.75,,180.0,240.0,expired_after_delayed_cutoff,
monte,val_nivelmontante,2025-04-01T00:00:00-03:00,2025-03-31T23:00:00-03:00,,,,,,,,,no_prior_record,
monte,val_nivelmontante,2025-04-01T01:00:00-03:00,2025-04-01T00:00:00-03:00,,,,,,,,,no_prior_record,
monte,val_nivelmontante,2025-05-30T03:00:00-03:00,2025-05-30T02:00:00-03:00,2025-05-29 23:59:00,2025-05-29T23:59:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,2184,148.8,,121.0,181.0,expired_after_delayed_cutoff,
monte,val_nivelmontante,2026-09-21T14:00:00-03:00,2026-09-21T13:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,1474,149.87,,120.0,180.0,expired_after_delayed_cutoff,
monte,val_nivelmontante,2026-09-21T15:00:00-03:00,2026-09-21T14:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,1474,149.87,,180.0,240.0,expired_after_delayed_cutoff,
monte,val_niveljusante,2025-04-01T00:00:00-03:00,2025-03-31T23:00:00-03:00,,,,,,,,,no_prior_record,
monte,val_niveljusante,2025-04-01T01:00:00-03:00,2025-04-01T00:00:00-03:00,,,,,,,,,no_prior_record,
monte,val_niveljusante,2025-05-30T03:00:00-03:00,2025-05-30T02:00:00-03:00,2025-05-29 23:59:00,2025-05-29T23:59:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,2184,107.47,,121.0,181.0,expired_after_delayed_cutoff,
monte,val_niveljusante,2026-09-21T14:00:00-03:00,2026-09-21T13:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,1474,111.31,,120.0,180.0,expired_after_delayed_cutoff,
monte,val_niveljusante,2026-09-21T15:00:00-03:00,2026-09-21T14:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,1474,111.31,,180.0,240.0,expired_after_delayed_cutoff,
castro,val_nivelmontante,2025-04-01T00:00:00-03:00,2025-03-31T23:00:00-03:00,,,,,,,,,no_prior_record,
castro,val_nivelmontante,2025-04-01T01:00:00-03:00,2025-04-01T00:00:00-03:00,,,,,,,,,no_prior_record,
castro,val_nivelmontante,2026-09-21T14:00:00-03:00,2026-09-21T13:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,983,242.21,,120.0,180.0,expired_after_delayed_cutoff,
castro,val_nivelmontante,2026-09-21T15:00:00-03:00,2026-09-21T14:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,983,242.21,,180.0,240.0,expired_after_delayed_cutoff,
castro,val_niveljusante,2025-04-01T00:00:00-03:00,2025-03-31T23:00:00-03:00,,,,,,,,,no_prior_record,
castro,val_niveljusante,2025-04-01T01:00:00-03:00,2025-04-01T00:00:00-03:00,,,,,,,,,no_prior_record,
castro,val_niveljusante,2026-09-21T14:00:00-03:00,2026-09-21T13:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,983,150.78,,120.0,180.0,expired_after_delayed_cutoff,
castro,val_niveljusante,2026-09-21T15:00:00-03:00,2026-09-21T14:00:00-03:00,2026-09-21 11:00:00,2026-09-21T11:00:00-03:00,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,983,150.78,,180.0,240.0,expired_after_delayed_cutoff,
