source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,1140.0,13.8
86099000,2026-09-22T02:00:00-03:00,60.0,3.84
86102000,2026-09-21T10:00:00-03:00,1020.0,7.51
86117000,2026-09-22T02:00:00-03:00,60.0,2.0
86125000,2026-09-21T11:59:00-03:00,901.0,0.8412999999999999
86125050,2026-09-22T02:00:00-03:00,60.0,1.49
86160000,2026-09-22T02:45:00-03:00,15.0,4.07
86163000,2026-09-22T01:00:00-03:00,120.0,1.28
86200900,2026-09-21T12:00:00-03:00,900.0,667.03
86280500,2026-09-22T02:00:00-03:00,60.0,4.5062999999999995
86298000,2026-09-21T19:00:00-03:00,480.0,12.71
86403000,2026-09-22T02:00:00-03:00,60.0,8.03
86410800,2026-09-22T02:00:00-03:00,60.0,0.09
86447000,2026-09-22T02:00:00-03:00,60.0,4.63
86448000,2026-09-21T19:00:00-03:00,480.0,153.55
86450000,2026-09-22T00:30:00-03:00,150.0,20.09
86471000,2026-09-22T02:30:00-03:00,30.0,4.88
86472000,2026-09-22T02:30:00-03:00,30.0,19.82
86472600,2026-09-22T02:45:00-03:00,15.0,17.02
86479000,2026-09-22T02:00:00-03:00,60.0,0.13
86488000,2026-09-22T01:00:00-03:00,120.0,1.99
86493000,2026-09-22T02:00:00-03:00,60.0,371.75
86495500,2026-09-22T02:00:00-03:00,60.0,330.28
86500000,2026-09-22T02:30:00-03:00,30.0,3.915
86504900,2026-09-22T02:00:00-03:00,60.0,5.49
86505500,2026-09-22T02:00:00-03:00,60.0,1.15
86510000,2026-09-22T02:45:00-03:00,15.0,18.67
julho,2026-09-22T03:00:00-03:00,0.0,10285.63
monte,2026-09-22T03:00:00-03:00,0.0,9289.69
castro,2026-09-22T03:00:00-03:00,0.0,5858.04
