phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,1,all,full_schedule,observed_control,6551,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.022013911700025222,0.004282256256655598,0.11681982649743483,0.5943960587357431
validation,1,all,full_schedule,augmented,6551,6517,6479,38,6479,1.0,0.9941690962099126,0.026289272591172357,0.005456571638527448,0.22019165238482213,0.4945450531851283
validation,1,all,full_schedule,core_original,6551,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.021943131615878735,0.0015330803806994737,0.11246124795974899,0.638225862912835
validation,1,all,full_schedule,core_augmented,6551,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.024789589816672432,0.0022303754042995788,0.13584669725279827,0.6577321320665745
validation,1,all,complete24,observed_control,5912,5891,5891,0,5890,0.9998302495331862,0.9998302495331862,0.01850954847976383,0.0010709660990267794,0.09500859502592271,0.5943960587357431
validation,1,all,complete24,augmented,5912,5891,5891,0,5891,1.0,1.0,0.02543636467386186,0.005604378326667997,0.22283891463568167,0.4945450531851283
validation,1,all,complete24,core_original,5912,5891,5891,0,5891,1.0,1.0,0.020642855020786374,0.001115209724396024,0.10353009399256478,0.4473921618083496
validation,1,all,complete24,core_augmented,5912,5891,5891,0,5891,1.0,1.0,0.02336074282704629,0.0021913358302815687,0.12738575331559093,0.4700358922006549
validation,1,all,missing24,observed_control,639,626,588,38,588,1.0,0.939297124600639,0.057123101717984216,0.036455232988953847,0.18038087655427343,0.40240299407220514
validation,1,all,missing24,augmented,639,626,588,38,588,1.0,0.939297124600639,0.034834307524635184,0.003975739666017294,0.19256397203871078,0.4319925848192707
validation,1,all,missing24,core_original,639,626,588,38,587,0.9982993197278912,0.9376996805111821,0.03497022246909152,0.005719604251930121,0.18405001653651126,0.638225862912835
validation,1,all,missing24,core_augmented,639,626,588,38,587,0.9982993197278912,0.9376996805111821,0.03910478984369221,0.0026215014766466822,0.1877425481311143,0.6577321320665745
validation,1,level_ge_7m,full_schedule,observed_control,6551,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
validation,1,level_ge_7m,full_schedule,augmented,6551,28,28,0,28,1.0,1.0,0.07586753928089005,0.04817294736848624,0.23597821968722388,0.2844677981726562
validation,1,level_ge_7m,full_schedule,core_original,6551,28,28,0,28,1.0,1.0,0.07053470926401026,0.014362662357881004,0.17481136237806227,0.18425926240222523
validation,1,level_ge_7m,full_schedule,core_augmented,6551,28,28,0,28,1.0,1.0,0.06020004405401199,0.01468755194077739,0.1542124004730363,0.16246581788822922
validation,1,level_ge_7m,complete24,observed_control,5912,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
validation,1,level_ge_7m,complete24,augmented,5912,28,28,0,28,1.0,1.0,0.07586753928089005,0.04817294736848624,0.23597821968722388,0.2844677981726562
validation,1,level_ge_7m,complete24,core_original,5912,28,28,0,28,1.0,1.0,0.07053470926401026,0.014362662357881004,0.17481136237806227,0.18425926240222523
validation,1,level_ge_7m,complete24,core_augmented,5912,28,28,0,28,1.0,1.0,0.06020004405401199,0.01468755194077739,0.1542124004730363,0.16246581788822922
validation,1,level_ge_7m,missing24,observed_control,639,0,0,0,0,,,,,,
validation,1,level_ge_7m,missing24,augmented,639,0,0,0,0,,,,,,
validation,1,level_ge_7m,missing24,core_original,639,0,0,0,0,,,,,,
validation,1,level_ge_7m,missing24,core_augmented,639,0,0,0,0,,,,,,
validation,2,all,full_schedule,observed_control,6550,6516,6477,39,6466,0.9983016828778756,0.9923265807243707,0.03193842446827068,0.003102399367981166,0.16324216087463073,1.3024086910998092
