phase,horizon_h,family,original_n,added_n,n,features,original_targets_ge_7m,added_targets_ge_7m,weight_sum,response_min_m,response_max_m,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,10,core_augmented,4350,485,4835,33,227,47,6453,-2.789999999999999,12.030000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,10,core_original,10818,0,10818,33,255,0,13556,-2.789999999999999,7.469999999999999,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,10,core_augmented,10818,485,11303,33,255,47,14173,-2.789999999999999,12.030000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,11,core_original,4349,0,4349,33,227,0,5927,-3.0199999999999996,7.789999999999999,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,11,core_augmented,4349,483,4832,33,227,46,6560,-3.0199999999999996,12.350000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,11,core_original,10817,0,10817,33,255,0,13701,-3.0199999999999996,7.789999999999999,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,11,core_augmented,10817,483,11300,33,255,46,14334,-3.0199999999999996,12.350000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,12,core_original,4348,0,4348,33,227,0,6004,-3.26,8.09,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,12,core_augmented,4348,481,4829,33,227,45,6667,-3.26,12.59,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,12,core_original,10814,0,10814,33,255,0,13812,-3.26,8.09,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,12,core_augmented,10814,481,11295,33,255,45,14475,-3.26,12.59,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
