horizon_h,subset,population,family,observed_targets,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,all,individual,reference,1944,1938,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
1,all,individual,candidate,1944,1938,1889,0.9747162022703818,0.13816216264537945,0.004892223011354731,0.33808667884870325,0.5255525394998821,1.3363363795546643
1,all,common,reference,1944,1938,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
1,all,common,candidate,1944,1938,1889,0.9747162022703818,0.13816216264537945,0.004892223011354731,0.33808667884870325,0.5255525394998821,1.3363363795546643
1,high,individual,reference,237,235,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
1,high,individual,candidate,237,235,214,0.9106382978723404,0.20853077947773965,0.09189145341757222,0.48987211708065,0.785805350933425,1.3363363795546643
1,high,common,reference,237,235,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
1,high,common,candidate,237,235,214,0.9106382978723404,0.20853077947773965,0.09189145341757222,0.48987211708065,0.785805350933425,1.3363363795546643
2,all,individual,reference,1943,1935,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,all,individual,candidate,1943,1935,1720,0.8888888888888888,0.21099666608764686,0.009809654825633243,0.5215434622693315,0.7981676972748423,2.1256756873033744
2,all,common,reference,1943,1935,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,all,common,candidate,1943,1935,1720,0.8888888888888888,0.21099666608764686,0.009809654825633243,0.5215434622693315,0.7981676972748423,2.1256756873033744
2,high,individual,reference,237,235,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
2,high,individual,candidate,237,235,174,0.7404255319148936,0.3331869545706009,0.15053496419142562,0.7585419774609832,1.0025637713010764,2.1256756873033744
2,high,common,reference,237,235,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
2,high,common,candidate,237,235,174,0.7404255319148936,0.3331869545706009,0.15053496419142562,0.7585419774609832,1.0025637713010764,2.1256756873033744
3,all,individual,reference,1942,1932,1636,0.8467908902691511,0.26250735407284537,0.014924771631008655,0.6129691346880035,1.026676685192298,2.769956886268055
3,all,individual,candidate,1942,1932,1641,0.8493788819875776,0.2600877343435711,0.01517224718193744,0.607058575050205,0.9884458223747803,2.769956886268055
3,all,common,reference,1942,1932,1636,0.8467908902691511,0.26250735407284537,0.014924771631008655,0.6129691346880035,1.026676685192298,2.769956886268055
3,all,common,candidate,1942,1932,1641,0.8493788819875776,0.2600877343435711,0.01517224718193744,0.607058575050205,0.9884458223747803,2.769956886268055
3,high,individual,reference,237,235,155,0.6595744680851063,0.4569948122650997,0.19674164872568917,1.0668734186132909,1.2921763492409757,2.769956886268055
3,high,individual,candidate,237,235,160,0.6808510638297872,0.4371024492142151,0.19877621368055903,0.9878584294967026,1.2921763492409757,2.769956886268055
3,high,common,reference,237,235,155,0.6595744680851063,0.4569948122650997,0.19674164872568917,1.0668734186132909,1.2921763492409757,2.769956886268055
3,high,common,candidate,237,235,160,0.6808510638297872,0.4371024492142151,0.19877621368055903,0.9878584294967026,1.2921763492409757,2.769956886268055
4,all,individual,reference,1941,1930,1569,0.8129533678756476,0.2995723727564162,0.019625429642427333,0.6660606934286432,1.2339447653547935,3.146640556692857
4,all,individual,candidate,1941,1930,1573,0.8150259067357513,0.2948745569844918,0.02023256199314749,0.6564412588163413,1.1649752777935556,3.146640556692857
4,all,common,reference,1941,1930,1569,0.8129533678756476,0.2995723727564162,0.019625429642427333,0.6660606934286432,1.2339447653547935,3.146640556692857
4,all,common,candidate,1941,1930,1573,0.8150259067357513,0.2948745569844918,0.02023256199314749,0.6564412588163413,1.1649752777935556,3.146640556692857
4,high,individual,reference,237,235,138,0.5872340425531914,0.5635638456977866,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857
4,high,individual,candidate,237,235,142,0.6042553191489362,0.5249817842517689,0.2369089122371077,1.214769502186788,1.5725683656290128,3.146640556692857
4,high,common,reference,237,235,138,0.5872340425531914,0.5635638456977866,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857
4,high,common,candidate,237,235,142,0.6042553191489362,0.5249817842517689,0.2369089122371077,1.214769502186788,1.5725683656290128,3.146640556692857
5,all,individual,reference,1940,1928,1519,0.7878630705394191,0.33217603391990747,0.02417924037647078,0.6984231882137162,1.4041430489720987,3.210054029360098
5,all,individual,candidate,1940,1928,1522,0.7894190871369294,0.32482728762291957,0.025297308224410425,0.6898803208467821,1.3261611943270126,3.210054029360098
5,all,common,reference,1940,1928,1519,0.7878630705394191,0.33217603391990747,0.02417924037647078,0.6984231882137162,1.4041430489720987,3.210054029360098
5,all,common,candidate,1940,1928,1522,0.7894190871369294,0.32482728762291957,0.025297308224410425,0.6898803208467821,1.3261611943270126,3.210054029360098
5,high,individual,reference,237,235,131,0.5574468085106383,0.6633782520447192,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098
5,high,individual,candidate,237,235,134,0.5702127659574469,0.6030872611485799,0.2625909680310983,1.3980561593591398,1.8535309732831855,3.210054029360098
