origin,horizon_h,family,recomputed_m,saved_m,difference_m
2026-07-01T00:00:00-03:00,1,reference,4.502797969511366,4.502797969511366,0.0
2026-07-01T00:00:00-03:00,1,candidate,4.502797969511366,4.502797969511366,0.0
2026-07-01T00:00:00-03:00,2,reference,4.418716677172805,4.418716677172805,0.0
2026-07-01T00:00:00-03:00,2,candidate,4.418716677172805,4.418716677172805,0.0
2026-07-01T00:00:00-03:00,3,reference,4.3446390727896675,4.344639072789667,8.881784197001252e-16
2026-07-01T00:00:00-03:00,3,candidate,4.3446390727896675,4.344639072789667,8.881784197001252e-16
2026-07-01T00:00:00-03:00,4,reference,4.254399881752281,4.254399881752281,0.0
2026-07-01T00:00:00-03:00,4,candidate,4.254399881752281,4.254399881752281,0.0
2026-07-01T00:00:00-03:00,5,reference,4.167654069129796,4.167654069129796,0.0
2026-07-01T00:00:00-03:00,5,candidate,4.167654069129796,4.167654069129796,0.0
2026-07-01T00:00:00-03:00,6,reference,4.0890490921462375,4.0890490921462375,0.0
2026-07-01T00:00:00-03:00,6,candidate,4.0890490921462375,4.0890490921462375,0.0
2026-07-01T00:00:00-03:00,7,reference,4.027565711177895,4.027565711177895,0.0
2026-07-01T00:00:00-03:00,7,candidate,4.027565711177895,4.027565711177895,0.0
2026-07-01T00:00:00-03:00,8,reference,3.9860269684322276,3.9860269684322276,0.0
2026-07-01T00:00:00-03:00,8,candidate,3.9860269684322276,3.9860269684322276,0.0
2026-07-01T00:00:00-03:00,9,reference,3.9793509467797596,3.9793509467797588,8.881784197001252e-16
2026-07-01T00:00:00-03:00,9,candidate,3.9793509467797596,3.9793509467797588,8.881784197001252e-16
2026-07-01T00:00:00-03:00,10,reference,3.996897288938836,3.9968972889388352,8.881784197001252e-16
2026-07-01T00:00:00-03:00,10,candidate,3.996897288938836,3.9968972889388352,8.881784197001252e-16
2026-07-01T00:00:00-03:00,11,reference,4.0326438246108856,4.0326438246108856,0.0
2026-07-01T00:00:00-03:00,11,candidate,4.0326438246108856,4.0326438246108856,0.0
2026-07-01T00:00:00-03:00,12,reference,4.081657792061528,4.081657792061528,0.0
2026-07-01T00:00:00-03:00,12,candidate,4.081657792061528,4.081657792061528,0.0
2026-07-02T21:00:00-03:00,1,reference,7.253426000427063,7.253426000427063,0.0
2026-07-02T21:00:00-03:00,1,candidate,7.253426000427063,7.253426000427063,0.0
2026-07-02T21:00:00-03:00,2,reference,7.454985374406709,7.45498537440671,-8.881784197001252e-16
2026-07-02T21:00:00-03:00,2,candidate,7.454985374406709,7.45498537440671,-8.881784197001252e-16
2026-07-02T21:00:00-03:00,3,reference,7.649854317082074,7.649854317082075,-8.881784197001252e-16
2026-07-02T21:00:00-03:00,3,candidate,7.649854317082074,7.649854317082075,-8.881784197001252e-16
2026-07-02T21:00:00-03:00,4,reference,7.797235681420539,7.797235681420541,-1.7763568394002505e-15
2026-07-02T21:00:00-03:00,4,candidate,7.797235681420539,7.797235681420541,-1.7763568394002505e-15
2026-07-02T21:00:00-03:00,5,reference,7.90833256698065,7.90833256698065,0.0
2026-07-02T21:00:00-03:00,5,candidate,7.90833256698065,7.90833256698065,0.0
2026-07-02T21:00:00-03:00,6,reference,8.024043344375624,8.02404334437562,3.552713678800501e-15
2026-07-02T21:00:00-03:00,6,candidate,8.024043344375624,8.02404334437562,3.552713678800501e-15
2026-07-02T21:00:00-03:00,7,reference,8.125319334554835,8.125319334554835,0.0
2026-07-02T21:00:00-03:00,7,candidate,8.125319334554835,8.125319334554835,0.0
2026-07-02T21:00:00-03:00,8,reference,8.207398359832215,8.207398359832215,0.0
2026-07-02T21:00:00-03:00,8,candidate,8.207398359832215,8.207398359832215,0.0
2026-07-02T21:00:00-03:00,9,reference,8.270044841956956,8.270044841956956,0.0
2026-07-02T21:00:00-03:00,9,candidate,8.270044841956956,8.270044841956956,0.0
2026-07-02T21:00:00-03:00,10,reference,8.308093110932646,8.308093110932646,0.0
2026-07-02T21:00:00-03:00,10,candidate,8.308093110932646,8.308093110932646,0.0
2026-07-02T21:00:00-03:00,11,reference,8.346140270911231,8.346140270911231,0.0
2026-07-02T21:00:00-03:00,11,candidate,8.346140270911231,8.346140270911231,0.0
2026-07-02T21:00:00-03:00,12,reference,8.34433523590516,8.34433523590516,0.0
2026-07-02T21:00:00-03:00,12,candidate,8.34433523590516,8.34433523590516,0.0
2026-07-22T08:00:00-03:00,1,reference,17.597731481962395,17.597731481962395,0.0
2026-07-22T08:00:00-03:00,1,candidate,17.73688458505723,17.736884585057233,-3.552713678800501e-15
2026-07-22T08:00:00-03:00,2,reference,17.590294711711255,17.590294711711255,0.0
2026-07-22T08:00:00-03:00,2,candidate,18.20561828540087,18.20561828540087,0.0
2026-07-22T08:00:00-03:00,3,reference,17.99406083223303,17.994060832233032,-3.552713678800501e-15
2026-07-22T08:00:00-03:00,3,candidate,19.218317769497094,19.218317769497098,-3.552713678800501e-15
2026-07-22T08:00:00-03:00,4,reference,17.230285345608635,17.230285345608635,0.0
2026-07-22T08:00:00-03:00,4,candidate,19.404744164281006,19.404744164281006,0.0
2026-07-22T08:00:00-03:00,5,reference,16.56098204702612,16.56098204702612,0.0
2026-07-22T08:00:00-03:00,5,candidate,19.445391063299905,19.445391063299905,0.0
2026-07-22T08:00:00-03:00,6,reference,15.705817244711383,15.705817244711383,0.0
2026-07-22T08:00:00-03:00,6,candidate,19.419284078453785,19.419284078453785,0.0
2026-07-22T08:00:00-03:00,7,reference,14.946530484899142,14.946530484899142,0.0
2026-07-22T08:00:00-03:00,7,candidate,19.4182669387674,19.4182669387674,0.0
2026-07-22T08:00:00-03:00,8,reference,14.088086376912104,14.088086376912106,-1.7763568394002505e-15
2026-07-22T08:00:00-03:00,8,candidate,19.4669179272187,19.466917927218702,-3.552713678800501e-15
2026-07-22T08:00:00-03:00,9,reference,13.046633276221867,13.046633276221861,5.329070518200751e-15
2026-07-22T08:00:00-03:00,9,candidate,19.453509859649447,19.453509859649447,0.0
2026-07-22T08:00:00-03:00,10,reference,11.49927793647823,11.499277936478228,1.7763568394002505e-15
2026-07-22T08:00:00-03:00,10,candidate,19.157108443348047,19.157108443348047,0.0
2026-07-22T08:00:00-03:00,11,reference,10.343731564652758,10.343731564652758,0.0
2026-07-22T08:00:00-03:00,11,candidate,18.969535565423396,18.969535565423396,0.0
2026-07-22T08:00:00-03:00,12,reference,9.084263954808167,9.084263954808169,-1.7763568394002505e-15
2026-07-22T08:00:00-03:00,12,candidate,18.74664644109613,18.746646441096125,3.552713678800501e-15
2026-07-22T09:00:00-03:00,1,reference,18.01632976601764,18.01632976601764,0.0
2026-07-22T09:00:00-03:00,1,candidate,18.302250931040565,18.30225093104056,3.552713678800501e-15
2026-07-22T09:00:00-03:00,2,reference,18.438674139901018,18.43867413990102,-3.552713678800501e-15
2026-07-22T09:00:00-03:00,2,candidate,19.3038842420963,19.303884242096302,-3.552713678800501e-15
2026-07-22T09:00:00-03:00,3,reference,17.871596207009908,17.871596207009908,0.0
2026-07-22T09:00:00-03:00,3,candidate,19.49790774049585,19.49790774049585,0.0
2026-07-22T09:00:00-03:00,4,reference,17.166730582885805,17.166730582885805,0.0
2026-07-22T09:00:00-03:00,4,candidate,19.53979438370752,19.539794383707523,-3.552713678800501e-15
2026-07-22T09:00:00-03:00,5,reference,16.42464130382911,16.42464130382911,0.0
2026-07-22T09:00:00-03:00,5,candidate,19.51003445124635,19.51003445124635,0.0
2026-07-22T09:00:00-03:00,6,reference,15.66922136805779,15.66922136805779,0.0
2026-07-22T09:00:00-03:00,6,candidate,19.495635575459506,19.495635575459506,0.0
2026-07-22T09:00:00-03:00,7,reference,14.875038363573307,14.875038363573307,0.0
